Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,13175,-331,-414,122,64,-22,cowboy
Hand,13718,3186,1133,138,44,-4,cowboy
Hand,16292,3394,-4540,128,71,-63,cowboy
Hand,11524,4702,-8831,114,66,-54,cowboy
Hand,13901,5450,-11842,97,70,-52,cowboy
Hand,19414,11075,-7037,74,67,-66,cowboy
Hand,15880,2410,-14480,55,85,-126,cowboy
Hand,8149,2988,-17317,44,79,-116,cowboy
Hand,2160,467,-20223,-23,98,-152,cowboy
Hand,-7136,3234,-12829,-40,81,-113,cowboy
Hand,-12324,3929,-10488,-55,76,-79,cowboy
Hand,-15264,4429,-6598,-89,67,-50,cowboy
Hand,-12985,689,-7293,-76,71,-9,cowboy
Hand,-8645,-1131,-5554,-81,66,6,cowboy
Hand,-10332,-1372,-2960,-64,65,37,cowboy
Hand,-6785,-2746,-1474,-78,60,19,cowboy
Hand,-1298,-3102,2366,-60,117,66,cowboy
Hand,-15258,-2298,2860,-106,72,45,cowboy
Hand,-13173,-5527,8726,-68,11,125,cowboy
Hand,8392,-5597,11738,2,15,58,cowboy
Hand,6760,-5035,10424,44,51,65,cowboy
Hand,3502,-2100,12841,53,44,71,cowboy
Hand,3818,-63,13281,80,38,56,cowboy
Hand,4163,-1335,9195,116,58,37,cowboy
Hand,2279,-760,4003,140,51,74,cowboy
Hand,11554,-60,-247,124,48,49,cowboy
Hand,15016,-586,-4878,116,55,13,cowboy
Hand,14550,298,-3663,105,72,1,cowboy
Hand,11211,2553,550,93,69,-25,cowboy
Hand,10269,3176,-2179,101,57,-56,cowboy
Hand,5773,3636,-4233,98,69,-65,cowboy
Hand,5944,3504,-6183,85,70,-63,cowboy
Hand,2365,4525,-8450,73,63,-61,cowboy
Hand,2909,5091,-9644,83,73,-25,cowboy
Hand,9240,6815,-7231,44,62,-61,cowboy
Hand,15878,10582,-3667,48,86,-65,cowboy
Hand,19961,7600,-8941,27,126,-152,cowboy
Hand,-818,5927,-10228,5,144,-153,cowboy
Hand,-5434,7182,-8286,-5,119,-104,cowboy
Hand,-14429,6462,-7892,-27,136,-101,cowboy
Hand,-9099,5556,-6985,-26,99,-42,cowboy
Hand,-6045,3645,-6529,-64,82,-37,cowboy
Hand,-4475,1867,-5410,-64,82,-4,cowboy
Hand,-8264,983,-4156,-72,83,4,cowboy
Hand,-8414,788,-2371,-65,62,24,cowboy
Hand,-3136,-2141,-784,-70,56,28,cowboy
Hand,-4489,-2902,3115,-48,62,34,cowboy
Hand,4389,-5001,9480,-18,25,63,cowboy
Hand,-9639,-3819,9590,7,71,64,cowboy
Hand,-5090,-3316,16103,41,56,66,cowboy
Hand,-2634,-958,11272,86,36,68,cowboy
Hand,2177,-1550,8842,91,54,46,cowboy
Hand,10183,-2108,5920,109,46,68,cowboy
Hand,9302,1939,4345,118,60,53,cowboy
Hand,5260,1995,-865,99,59,28,cowboy
Hand,13208,1967,-4721,95,57,19,cowboy
Hand,16253,2408,-4896,74,64,-12,cowboy
Hand,14766,1559,-9012,75,93,-50,cowboy
Hand,9096,4013,-8555,58,85,-39,cowboy
Hand,11194,4891,-6747,45,109,-65,cowboy
Hand,7531,6946,-5988,34,100,-49,cowboy
Hand,7976,8318,-2414,8,105,-104,cowboy
Hand,7383,7831,-1779,2,127,-107,cowboy
Hand,1911,7238,-2874,-2,110,-81,cowboy
Hand,-5103,6510,-4960,-9,141,-102,cowboy
Hand,-9918,5065,-5822,-28,94,-66,cowboy
Hand,-9005,4992,-5369,-30,97,-32,cowboy
Hand,-11147,5450,-1201,-58,90,-14,cowboy
Hand,-12444,217,-2639,-64,93,2,cowboy
Hand,-14531,-67,243,-41,74,42,cowboy
Hand,-15127,-2006,1811,-30,75,46,cowboy
Hand,-7056,-2589,4321,0,57,86,cowboy
Hand,663,-2982,3617,28,48,94,cowboy
Hand,5660,-3053,3134,45,49,76,cowboy
Hand,7182,-3548,3021,51,57,53,cowboy
Hand,6598,-3644,6369,50,56,26,cowboy
Hand,1738,-2230,2973,108,58,59,cowboy
Hand,11105,579,4299,94,55,17,cowboy
Hand,11587,1196,346,99,56,-12,cowboy
Hand,13841,1894,-1489,89,51,-35,cowboy
Hand,13292,2327,-3163,88,71,-48,cowboy
Hand,12312,3237,-5976,86,77,-66,cowboy
Hand,9630,3284,-9253,65,85,-92,cowboy
Hand,6866,4127,-8975,52,101,-75,cowboy
Hand,6620,5082,-8124,28,107,-78,cowboy
Hand,-1737,2922,-8993,15,124,-96,cowboy
Hand,-40,5126,-7005,9,116,-66,cowboy
Hand,1608,6522,-4900,-18,113,-77,cowboy
Hand,-2753,7343,-3517,-33,113,-75,cowboy
Hand,-6640,6949,-3737,-51,110,-85,cowboy
Hand,-10679,7062,-4571,-44,69,-30,cowboy
Hand,-14631,4876,-5234,-80,107,-52,cowboy
Hand,-12807,2583,-3424,-63,67,16,cowboy
Hand,-15042,-724,-163,-67,80,34,cowboy
Hand,-9344,-2166,2163,-55,56,58,cowboy
Hand,-8152,-3257,3611,-18,85,71,cowboy
Hand,-10139,-3266,4272,1,57,98,cowboy
Hand,-11795,-6021,2162,35,48,76,cowboy
Hand,-8027,-4814,2759,63,37,91,cowboy
Hand,5236,-3625,3166,86,30,96,cowboy
Hand,7414,-1919,3588,89,30,72,cowboy
Hand,7666,-933,2992,96,31,60,cowboy
Hand,10364,-585,-953,85,26,37,cowboy
Hand,9971,-1212,-2461,95,43,24,cowboy
Hand,11966,436,-4652,96,43,1,cowboy
Hand,10659,2456,-3294,96,72,-16,cowboy
Hand,10192,1431,-4289,86,77,-13,cowboy
Hand,16618,2435,-2466,79,87,-60,cowboy
Hand,7041,3941,-3785,80,90,-74,cowboy
Hand,9282,5192,-6899,73,79,-54,cowboy
Hand,8767,5519,-8935,43,92,-54,cowboy
Hand,18760,7353,-9437,29,87,-53,cowboy
Hand,13747,6279,-11969,-11,117,-132,cowboy
Hand,-1168,5920,-10936,-25,100,-131,cowboy
Hand,-6902,4288,-11529,-17,98,-91,cowboy
Hand,-8089,5662,-6320,-37,98,-64,cowboy
Hand,-4963,6525,-2943,-55,98,-37,cowboy
Hand,-5380,4318,-4266,-54,98,-39,cowboy
Hand,-11548,1942,-2537,-40,94,-24,cowboy
Hand,-13343,330,-2142,-27,92,8,cowboy
Hand,-13913,-1173,1699,-23,91,24,cowboy
Hand,-17262,-3598,1250,-7,85,43,cowboy
Hand,-14534,-4576,2191,16,61,81,cowboy
Hand,-7215,-5447,789,22,47,83,cowboy
Hand,2621,-7246,-712,39,56,109,cowboy
Hand,10508,-3643,2864,50,38,94,cowboy
Hand,15244,-4199,904,68,63,33,cowboy
Hand,7684,-1121,941,88,62,12,cowboy
Hand,6627,743,3136,84,68,-11,cowboy
Hand,7358,877,2534,86,73,-20,cowboy
Hand,9791,1119,-1611,103,83,-27,cowboy
Hand,8592,2975,-5101,95,78,-43,cowboy
Hand,6683,3792,-7666,75,83,-37,cowboy
Hand,9252,5768,-6097,66,66,-38,cowboy
Hand,16867,8465,-6814,63,64,-60,cowboy
Hand,15112,7519,-11473,20,96,-127,cowboy
Hand,1892,4782,-13338,-5,112,-107,cowboy
Hand,-4064,4449,-12211,-25,114,-104,cowboy
Hand,-6702,5267,-10108,-32,111,-91,cowboy
Hand,-10968,5211,-8315,-44,111,-78,cowboy
Hand,-8797,6035,-9801,-36,97,-26,cowboy
Hand,-4633,6601,-7881,-81,73,-74,cowboy
Hand,-9261,3686,-1676,-58,91,-20,cowboy
Hand,-7752,2572,-1208,-62,79,1,cowboy
Hand,-9586,68,1933,-57,77,11,cowboy
Hand,-8834,-3013,2369,-44,69,18,cowboy
Hand,-1057,-5815,5008,-29,86,37,cowboy
Hand,-9954,-6157,5782,-3,69,41,cowboy
Hand,-10427,-3960,7663,13,49,84,cowboy
Hand,-4080,-6542,5998,18,41,68,cowboy
Hand,5756,-7593,5611,58,36,77,cowboy
Hand,7611,-4905,4415,88,56,64,cowboy
Hand,5338,-1397,1437,87,60,39,cowboy
Hand,5003,-1387,38,100,68,19,cowboy
Hand,7657,356,-1952,98,63,12,cowboy
Hand,7727,2018,-2623,74,78,0,cowboy
Hand,11050,1899,-1854,69,67,10,cowboy
Hand,14554,2194,-3102,72,76,-16,cowboy
Hand,11176,2856,-5053,71,77,-40,cowboy
Hand,11144,4356,-7823,69,72,-42,cowboy
Hand,13675,7434,-7793,76,79,-57,cowboy
Hand,15260,8172,-9016,51,92,-108,cowboy
Hand,9844,7469,-10943,20,127,-154,cowboy
Hand,2911,7577,-10940,20,122,-143,cowboy
Hand,-3857,6014,-10511,14,108,-101,cowboy
Hand,-4344,3682,-11621,-7,103,-88,cowboy
Hand,-8718,2110,-11110,-22,84,-68,cowboy
Hand,-11351,973,-9366,-38,78,-30,cowboy
Hand,-10885,-2196,-8479,-52,88,-18,cowboy
Hand,-15498,-4750,-6899,-40,74,13,cowboy
Hand,-10680,-4422,-3246,-32,68,54,cowboy
Hand,340,-8295,-511,-34,72,50,cowboy
Hand,-3706,-7266,986,2,55,96,cowboy
Hand,2863,-6915,3398,11,47,76,cowboy
Hand,6852,-5768,6508,50,49,75,cowboy
Hand,6699,-3121,6212,70,57,60,cowboy
Hand,6158,-2095,3111,81,65,46,cowboy
Hand,7103,-1263,1557,85,57,33,cowboy
Hand,8562,208,-1342,91,54,7,cowboy
Hand,10042,1196,-4379,89,57,-9,cowboy
Hand,11414,2045,-9244,80,77,-23,cowboy
Hand,9360,4615,-10060,61,77,-37,cowboy
Hand,11352,6793,-7755,39,83,-73,cowboy
Hand,11518,7739,-7589,28,106,-112,cowboy
Hand,6511,4767,-10414,16,119,-130,cowboy
Hand,1318,6279,-8487,6,116,-128,cowboy
Hand,-2510,5789,-7527,2,120,-112,cowboy
Hand,-6224,6192,-7531,-9,106,-89,cowboy
Hand,-10747,4896,-7127,-29,98,-74,cowboy
Hand,-12198,4400,-4856,-41,90,-47,cowboy
Hand,-13376,2506,-2642,-46,86,-23,cowboy
Hand,-11593,1695,689,-46,86,-3,cowboy
Hand,-7633,2176,5111,-57,85,2,cowboy
Hand,-23434,-5424,2314,-54,74,26,cowboy
Hand,-14131,-2604,9515,-8,24,88,cowboy
Hand,-5479,-3630,8740,10,33,70,cowboy
Hand,-2781,-3215,7198,28,28,98,cowboy
Hand,-3953,-2679,5272,42,36,91,cowboy
Hand,1477,-2948,5520,62,27,95,cowboy
Hand,11744,-2398,5963,99,18,71,cowboy
Hand,12362,-2976,641,107,47,25,cowboy
Hand,1666,-4966,-7281,123,51,21,cowboy
Hand,4841,467,-7636,117,32,38,cowboy
Hand,12240,2123,-6495,98,46,0,cowboy
Hand,18528,2836,-10050,83,35,-18,cowboy
Hand,15929,3323,-11366,67,80,-90,cowboy
Hand,12773,2043,-14323,45,62,-128,cowboy
Hand,9681,5618,-10116,39,82,-119,cowboy
Hand,6748,6162,-9873,24,123,-133,cowboy
Hand,-1588,4092,-14550,4,125,-140,cowboy
Hand,-1002,7770,-8491,-10,98,-105,cowboy
Hand,-4370,8960,-5059,-25,121,-139,cowboy
Hand,-6102,9307,-4673,-39,114,-121,cowboy
Hand,-11444,7108,-5663,-49,95,-80,cowboy
Hand,-12195,6410,-7011,-54,89,-53,cowboy
Hand,-20523,4131,-5515,-67,66,-7,cowboy
Hand,-14489,2418,-821,-80,74,3,cowboy
Hand,-9238,350,3534,-61,51,38,cowboy
Hand,-8581,492,4659,-54,64,54,cowboy
Hand,-8577,-1975,4898,-45,68,64,cowboy
Hand,-7626,-4370,5448,-10,57,63,cowboy
Hand,-2887,-4628,5493,28,35,92,cowboy
Hand,-837,-6110,2621,34,32,71,cowboy
Hand,-4740,-4986,2439,56,39,98,cowboy
Hand,8888,-2179,5934,72,30,95,cowboy
Hand,16728,-2318,3238,102,52,65,cowboy
Hand,7418,2037,-2516,109,44,26,cowboy
Hand,16016,-410,1570,99,42,-18,cowboy
Hand,10680,2604,-2522,117,53,-29,cowboy
Hand,9857,1823,-3083,114,58,-54,cowboy
Hand,15260,2350,-9243,99,55,-57,cowboy
Hand,16177,5198,-10185,88,83,-93,cowboy
Hand,11971,4885,-11878,57,79,-89,cowboy
Hand,8715,7909,-9281,40,92,-117,cowboy
Hand,5133,6822,-8925,16,104,-109,cowboy
Hand,2879,7825,-5675,-3,126,-122,cowboy
Hand,-888,7279,-4776,-3,136,-123,cowboy
Hand,-3704,8366,-4329,0,120,-99,cowboy
Hand,-8324,5319,-8117,-26,105,-87,cowboy
Hand,-12303,4998,-6492,-37,79,-31,cowboy
Hand,-3966,2895,-5303,-54,93,-21,cowboy
Hand,-7186,1280,-4366,-56,93,0,cowboy
Hand,-14410,788,-2579,-65,102,16,cowboy
Hand,-21307,-2992,-3063,-57,61,41,cowboy
Hand,-10290,-4011,-24,-30,39,75,cowboy
Hand,-2526,-4895,605,-14,52,94,cowboy
Hand,-835,-4470,3655,1,49,99,cowboy
Hand,3000,-4259,6598,19,47,80,cowboy
Hand,5941,-3997,7420,52,41,76,cowboy
Hand,8706,-2346,6283,74,45,49,cowboy
Hand,9379,-1876,3966,90,39,29,cowboy
Hand,10820,-702,518,111,43,-20,cowboy
Hand,6691,1064,-3497,114,59,-18,cowboy
Hand,9085,2182,-2305,110,51,-24,cowboy
Hand,13654,3113,-7402,109,71,-55,cowboy
Hand,11542,3608,-12067,85,72,-80,cowboy
Hand,8644,5222,-14147,50,89,-96,cowboy
Hand,5880,6080,-14038,25,114,-98,cowboy
Hand,3762,7342,-8977,-1,131,-103,cowboy
Hand,4463,8378,-6798,-7,141,-94,cowboy
Hand,479,6438,-9269,-27,125,-130,cowboy
Hand,-9936,5637,-10818,-51,106,-108,cowboy
Hand,-12594,4980,-7116,-88,95,-76,cowboy
Hand,-14378,3511,-3773,-96,93,-47,cowboy
Hand,-18850,1560,-1188,-87,78,-20,cowboy
Hand,-10173,480,853,-73,71,10,cowboy
Hand,-9611,-167,3120,-54,60,40,cowboy
Hand,-5457,-1728,3766,-46,57,45,cowboy
Hand,-5047,-3717,2018,-31,52,57,cowboy
Hand,3269,-4296,6556,-15,5,80,cowboy
Hand,-164,-4648,4975,-4,27,58,cowboy
Hand,-3363,-3494,9031,25,59,88,cowboy
Hand,2975,-3605,10037,65,60,68,cowboy
Hand,8770,-1853,7568,108,39,32,cowboy
Hand,11042,-787,4915,130,48,11,cowboy
Hand,6864,770,2456,138,59,21,cowboy
Hand,7001,1958,-898,114,60,5,cowboy
Hand,5592,2698,123,100,49,-6,cowboy
Hand,13459,2584,-3456,103,55,-12,cowboy
Hand,14399,3284,-7064,89,63,-40,cowboy
Hand,11695,3625,-9290,68,82,-61,cowboy
Hand,12261,6150,-3883,47,95,-64,cowboy
Hand,8383,6234,-6349,69,97,-86,cowboy
Hand,9891,9324,-5152,75,93,-73,cowboy
Hand,9890,9456,-6679,41,114,-127,cowboy
Hand,5215,6663,-10451,26,125,-94,cowboy
Hand,4733,8481,-7635,-10,122,-107,cowboy
Hand,-1509,3565,-12080,-37,135,-125,cowboy
Hand,-1594,2714,-6634,-48,93,-72,cowboy
Hand,-5321,2585,-3515,-47,88,-45,cowboy
Hand,-6582,1663,-2606,-40,77,-26,cowboy
Hand,-7697,201,-2325,-43,94,-13,cowboy
Hand,-14847,-712,-986,-40,92,-2,cowboy
Hand,-15456,-2924,1860,-42,83,7,cowboy
Hand,-10824,-4987,5209,1,40,76,cowboy
Hand,-6385,-5015,7076,29,41,75,cowboy
Hand,490,-4302,7840,68,41,78,cowboy
Hand,2746,-2106,8306,90,51,61,cowboy
Hand,2377,-630,7431,98,47,43,cowboy
Hand,5792,-118,4610,113,45,40,cowboy
Hand,6553,630,2056,109,53,25,cowboy
Hand,9680,640,-1472,103,63,6,cowboy
Hand,6578,356,-4582,71,76,-39,cowboy
Hand,6839,-889,-6514,93,86,3,cowboy
Hand,8415,2886,-3136,74,79,-25,cowboy
Hand,8971,3363,-5447,66,64,-30,cowboy
Hand,12311,5039,-4969,69,65,-40,cowboy
Hand,12940,5531,-4913,68,83,-66,cowboy
Hand,19918,8343,1829,73,44,-81,cowboy
Hand,10203,7674,-5389,98,122,-199,cowboy
Hand,11938,9685,-6575,71,90,-114,cowboy
Hand,7067,7698,-8140,51,114,-127,cowboy
Hand,6760,9940,-5698,58,92,-118,cowboy
Hand,7778,11834,-3863,74,90,-126,cowboy
Hand,6585,9552,-8965,28,111,-139,cowboy
Hand,-2409,5023,-16184,-5,108,-91,cowboy
Hand,-5398,3476,-11656,-28,80,-46,cowboy
Hand,-4130,2171,-6035,-33,81,-29,cowboy
Hand,-5318,750,-2205,-36,100,-30,cowboy
Hand,-14652,-6884,-7976,-16,66,0,cowboy
Hand,-9867,-5287,-2421,-12,53,53,cowboy
