Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,440,85,3651,-16,60,-56,dab
Hand,2763,-423,6338,-16,49,-50,dab
Hand,5947,-531,6986,-14,44,-48,dab
Hand,7272,605,10996,-20,17,-36,dab
Hand,12318,133,15408,-19,10,-62,dab
Hand,15085,-163,20087,-8,-21,-54,dab
Hand,15797,-873,20866,20,-19,-90,dab
Hand,14314,1562,25013,43,-57,-94,dab
Hand,6386,-1673,25013,35,-74,-122,dab
Hand,8735,-4575,25013,55,-66,-113,dab
Hand,8876,-3515,24560,35,-77,-132,dab
Hand,6385,-1755,20253,18,-91,-121,dab
Hand,6085,-1663,15497,22,-69,-146,dab
Hand,7860,-1965,8810,15,-60,-167,dab
Hand,7842,635,8559,23,-24,-156,dab
Hand,934,885,3025,-2,-12,-130,dab
Hand,131,305,657,-24,-19,-93,dab
Hand,1914,1090,3589,-25,-20,-91,dab
Hand,210,1106,4727,-34,-22,-100,dab
Hand,-1311,2449,9084,-67,-19,-112,dab
Hand,-3874,1444,10605,-99,0,-126,dab
Hand,-5234,950,14281,-117,10,-121,dab
Hand,-6978,-252,16327,-107,4,-164,dab
Hand,-11079,-1010,16347,-85,8,-180,dab
Hand,-15033,-510,18670,-66,-1,-185,dab
Hand,-18846,-265,16456,-36,-14,-172,dab
Hand,-21743,-612,12192,-32,7,-158,dab
Hand,-22389,-861,9936,-34,-16,-104,dab
Hand,-20991,-1454,10600,-46,-15,-53,dab
Hand,-12731,-2295,12086,-18,-30,-1,dab
Hand,483,-1584,13840,49,-9,7,dab
Hand,-5058,-618,1431,66,65,-13,dab
Hand,-2003,-827,-2291,28,24,19,dab
Hand,1762,-774,-2730,28,62,-2,dab
Hand,2631,-107,-2973,20,69,-13,dab
Hand,5282,1249,-2083,12,77,-13,dab
Hand,7107,2582,-2925,41,68,-13,dab
Hand,9262,3410,-6691,13,29,-10,dab
Hand,17503,7620,-3866,34,0,-34,dab
Hand,18278,8409,-3793,23,-2,-102,dab
Hand,18978,7253,-1282,24,-31,-67,dab
Hand,25013,4244,-3615,16,-41,-86,dab
Hand,25013,1746,292,14,-52,-118,dab
Hand,25013,504,4695,21,-74,-132,dab
Hand,25013,-3121,2615,15,-71,-184,dab
Hand,23479,-4447,4714,23,-107,-189,dab
Hand,25013,-2864,4034,21,-141,-166,dab
Hand,557,-2068,1122,29,-79,-160,dab
Hand,-4618,-755,-2608,29,-90,-121,dab
Hand,216,-2254,-6792,10,-67,-103,dab
Hand,-2969,-3637,-8334,14,-53,-94,dab
Hand,-6400,-2814,-6490,36,-48,-101,dab
Hand,-13723,-3615,-11476,96,-56,-120,dab
Hand,-16254,-1006,-13939,136,-73,-121,dab
Hand,-15319,-3464,-25014,147,-87,-130,dab
Hand,-17165,-936,-25014,134,-105,-155,dab
Hand,-21276,-295,-25014,134,-127,-181,dab
Hand,-23162,3285,-25014,92,-113,-181,dab
Hand,-25014,1785,-25014,10,-105,-105,dab
Hand,-20365,1921,-24156,-39,-79,-36,dab
Hand,-12697,1419,-14665,-66,-37,-24,dab
Hand,-9206,687,-9329,-39,-3,-31,dab
Hand,-3224,1613,-2649,-33,38,-54,dab
Hand,-2313,477,-1711,-30,57,-43,dab
Hand,2323,55,326,-34,72,-53,dab
Hand,2178,-339,1567,-25,85,-51,dab
Hand,1889,-314,3470,-18,84,-53,dab
Hand,5831,-631,5327,-8,58,-41,dab
Hand,3624,348,5655,-12,61,-49,dab
Hand,6924,-1163,4320,-14,43,-40,dab
Hand,9559,-915,7608,-13,36,-47,dab
Hand,9760,-2777,8208,-37,27,-76,dab
Hand,5305,-8010,5260,-1,20,-35,dab
Hand,17440,-1998,17570,-23,-8,-87,dab
Hand,15678,-3284,14376,0,2,-106,dab
Hand,21116,-2845,17976,16,-3,-144,dab
Hand,18921,-2129,16944,15,-20,-144,dab
Hand,14260,-1172,14892,16,-23,-125,dab
Hand,19177,-959,10040,30,-31,-166,dab
Hand,-140,-376,-2063,-35,-30,-85,dab
Hand,-1388,-1803,-12121,-22,-9,-128,dab
Hand,-8498,915,-1218,-27,-37,-116,dab
Hand,-9215,1548,-1079,-4,-11,-145,dab
Hand,-14132,2176,-5489,12,-18,-151,dab
Hand,-16279,2235,-9185,23,-29,-150,dab
Hand,-14562,3637,-10540,37,-39,-135,dab
Hand,-13307,3689,-16176,58,-23,-139,dab
Hand,-12649,1791,-24711,29,-25,-162,dab
Hand,-16807,2351,-20780,19,-20,-151,dab
Hand,-19190,2595,-16774,16,1,-132,dab
Hand,-21518,2369,-15400,-9,9,-98,dab
Hand,-18262,3384,-11128,-21,5,-39,dab
Hand,-11604,2496,-7374,-44,1,-33,dab
Hand,-9673,460,-8098,-29,38,-27,dab
Hand,-5474,698,-3599,-23,42,-15,dab
Hand,-1096,794,-2233,-24,68,-33,dab
Hand,-1142,218,64,-29,69,-27,dab
Hand,3667,-80,2462,-25,69,-25,dab
Hand,6722,663,4917,-19,48,-12,dab
Hand,11737,-1576,6299,-38,52,-42,dab
Hand,10260,-1653,7808,-11,41,-34,dab
Hand,15076,-1669,9521,-11,33,-78,dab
Hand,14689,-1513,9440,3,7,-70,dab
Hand,17084,-1595,16070,4,5,-109,dab
Hand,15081,-2132,15351,13,4,-98,dab
Hand,16335,-2983,19783,22,-24,-141,dab
Hand,14489,2421,25013,63,-59,-84,dab
Hand,12034,5478,25013,43,-25,-174,dab
Hand,7506,-2769,19278,64,-67,-120,dab
Hand,7020,1034,25013,76,-58,-159,dab
Hand,9675,-1930,15833,79,-48,-129,dab
Hand,7567,-1066,10230,59,-35,-129,dab
Hand,5489,-1591,2370,46,-23,-124,dab
Hand,856,-419,712,19,-32,-99,dab
Hand,1091,20,2532,-1,-42,-82,dab
Hand,2263,566,2670,6,-47,-85,dab
Hand,1388,1073,1161,-4,-45,-91,dab
Hand,820,-521,-3319,-19,-38,-100,dab
Hand,-547,-84,-653,-27,-48,-91,dab
Hand,-2325,818,2236,-40,-24,-118,dab
Hand,-4605,718,3027,-87,-17,-167,dab
Hand,-11297,-528,7657,-118,-24,-182,dab
Hand,-13500,-1170,13434,-68,-49,-172,dab
Hand,-15947,-573,16333,-33,-58,-175,dab
Hand,-17994,-776,14860,-4,-66,-153,dab
Hand,-19114,-2723,12955,-18,-53,-152,dab
Hand,-17491,-130,12099,-2,-13,-103,dab
Hand,-17819,97,9222,-45,-3,-107,dab
Hand,-16143,-895,8956,-31,0,-70,dab
Hand,-12885,-248,11214,-16,6,-37,dab
Hand,-11791,63,10279,1,11,-3,dab
Hand,-2654,-868,8429,24,26,0,dab
Hand,-3473,-162,2557,31,63,-9,dab
Hand,-2345,-462,-671,23,55,1,dab
Hand,705,-445,-2366,24,63,-4,dab
Hand,2995,-120,-2060,15,76,-22,dab
Hand,4820,-164,-3105,13,83,-32,dab
Hand,2150,725,-3252,2,88,-42,dab
Hand,1807,782,-5698,19,71,-21,dab
Hand,4269,1048,-9169,16,43,-19,dab
Hand,8856,2356,-12683,15,27,-44,dab
Hand,5285,1537,-17599,4,37,-53,dab
Hand,5784,2508,-21544,-5,-14,-60,dab
Hand,8904,2989,-14543,-26,2,-81,dab
Hand,10247,2742,-15289,-30,-16,-82,dab
Hand,12992,2613,-12553,-48,1,-98,dab
Hand,9187,215,-9069,-49,-4,-127,dab
Hand,11285,1736,-4956,-51,-20,-143,dab
Hand,11792,1088,-5675,-56,-15,-139,dab
Hand,10611,626,-4802,-73,-18,-155,dab
Hand,7494,216,-1792,-81,-19,-154,dab
Hand,6015,414,1992,-69,-15,-129,dab
Hand,4276,-1518,-2327,-53,-3,-142,dab
Hand,-98,-1639,-3761,-48,-21,-105,dab
Hand,-107,-1125,-2638,-37,-34,-92,dab
Hand,385,-309,-1013,-32,-41,-81,dab
Hand,1022,776,1311,-21,-30,-92,dab
Hand,-1411,-6,-1350,-21,-30,-97,dab
Hand,-2044,403,-2211,-17,-25,-96,dab
Hand,-3850,100,-3676,-9,-27,-110,dab
Hand,-7558,740,-6095,11,-12,-149,dab
Hand,-12715,1608,-9505,27,-26,-148,dab
Hand,-14015,2264,-12973,24,-22,-149,dab
Hand,-15245,2209,-16169,20,-19,-145,dab
Hand,-16054,2338,-17463,19,-16,-145,dab
Hand,-14760,2165,-18473,29,-17,-156,dab
Hand,-17065,2289,-19213,36,-7,-168,dab
Hand,-20261,2060,-17910,41,2,-147,dab
Hand,-22725,2853,-17183,32,2,-119,dab
Hand,-22413,3171,-16015,-4,6,-69,dab
Hand,-19679,1511,-13550,-35,-6,-35,dab
Hand,-13534,662,-9207,-47,10,-15,dab
Hand,-7065,477,-4130,-43,37,-6,dab
Hand,-3210,921,-1872,-36,61,-9,dab
Hand,427,1324,773,-33,66,-1,dab
Hand,4827,1392,1882,-30,87,-28,dab
Hand,3508,-315,-218,-28,98,-36,dab
Hand,3176,-142,1005,-26,92,-27,dab
Hand,3578,-508,1766,-25,83,-29,dab
Hand,3934,-91,5146,-23,40,-15,dab
Hand,7182,992,11295,-18,7,-5,dab
Hand,11291,-1866,9992,-25,39,-44,dab
Hand,13592,-2287,11376,-8,36,-47,dab
Hand,17202,-2227,17907,-5,31,-101,dab
Hand,16303,-2472,19235,15,27,-107,dab
Hand,9782,-4021,22092,27,16,-161,dab
Hand,4072,-3702,22287,30,-9,-126,dab
Hand,6644,-5682,19018,33,23,-159,dab
Hand,6987,-4170,17024,35,3,-120,dab
Hand,11240,-3436,14959,22,2,-113,dab
Hand,14387,-2589,19379,19,-22,-147,dab
Hand,16926,-2463,17785,38,-20,-162,dab
Hand,14247,-510,18508,44,18,-166,dab
Hand,7398,579,9469,29,7,-113,dab
Hand,5678,-1410,-231,-8,21,-129,dab
Hand,1581,-8,1491,1,-12,-101,dab
Hand,872,434,1245,-4,-9,-106,dab
Hand,3149,1289,2015,-11,-8,-108,dab
Hand,832,1558,4556,-26,-8,-101,dab
Hand,-2680,1651,6213,-31,-14,-115,dab
Hand,-3656,1548,5290,-37,15,-124,dab
Hand,-4253,428,3205,-45,20,-131,dab
Hand,-1292,17,4837,-44,26,-144,dab
Hand,-8201,-811,6555,-44,24,-181,dab
Hand,-12221,430,8858,-32,-3,-181,dab
Hand,-17414,-289,4782,-35,2,-193,dab
Hand,-17134,-60,5945,-41,3,-171,dab
Hand,-20891,1251,10083,-20,-5,-138,dab
Hand,-20735,1366,6951,-16,-10,-108,dab
Hand,-18176,56,3999,-14,-7,-55,dab
Hand,-14065,-710,3831,-20,2,-19,dab
Hand,-6667,-3738,7023,-55,-10,-26,dab
Hand,852,-5024,8214,68,50,-21,dab
Hand,-7396,-221,4519,32,65,-24,dab
Hand,-4160,-419,2534,32,40,19,dab
Hand,-1219,284,1786,17,60,4,dab
Hand,4744,-431,1902,29,73,3,dab
Hand,6523,-302,35,28,92,-43,dab
Hand,4842,261,-2611,27,85,-35,dab
Hand,7182,263,-2173,19,90,-36,dab
Hand,2179,211,-2947,18,73,-43,dab
Hand,4579,237,-3281,4,70,-30,dab
Hand,6245,1424,-3971,27,58,-37,dab
Hand,4575,1160,-8649,23,43,-66,dab
Hand,287,1736,-15168,31,34,-56,dab
Hand,-558,49,-18633,-33,11,-77,dab
Hand,-1727,-1314,-17681,0,-8,-19,dab
Hand,10069,2837,-11341,-34,17,-65,dab
Hand,9095,1750,-13357,-48,13,-95,dab
Hand,12155,3069,-8924,-55,7,-98,dab
Hand,14446,1647,-6339,-62,8,-115,dab
Hand,20089,617,-6272,-68,17,-134,dab
Hand,16447,-185,-7840,-76,24,-163,dab
Hand,14050,-1021,-5491,-107,11,-170,dab
Hand,8982,-101,1716,-62,15,-150,dab
Hand,5185,-350,818,-59,-5,-140,dab
Hand,-601,395,-295,-41,13,-124,dab
Hand,-4490,-1909,-8591,-39,-32,-85,dab
Hand,1721,-805,-4900,-34,-36,-82,dab
Hand,1104,72,-1444,-41,-35,-86,dab
Hand,1252,481,-34,-27,-26,-93,dab
Hand,-3620,683,-2124,-32,-26,-104,dab
Hand,-2201,1024,-1962,-24,-38,-90,dab
Hand,-2809,641,-2809,-25,-22,-98,dab
Hand,-3284,524,-3705,-21,-32,-88,dab
Hand,-2960,274,-3921,-23,-27,-93,dab
Hand,-3607,15,-5180,-21,-30,-92,dab
Hand,-7302,-1117,-9627,-14,-15,-102,dab
Hand,-7962,-869,-9962,-23,-33,-98,dab
Hand,-5789,-15,-6560,-16,-25,-100,dab
Hand,-7015,644,-8034,-4,-7,-139,dab
Hand,-7782,2505,-9102,22,18,-154,dab
Hand,-10386,2025,-20165,30,45,-174,dab
Hand,-15440,3008,-20485,22,1,-181,dab
Hand,-19192,2633,-18679,25,-9,-180,dab
Hand,-22782,1392,-17257,32,-15,-157,dab
Hand,-23745,2753,-13460,15,-2,-122,dab
Hand,-23038,1409,-13762,-1,-9,-83,dab
Hand,-19902,1755,-9905,-16,10,-45,dab
Hand,-14775,1386,-6957,-22,13,-20,dab
Hand,-10123,1292,-4189,-25,30,-12,dab
Hand,-7154,-594,-7043,-25,60,-19,dab
Hand,-1689,-344,-4466,-26,59,-10,dab
Hand,922,499,-1347,-35,83,-22,dab
Hand,2321,482,357,-41,86,-20,dab
Hand,3439,41,787,-36,90,-24,dab
Hand,3266,-167,1984,-33,90,-22,dab
Hand,3679,-692,1902,-23,81,-26,dab
Hand,7991,-135,3082,-16,56,-21,dab
Hand,11548,126,3930,-13,39,-34,dab
Hand,11697,-2273,-523,-20,32,-43,dab
Hand,16835,-1460,2636,-14,30,-44,dab
