Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,7574,203,-3134,46,90,-27,jamesbond
Hand,3963,2163,2582,46,77,-16,jamesbond
Hand,5142,1366,1334,65,80,2,jamesbond
Hand,3138,1280,1775,59,90,2,jamesbond
Hand,5079,311,2865,44,120,-12,jamesbond
Hand,8680,-975,3104,63,152,-16,jamesbond
Hand,11824,-1102,324,56,178,-33,jamesbond
Hand,9606,-1408,28,39,152,-54,jamesbond
Hand,-2109,-2092,168,73,110,-13,jamesbond
Hand,3688,4117,14204,28,4,-15,jamesbond
Hand,-10024,-5951,14512,51,-41,-20,jamesbond
Hand,-7093,-2067,15874,93,-31,-77,jamesbond
Hand,-641,339,7179,196,-24,64,jamesbond
Hand,2747,665,-2612,66,14,-31,jamesbond
Hand,1884,1936,-2289,48,25,-43,jamesbond
Hand,-2628,349,-934,74,21,-21,jamesbond
Hand,1918,-241,-3005,100,-3,0,jamesbond
Hand,5778,-38,-6252,111,-15,-9,jamesbond
Hand,3396,1222,-9041,127,-17,-31,jamesbond
Hand,5132,1367,-13345,68,9,-7,jamesbond
Hand,2990,1344,-7189,55,74,-35,jamesbond
Hand,-2261,-1590,-4594,57,92,-68,jamesbond
Hand,-7176,-2164,-2050,59,97,-40,jamesbond
Hand,-11394,-1579,711,40,123,-33,jamesbond
Hand,-8522,198,4752,59,111,-10,jamesbond
Hand,-4764,-1723,1305,68,130,-23,jamesbond
Hand,-4991,-2231,-1658,55,107,-21,jamesbond
Hand,-5149,-1456,-482,50,95,-22,jamesbond
Hand,-5163,-1402,243,58,86,-11,jamesbond
Hand,-5856,-492,1095,55,93,-23,jamesbond
Hand,-6656,-1850,1286,61,115,-53,jamesbond
Hand,-11498,-3942,-2240,71,142,-81,jamesbond
Hand,-19770,-3360,-675,61,131,-90,jamesbond
Hand,-20669,-3834,2195,70,81,-36,jamesbond
Hand,-22579,-3576,534,76,74,-31,jamesbond
Hand,-14116,-1513,3947,59,37,34,jamesbond
Hand,-19568,-2986,2424,54,23,44,jamesbond
Hand,-3370,-1638,9636,106,14,17,jamesbond
Hand,-853,-2345,6155,137,-32,75,jamesbond
Hand,346,-1384,-2243,137,11,36,jamesbond
Hand,6792,-665,-6163,66,16,12,jamesbond
Hand,5421,-101,-4401,71,30,12,jamesbond
Hand,1469,2504,-3138,95,-5,35,jamesbond
Hand,4618,1725,-3869,92,-19,39,jamesbond
Hand,4587,3525,-3415,82,37,37,jamesbond
Hand,6839,3302,-2700,91,36,69,jamesbond
Hand,2147,1622,-1926,44,51,23,jamesbond
Hand,10131,2049,1252,67,102,35,jamesbond
Hand,5866,908,2266,50,120,3,jamesbond
Hand,12356,3309,7202,63,129,-18,jamesbond
Hand,7253,2647,5867,84,125,-8,jamesbond
Hand,7008,529,-2287,81,113,-8,jamesbond
Hand,2297,927,592,61,93,0,jamesbond
