Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-6241,2472,-8884,107,58,-69,logout
Hand,-5050,3475,-9247,87,58,-71,logout
Hand,-9344,4898,-8510,76,58,-59,logout
Hand,-5876,5728,-9743,57,59,-46,logout
Hand,-3656,6553,-8102,51,38,-27,logout
Hand,-4135,7898,-10353,29,30,-27,logout
Hand,-3533,6778,-10635,15,43,-13,logout
Hand,-4187,5437,-15602,-19,48,-9,logout
Hand,-4902,2648,-19144,-25,35,3,logout
Hand,-2436,3918,-18967,-38,36,0,logout
Hand,19858,2527,-12756,-87,-15,-4,logout
Hand,-22268,7977,-12137,-91,46,-8,logout
Hand,-7817,4182,-11844,-141,54,-10,logout
Hand,-8953,2738,-7357,-152,51,19,logout
Hand,-708,2198,2517,-154,39,4,logout
Hand,-531,1254,3989,-124,63,-3,logout
Hand,2002,-911,1927,-101,58,-6,logout
Hand,-380,-1668,-1497,-92,58,-5,logout
Hand,-1944,-1986,-2594,-86,47,15,logout
Hand,1184,-755,1176,-86,48,17,logout
Hand,1889,-727,2006,-107,57,14,logout
Hand,5247,-2536,2054,-125,62,17,logout
Hand,5356,-3847,3492,-128,57,12,logout
Hand,7022,-4356,5551,-115,47,14,logout
Hand,8418,-3258,10536,-105,51,20,logout
Hand,11000,-1991,15789,-91,51,3,logout
Hand,11034,-1371,17498,-70,62,-9,logout
Hand,7348,-1674,19276,-41,61,-20,logout
Hand,1991,-11,20442,-30,57,-36,logout
Hand,-3789,-874,22840,-10,49,-26,logout
Hand,-9286,-1238,23527,6,32,-25,logout
Hand,-15031,-3612,25013,32,7,-12,logout
Hand,-16353,-5047,19121,65,-20,-4,logout
Hand,-4437,-6028,14422,118,-26,-24,logout
Hand,-6531,-4437,7260,158,5,-39,logout
Hand,-8632,-4765,40,137,-6,-27,logout
Hand,-3628,-3334,-297,127,11,-22,logout
Hand,638,-2833,811,146,29,-27,logout
Hand,-332,-1717,-125,127,40,-43,logout
Hand,2460,-634,1553,134,25,-27,logout
Hand,1,-466,543,124,29,-32,logout
Hand,-837,-1280,-1415,110,23,-48,logout
Hand,3008,-247,-685,117,30,-51,logout
Hand,1283,-797,-2355,119,42,-62,logout
Hand,1873,-413,-4368,124,44,-67,logout
Hand,2596,-1187,-4974,135,47,-97,logout
Hand,-7676,359,-8718,160,46,-97,logout
Hand,-9986,408,-14923,124,34,-90,logout
Hand,-9434,3577,-9477,96,50,-84,logout
Hand,-8189,4888,-8527,65,52,-71,logout
Hand,-6114,5810,-5927,68,26,-46,logout
Hand,-6305,7197,-8849,40,42,-38,logout
Hand,-8952,6274,-12637,27,27,-8,logout
Hand,-6454,7036,-11648,18,25,12,logout
Hand,-7297,7209,-12137,-4,28,12,logout
Hand,-2201,5422,-13631,-8,31,10,logout
Hand,-6936,1913,-21413,-39,60,-25,logout
Hand,-11176,2783,-21564,-44,53,43,logout
Hand,-17451,7863,-11101,-107,4,23,logout
Hand,-5198,4024,-8500,-160,27,14,logout
Hand,-4929,4921,-414,-160,13,48,logout
Hand,3088,3695,4008,-146,35,28,logout
Hand,2314,1399,1115,-129,37,26,logout
Hand,2731,91,778,-107,39,27,logout
Hand,836,78,914,-99,44,6,logout
Hand,-1898,-41,527,-100,43,15,logout
Hand,-390,617,3328,-104,49,24,logout
Hand,2726,-455,5075,-115,46,24,logout
Hand,5486,-251,7935,-128,55,22,logout
Hand,6985,-2381,7937,-118,54,15,logout
Hand,7211,-659,12154,-119,62,5,logout
Hand,4414,-2367,12574,-98,68,-12,logout
Hand,1679,-1750,12868,-78,63,3,logout
Hand,-4883,-2060,12808,-78,74,-18,logout
Hand,-2241,-3496,12212,-52,58,16,logout
Hand,1781,-3518,16134,-38,41,4,logout
Hand,2311,-3602,15992,-11,53,-6,logout
Hand,1992,-4620,16166,1,53,-14,logout
Hand,2463,-4218,15581,29,48,-9,logout
Hand,2592,-3005,18715,31,27,-9,logout
Hand,-231,-3687,20444,63,7,-25,logout
Hand,3416,-2819,18860,142,-11,-28,logout
Hand,-4876,2822,17385,143,34,-50,logout
Hand,-5573,-2459,1255,149,18,2,logout
Hand,-69,-1447,2920,128,16,5,logout
Hand,11,-3077,2350,132,25,-30,logout
Hand,1086,-1223,1570,153,11,-25,logout
Hand,-1290,-1666,-1981,128,29,-45,logout
Hand,-866,-1136,-3909,115,35,-37,logout
Hand,-977,-649,-3391,114,37,-28,logout
Hand,-1185,424,-2160,107,38,-25,logout
Hand,506,-865,-4502,121,42,-35,logout
Hand,-673,-2708,-9266,150,51,-75,logout
Hand,-4534,302,-10208,148,53,-78,logout
Hand,-8858,1393,-12639,106,44,-72,logout
Hand,-8975,3285,-12131,84,39,-49,logout
Hand,-6165,4698,-12332,63,39,-33,logout
Hand,-4341,4319,-13040,44,52,-40,logout
Hand,-6684,5144,-13263,25,51,-33,logout
