Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,24074,-1263,8524,18,-19,-131,mermaid
Hand,16002,-2005,5287,21,-23,-131,mermaid
Hand,6695,-1269,2108,25,-26,-121,mermaid
Hand,1427,224,-650,12,-49,-114,mermaid
Hand,752,-372,-622,0,-50,-126,mermaid
Hand,995,-154,-455,4,-46,-117,mermaid
Hand,-1047,-914,-966,5,-39,-126,mermaid
Hand,-3153,-392,-1899,7,-43,-122,mermaid
Hand,-4075,135,-2300,-1,-48,-126,mermaid
Hand,-5415,598,-1849,1,-36,-127,mermaid
Hand,-8960,285,-2716,-1,-35,-127,mermaid
Hand,-10014,276,-1608,6,-32,-124,mermaid
Hand,-12214,-319,-1949,8,-20,-131,mermaid
Hand,-13815,659,-1238,14,-16,-112,mermaid
Hand,-18357,711,-1125,5,0,-134,mermaid
Hand,-23302,1060,-843,12,-1,-114,mermaid
Hand,-20085,2295,702,15,27,-97,mermaid
Hand,-25014,2058,909,10,28,-88,mermaid
Hand,-25014,832,-2148,17,60,-72,mermaid
Hand,-25014,1119,1354,9,52,-45,mermaid
Hand,-19585,1561,4492,8,45,10,mermaid
Hand,-12118,1412,-356,16,67,15,mermaid
Hand,-4750,139,-1678,16,45,43,mermaid
Hand,3468,-342,510,8,46,36,mermaid
Hand,14672,-1043,-1086,10,50,31,mermaid
Hand,21188,3,934,22,61,6,mermaid
Hand,20476,-1772,1044,6,64,-45,mermaid
Hand,20134,-962,2015,25,64,-32,mermaid
Hand,16371,-1098,-404,26,59,-56,mermaid
Hand,23107,-1846,-52,20,28,-75,mermaid
Hand,13747,-1185,-561,19,40,-101,mermaid
Hand,18466,-423,4362,15,23,-114,mermaid
Hand,13737,-1209,1173,25,25,-115,mermaid
Hand,12708,-548,1979,16,-13,-108,mermaid
Hand,14743,-1575,1681,7,-10,-124,mermaid
Hand,15115,-1156,1798,13,-22,-114,mermaid
Hand,13055,-604,1079,7,-23,-115,mermaid
Hand,8953,-1366,-334,0,-41,-116,mermaid
Hand,8605,-391,1334,-1,-39,-117,mermaid
Hand,7695,-802,-152,-1,-46,-124,mermaid
Hand,3891,-224,-1118,4,-38,-120,mermaid
Hand,-15,309,-1179,-3,-45,-120,mermaid
Hand,-1075,341,-1962,-2,-40,-127,mermaid
Hand,-4752,469,-1847,-1,-32,-141,mermaid
Hand,-10946,692,-2004,2,-34,-151,mermaid
