Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,807,-146,3912,-10,119,-69,pushback
Hand,-1805,447,1768,-8,91,-20,pushback
Hand,-656,335,1153,-21,74,-22,pushback
Hand,2456,196,2960,-9,91,-29,pushback
Hand,794,2216,6119,7,95,-32,pushback
Hand,5348,3417,6127,17,69,-29,pushback
Hand,10082,6992,11795,19,68,-75,pushback
Hand,11245,6983,16999,43,21,-53,pushback
Hand,9718,9743,19389,68,60,-79,pushback
Hand,7779,10409,25013,108,-12,18,pushback
Hand,14959,10716,25013,94,29,-53,pushback
Hand,1641,10780,25013,126,19,11,pushback
Hand,-14108,13802,25013,141,-7,70,pushback
Hand,-21877,14978,23485,101,-21,60,pushback
Hand,-11076,6581,-847,12,-75,97,pushback
Hand,-3166,3724,298,-39,-51,105,pushback
Hand,-6081,-1140,2790,22,-28,104,pushback
Hand,-6198,-49,-1208,25,-64,105,pushback
Hand,1318,-454,-937,12,-71,82,pushback
Hand,482,-477,-1276,10,-84,77,pushback
Hand,1181,-966,-1227,9,-72,55,pushback
Hand,-9427,-5569,-11323,32,-80,77,pushback
Hand,1717,-7524,-20402,59,-48,69,pushback
Hand,256,-14585,-25014,174,-17,84,pushback
Hand,872,-8595,-25014,158,-11,40,pushback
Hand,-9072,-7916,-25014,149,18,16,pushback
Hand,-6267,-3492,-25014,105,25,-9,pushback
Hand,-9531,-5260,-25014,73,56,-16,pushback
Hand,-14356,-3856,-25014,23,53,-61,pushback
Hand,-1766,-2430,-11135,-9,46,-45,pushback
Hand,60,-1738,-7011,-4,86,-57,pushback
Hand,4334,-961,-1571,-5,83,-52,pushback
Hand,-995,-341,2628,7,87,-37,pushback
Hand,-380,322,-361,-11,87,-32,pushback
Hand,-1129,196,-1176,-26,85,-25,pushback
Hand,2031,-427,3332,-27,93,-26,pushback
Hand,724,-285,2457,-5,98,-23,pushback
Hand,178,49,1915,-8,95,-25,pushback
Hand,1986,-9,3872,0,96,-31,pushback
Hand,3167,2289,9263,-5,86,-28,pushback
Hand,8271,5063,19257,20,72,-34,pushback
Hand,11019,8756,23192,53,53,-60,pushback
Hand,20553,10058,25013,104,-4,-47,pushback
Hand,14157,11427,22389,97,32,-65,pushback
Hand,13146,11155,25013,102,-10,-7,pushback
Hand,2521,12369,25013,104,3,21,pushback
Hand,-13259,14877,24988,85,21,27,pushback
Hand,-25014,8656,8686,58,-25,77,pushback
Hand,-23286,6982,-820,43,-58,130,pushback
Hand,-9398,2066,1244,-63,-79,90,pushback
Hand,-15501,-93,5495,87,-40,158,pushback
Hand,-1038,1079,3,27,-70,108,pushback
Hand,5544,-489,-2415,24,-84,80,pushback
Hand,4763,-383,-1537,18,-88,59,pushback
Hand,2010,-63,-89,7,-71,57,pushback
Hand,-3992,-2286,-5434,-11,-69,48,pushback
Hand,-5540,-7908,-12303,49,-48,69,pushback
Hand,-3435,-15538,-25014,136,-48,87,pushback
