Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-25014,3808,-2884,5,-104,-105,scarecrow
Hand,-25014,2453,-7776,14,-62,-91,scarecrow
Hand,-25014,2333,-10669,15,-20,-73,scarecrow
Hand,-25014,-324,-10200,4,3,-87,scarecrow
Hand,-25014,1019,-8308,41,41,12,scarecrow
Hand,-22946,1982,-8376,-10,48,-12,scarecrow
Hand,-21112,-1456,-7355,1,50,15,scarecrow
Hand,-10618,-85,-3067,11,52,61,scarecrow
Hand,-5628,-505,-1976,2,71,42,scarecrow
Hand,-1794,-45,464,2,75,42,scarecrow
Hand,5982,-462,123,1,92,26,scarecrow
Hand,3644,-756,1050,5,108,11,scarecrow
Hand,1684,-79,888,2,107,4,scarecrow
Hand,-39,-722,1008,8,103,11,scarecrow
Hand,1379,433,1369,17,99,16,scarecrow
Hand,-556,-275,-443,13,100,2,scarecrow
Hand,3855,644,-87,20,77,39,scarecrow
Hand,12060,760,-1795,11,64,39,scarecrow
Hand,25013,-14,491,-8,47,23,scarecrow
Hand,25013,-1102,944,-2,53,-16,scarecrow
Hand,25013,-657,351,-8,24,-48,scarecrow
Hand,25013,-454,539,1,17,-55,scarecrow
Hand,25013,-297,2014,0,-24,-58,scarecrow
Hand,25013,-284,1004,-12,-58,-90,scarecrow
Hand,25013,-1460,4132,-14,-88,-93,scarecrow
Hand,25013,-2448,4093,-10,-124,-86,scarecrow
Hand,25013,-2206,4127,-14,-153,-88,scarecrow
Hand,24097,-3552,2616,-14,-144,-74,scarecrow
Hand,18740,-879,953,-27,-123,-64,scarecrow
Hand,10977,-895,-404,-25,-125,-48,scarecrow
Hand,7771,-371,-1974,-35,-122,-39,scarecrow
Hand,5141,-435,-1160,-43,-101,-33,scarecrow
Hand,2852,407,747,-47,-108,-22,scarecrow
Hand,1153,-340,754,-28,-105,-8,scarecrow
Hand,-1100,-54,508,-25,-98,-8,scarecrow
Hand,-1280,537,404,-28,-99,0,scarecrow
Hand,-1596,-152,210,-20,-90,1,scarecrow
Hand,-3590,750,-102,-21,-93,-12,scarecrow
Hand,-8237,1487,-1721,-8,-104,-43,scarecrow
Hand,-17551,4341,-5421,-15,-114,-66,scarecrow
Hand,-15073,3997,-3285,-27,-135,-95,scarecrow
Hand,-22018,3314,-4115,-13,-123,-103,scarecrow
Hand,-25014,2995,-6572,-5,-123,-110,scarecrow
Hand,-25014,1945,-8573,1,-110,-127,scarecrow
Hand,-25014,1511,-7515,15,-82,-110,scarecrow
Hand,-25014,441,-8250,19,-58,-100,scarecrow
Hand,-25014,694,-8421,31,-31,-72,scarecrow
Hand,-23693,1605,-9520,13,-5,-75,scarecrow
Hand,-22940,1195,-7573,8,19,-62,scarecrow
Hand,-22368,-275,-6913,6,27,-44,scarecrow
Hand,-23028,1200,-3753,9,41,-8,scarecrow
Hand,-22858,2215,-1749,-2,52,1,scarecrow
Hand,-17837,955,1095,-12,66,10,scarecrow
Hand,-10660,-1716,-1173,4,86,31,scarecrow
Hand,-4192,6,910,19,92,61,scarecrow
Hand,434,384,891,15,103,36,scarecrow
Hand,4543,-773,-696,20,105,16,scarecrow
Hand,2224,-772,-1098,19,101,11,scarecrow
Hand,329,-60,-243,21,97,19,scarecrow
Hand,265,706,707,16,102,16,scarecrow
Hand,1847,727,547,16,101,26,scarecrow
Hand,6547,-690,-259,12,97,27,scarecrow
Hand,12974,-2750,-890,9,90,24,scarecrow
Hand,18040,-2946,-1733,10,80,23,scarecrow
Hand,23760,-2363,-1463,-9,61,-1,scarecrow
Hand,25013,-1524,-1084,-13,37,-15,scarecrow
Hand,25013,-848,4602,-21,20,-48,scarecrow
Hand,25013,-2744,2660,-22,-13,-63,scarecrow
Hand,25013,-1296,4337,-11,-26,-62,scarecrow
Hand,25013,-1306,6512,-17,-75,-85,scarecrow
Hand,25013,-2049,4763,-17,-92,-74,scarecrow
Hand,23205,-2176,3154,-19,-123,-70,scarecrow
Hand,24269,-3003,3610,-27,-156,-87,scarecrow
Hand,21744,-2769,2650,-18,-130,-81,scarecrow
Hand,15003,-635,-1331,-25,-121,-50,scarecrow
Hand,12514,-1456,-1540,-50,-118,-53,scarecrow
Hand,8624,-1207,-1929,-49,-104,-47,scarecrow
Hand,4885,-531,-818,-50,-112,-50,scarecrow
Hand,-76,93,-1582,-45,-97,-31,scarecrow
Hand,-1242,-9,-679,-41,-98,-18,scarecrow
Hand,-2195,317,58,-30,-92,-20,scarecrow
Hand,-6324,486,-899,-30,-99,-14,scarecrow
Hand,-6979,3493,-2183,-18,-99,-33,scarecrow
Hand,-14038,4840,-4085,-40,-116,-88,scarecrow
Hand,-17730,3301,-5260,-18,-127,-116,scarecrow
Hand,-25014,4611,-7440,-24,-143,-133,scarecrow
Hand,-25014,3536,-7453,-6,-135,-123,scarecrow
Hand,-25014,1729,-8657,12,-100,-103,scarecrow
Hand,-25014,1782,-9707,17,-77,-88,scarecrow
Hand,-25014,1734,-9925,13,-40,-89,scarecrow
Hand,-25014,927,-9173,14,-21,-76,scarecrow
Hand,-25014,823,-7103,7,5,-79,scarecrow
Hand,-25014,-276,-5024,13,21,-44,scarecrow
Hand,-24061,1781,-2721,24,19,15,scarecrow
Hand,-11985,1697,-1583,-5,60,11,scarecrow
Hand,-12032,-831,-1902,7,75,25,scarecrow
Hand,-6005,935,-92,17,83,32,scarecrow
Hand,-4076,-1155,-1398,9,103,-1,scarecrow
Hand,1280,48,782,19,89,25,scarecrow
Hand,1192,-714,-445,12,108,-5,scarecrow
Hand,2351,-360,885,15,106,-4,scarecrow
Hand,-2611,-671,195,23,118,-21,scarecrow
Hand,-1312,832,1022,32,105,16,scarecrow
Hand,2385,1489,1081,27,95,33,scarecrow
Hand,9165,279,-264,24,88,34,scarecrow
Hand,18296,-1046,-583,13,73,22,scarecrow
Hand,22089,-2150,-912,0,72,-18,scarecrow
Hand,24078,-1647,1141,-8,45,-22,scarecrow
Hand,25013,-1178,1951,-6,38,-47,scarecrow
Hand,25013,-825,4459,-3,9,-49,scarecrow
Hand,25013,-1260,4095,-2,5,-78,scarecrow
Hand,23669,-1302,3313,3,-33,-58,scarecrow
Hand,25013,221,4367,1,-57,-61,scarecrow
Hand,25013,-658,5633,-18,-114,-72,scarecrow
Hand,25013,-2912,8844,-16,-134,-83,scarecrow
Hand,25013,-4692,7695,-18,-166,-91,scarecrow
Hand,20868,-2711,4810,-18,-133,-75,scarecrow
Hand,17445,564,3447,-32,-136,-55,scarecrow
Hand,10628,-1461,260,-31,-103,-56,scarecrow
Hand,4478,-710,-624,-43,-107,-51,scarecrow
Hand,2110,311,-1762,-42,-107,-29,scarecrow
Hand,-1194,-607,-411,-46,-95,-37,scarecrow
Hand,-2012,-101,102,-32,-105,-12,scarecrow
Hand,-4432,686,-466,-31,-87,-18,scarecrow
Hand,-5936,2514,-1626,-22,-93,-4,scarecrow
Hand,-10801,5792,-2551,-35,-95,-47,scarecrow
Hand,-15156,4781,-4035,-11,-102,-74,scarecrow
Hand,-19351,3566,-7627,4,-121,-118,scarecrow
Hand,-23866,3831,-7363,6,-114,-130,scarecrow
