Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-22267,2992,-5179,61,-37,-106,snake
Hand,-23298,3631,-2644,50,-12,-127,snake
Hand,-25014,4755,-4950,93,9,-112,snake
Hand,-25014,3849,-6589,96,39,-128,snake
Hand,-25014,4212,-2934,109,54,-102,snake
Hand,-25014,3710,-1499,103,61,-91,snake
Hand,-18127,2842,-2992,78,79,-63,snake
Hand,-12447,2100,-5701,87,81,-27,snake
Hand,-6092,1264,-9124,82,86,-19,snake
Hand,75,-515,-13189,68,88,-19,snake
Hand,5952,-2276,-14835,65,79,-4,snake
Hand,19393,-3221,-14010,37,76,-8,snake
Hand,25013,-5576,-10800,38,67,-14,snake
Hand,25013,-3953,-480,34,42,-24,snake
Hand,25013,342,7573,21,38,-48,snake
Hand,25013,-2389,8712,7,37,-77,snake
Hand,25013,-933,5730,24,15,-58,snake
Hand,25013,466,3518,3,8,-50,snake
Hand,23222,169,721,12,-44,-27,snake
Hand,24448,779,-581,18,-60,-30,snake
Hand,16222,446,-3634,27,-43,-44,snake
Hand,3791,-485,-6033,31,-54,-70,snake
Hand,-11092,-751,-3607,35,-65,-98,snake
Hand,-17706,1592,-3599,32,-67,-99,snake
Hand,-17766,2331,-3942,35,-29,-147,snake
Hand,-25014,4985,-4831,81,-51,-108,snake
Hand,-25014,5566,-5367,61,-3,-158,snake
Hand,-25014,2602,-7519,109,5,-109,snake
Hand,-25014,3015,-4369,77,41,-116,snake
Hand,-25014,3217,1121,93,63,-85,snake
Hand,-20284,1439,-3551,79,104,-89,snake
Hand,-16286,598,-5453,86,89,-53,snake
Hand,-12508,466,-10744,92,92,-38,snake
Hand,-8995,105,-11218,78,68,-18,snake
Hand,-1028,427,-10164,65,72,-13,snake
Hand,8605,-559,-10737,44,84,-14,snake
Hand,23236,-2988,-10106,25,64,-22,snake
Hand,25013,-6037,-5360,17,47,-41,snake
Hand,25013,-4197,3721,27,31,-25,snake
Hand,25013,-365,10940,26,13,-59,snake
Hand,25013,-1106,9737,10,23,-99,snake
Hand,25013,-323,4661,32,32,-65,snake
Hand,20510,494,518,16,8,-58,snake
Hand,14510,648,981,19,-44,-47,snake
Hand,13157,69,301,29,-53,-54,snake
Hand,6318,-250,-2266,28,-33,-69,snake
Hand,-3561,-1714,-2115,15,-36,-100,snake
Hand,-12447,-1033,-1056,21,-39,-94,snake
Hand,-17977,1415,-2858,11,-15,-112,snake
Hand,-21704,2634,-1549,28,-37,-139,snake
Hand,-25014,3098,-1922,32,6,-143,snake
Hand,-25014,5700,-537,47,24,-126,snake
Hand,-25014,5053,348,59,53,-141,snake
Hand,-24868,5401,2715,96,74,-109,snake
Hand,-22271,3502,-253,89,93,-104,snake
Hand,-17780,1851,-3689,90,81,-76,snake
Hand,-9586,1207,-7241,91,78,-43,snake
Hand,-591,615,-6905,85,68,-28,snake
Hand,8973,260,-5550,61,67,-37,snake
Hand,12705,-1691,-6460,52,78,-48,snake
Hand,19349,-3867,-6403,48,71,-48,snake
Hand,24538,-3998,-1963,45,40,-29,snake
Hand,25013,-3034,3731,35,20,-45,snake
Hand,25013,-3650,5672,25,22,-68,snake
Hand,25013,-1840,6339,26,35,-77,snake
