Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-6120,-6067,6179,5,32,-39,window360
Hand,-1983,-7395,5121,20,19,-33,window360
Hand,4288,-6553,6582,49,28,-46,window360
Hand,6534,-6007,3120,63,52,-60,window360
Hand,10829,-5408,2279,73,57,-58,window360
Hand,11123,-4092,2482,68,53,-57,window360
Hand,16762,-2750,3365,100,97,-93,window360
Hand,13235,61,2624,100,93,-81,window360
Hand,11646,2538,870,102,133,-126,window360
Hand,3002,2344,-6631,67,128,-132,window360
Hand,-1918,3298,-5636,21,119,-120,window360
Hand,-8107,2809,-5443,-20,119,-118,window360
Hand,-9800,434,-2590,-44,101,-114,window360
Hand,-13202,-564,1082,-46,91,-110,window360
Hand,-13679,-1599,3693,-43,72,-98,window360
Hand,-13576,-3312,2911,-32,61,-84,window360
Hand,-15011,-4446,2137,-25,47,-69,window360
Hand,-11021,-5380,3509,-13,35,-55,window360
Hand,-6592,-6047,4876,1,25,-40,window360
Hand,-3789,-6434,4657,19,27,-34,window360
Hand,1150,-6783,3986,33,23,-33,window360
Hand,6372,-6250,4611,47,45,-60,window360
Hand,3980,-5665,3477,55,44,-39,window360
Hand,11066,-4657,4108,88,81,-78,window360
Hand,10788,-3476,-1261,112,111,-82,window360
Hand,9011,-588,-2134,115,116,-89,window360
Hand,4816,1731,-1521,84,120,-85,window360
Hand,2314,3388,-1162,60,135,-89,window360
Hand,-842,4185,-2867,24,152,-92,window360
Hand,-7341,2547,-4462,-25,144,-100,window360
Hand,-10499,847,-1449,-46,124,-106,window360
Hand,-13370,-949,-924,-39,97,-96,window360
Hand,-13497,-2173,-1011,-43,73,-89,window360
Hand,-11553,-4534,1024,-25,48,-69,window360
Hand,-10973,-4854,3799,-15,42,-44,window360
Hand,-9670,-6673,485,0,47,-41,window360
Hand,-5062,-6254,795,19,37,-26,window360
Hand,711,-6743,985,22,36,-23,window360
Hand,6256,-6456,2842,35,46,-35,window360
Hand,8886,-6238,2637,41,53,-35,window360
Hand,11824,-5556,3647,49,51,-50,window360
Hand,10975,-3234,5180,63,78,-56,window360
Hand,8671,-1432,5011,102,87,-81,window360
Hand,7416,-108,-2180,100,132,-100,window360
Hand,11284,277,-5036,82,98,-50,window360
Hand,4547,2840,-3724,64,152,-111,window360
Hand,537,3429,-3033,34,145,-99,window360
Hand,-7365,2705,-5305,-18,161,-148,window360
Hand,-14105,1039,-3067,-44,117,-112,window360
Hand,-17184,-955,-1808,-39,89,-95,window360
Hand,-16837,-3655,-1495,-28,62,-75,window360
Hand,-13808,-5524,-1190,-26,47,-61,window360
Hand,-6883,-6919,2015,-10,38,-50,window360
Hand,-5054,-7623,4376,-3,47,-60,window360
Hand,-3750,-7242,4890,4,43,-48,window360
Hand,-678,-7415,5642,15,37,-45,window360
Hand,1458,-7225,5542,29,52,-54,window360
Hand,3975,-7082,4349,35,52,-54,window360
Hand,8087,-6402,2986,57,52,-50,window360
Hand,11282,-5763,-1834,79,68,-72,window360
Hand,13107,-3357,1385,96,67,-54,window360
Hand,12779,-2456,2111,102,100,-61,window360
Hand,14673,1647,1850,102,115,-92,window360
Hand,3911,3524,-3266,80,147,-112,window360
Hand,2569,4424,-7750,43,149,-109,window360
Hand,-6745,4101,-7401,-2,163,-143,window360
Hand,-14324,1834,-3014,-45,131,-125,window360
Hand,-12514,250,1714,-42,89,-103,window360
Hand,-12872,-1511,-95,-23,76,-91,window360
Hand,-12912,-2992,-2347,-22,50,-53,window360
Hand,-12261,-4684,-376,-17,42,-44,window360
Hand,-8587,-6041,825,-2,44,-48,window360
Hand,-6682,-6928,-580,8,44,-49,window360
Hand,-1391,-7454,405,10,36,-50,window360
Hand,1456,-6960,2888,17,43,-44,window360
Hand,5182,-6711,3562,28,37,-37,window360
Hand,12901,-6608,4808,54,44,-63,window360
Hand,13009,-5458,4118,60,51,-68,window360
Hand,12704,-3034,3515,78,94,-69,window360
Hand,14051,-2840,4037,81,96,-71,window360
Hand,10676,611,6518,93,124,-72,window360
Hand,11706,1293,-421,99,152,-101,window360
Hand,2857,3590,-7072,65,158,-143,window360
Hand,-3636,2943,-8485,-1,127,-111,window360
Hand,-11949,1542,-4672,-41,125,-140,window360
Hand,-13949,133,71,-35,90,-126,window360
Hand,-18685,-879,474,-28,71,-104,window360
Hand,-17190,-2585,189,-26,50,-72,window360
Hand,-13988,-4470,885,-19,35,-49,window360
Hand,-8587,-5476,1566,3,46,-44,window360
Hand,-7556,-6469,536,-3,48,-57,window360
Hand,-1343,-7710,2179,5,34,-46,window360
Hand,659,-6709,6667,19,38,-47,window360
Hand,2885,-7000,4745,26,42,-36,window360
Hand,8174,-6578,4547,49,46,-43,window360
Hand,11947,-5541,4502,66,61,-61,window360
Hand,11978,-4047,3824,81,92,-72,window360
Hand,11057,-3331,2419,83,84,-58,window360
Hand,10226,-1187,2573,83,109,-65,window360
Hand,10059,453,231,98,108,-54,window360
Hand,7541,3052,-4840,70,140,-112,window360
Hand,2306,3621,-8620,41,144,-158,window360
Hand,-9795,3820,-8072,-25,129,-144,window360
Hand,-11208,1549,-4370,-53,102,-118,window360
Hand,-10090,249,-56,-37,87,-110,window360
Hand,-6956,-609,2831,-24,71,-89,window360
Hand,-12375,-2818,2919,-13,68,-79,window360
Hand,-13866,-4050,2039,-10,48,-58,window360
Hand,-13286,-5348,2096,-4,37,-43,window360
Hand,-7585,-6263,4661,5,28,-45,window360
Hand,-5508,-6318,4837,19,29,-38,window360
Hand,1618,-7973,2718,34,7,-30,window360
Hand,3947,-6284,5298,57,48,-61,window360
Hand,4885,-6402,2844,58,55,-57,window360
Hand,10116,-4212,4729,91,64,-59,window360
Hand,12389,-1830,7989,116,93,-69,window360
Hand,11798,-715,-1795,101,110,-66,window360
Hand,12104,2037,-89,101,95,-54,window360
Hand,9607,3085,-7753,61,126,-95,window360
Hand,6489,3991,-10636,19,152,-105,window360
Hand,-5108,1688,-7660,-24,141,-131,window360
Hand,-16958,292,-6887,-56,135,-124,window360
Hand,-15596,-372,-444,-50,92,-109,window360
Hand,-17125,-1979,1448,-33,60,-85,window360
Hand,-14176,-4080,1462,-16,56,-68,window360
Hand,-12869,-5632,2160,2,39,-26,window360
Hand,-6856,-6340,2692,-1,52,-49,window360
Hand,-6406,-7224,1479,12,54,-42,window360
Hand,-1327,-7656,282,20,48,-44,window360
Hand,2421,-7594,178,37,60,-59,window360
Hand,3468,-7173,30,32,52,-59,window360
Hand,6663,-6111,2525,41,61,-68,window360
Hand,12926,-5997,5595,66,61,-75,window360
Hand,9369,-3619,5895,58,89,-58,window360
Hand,8935,-2093,4637,92,85,-48,window360
Hand,6737,-364,-57,65,98,-60,window360
Hand,10259,1015,97,70,102,-61,window360
Hand,9223,2568,321,71,115,-80,window360
Hand,7295,2713,-4366,33,128,-104,window360
Hand,3600,3551,-5798,-9,140,-108,window360
