Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-10279,-10050,5237,9,25,-56,dab
Hand,-8863,-2095,5727,4,36,-46,dab
Hand,-7326,-1469,4761,5,54,-45,dab
Hand,-6582,-1095,2950,6,58,-28,dab
Hand,-8762,2858,1871,27,68,17,dab
Hand,-2408,2015,56,36,46,81,dab
Hand,5720,3170,-1350,38,48,83,dab
Hand,14011,1713,-4861,23,22,42,dab
Hand,16672,8170,-4166,9,13,-24,dab
Hand,17415,10814,-4383,15,-17,-54,dab
Hand,20318,16915,-3190,27,-40,-86,dab
Hand,20441,17531,-1663,36,-48,-102,dab
Hand,22091,16541,-162,55,-63,-112,dab
Hand,22302,14618,2049,74,-75,-113,dab
Hand,21589,13612,4790,85,-83,-123,dab
Hand,17389,11172,8285,82,-99,-118,dab
Hand,15850,6136,6808,86,-103,-86,dab
Hand,16473,138,7835,61,-113,-102,dab
Hand,15696,6863,9443,83,-129,-78,dab
Hand,16989,-111,7827,92,-128,-82,dab
Hand,13003,8850,4942,88,-117,-72,dab
Hand,11153,2955,-317,90,-104,-51,dab
Hand,4909,917,-197,59,-86,-72,dab
Hand,-2709,-11751,-2633,98,-83,-41,dab
Hand,-5663,-9440,-6028,118,-97,-21,dab
Hand,-7060,-13063,-11625,131,-104,-8,dab
Hand,-5054,-12364,-14274,130,-110,-11,dab
Hand,-5134,-9876,-17255,133,-110,-15,dab
Hand,-5603,-8624,-19019,137,-109,-12,dab
Hand,-3853,-9083,-21271,138,-106,-26,dab
Hand,-5090,-8024,-23061,127,-99,-30,dab
Hand,-4458,-10445,-23321,115,-85,-33,dab
Hand,-4379,-7521,-23161,89,-63,-33,dab
Hand,-348,-10667,-21994,53,-38,-39,dab
Hand,-1055,-5860,-19159,59,-10,-43,dab
Hand,-1380,-6982,-17284,37,7,-53,dab
Hand,-4149,-4975,-14983,13,19,-61,dab
Hand,-4921,-4555,-12750,17,27,-54,dab
Hand,-5836,-5805,-10602,1,29,-48,dab
Hand,-2478,-2791,-8540,-15,38,-38,dab
Hand,2460,-3210,-4473,-43,61,-68,dab
Hand,-2278,9553,1383,-47,42,-57,dab
Hand,-775,-6134,5437,-75,17,-44,dab
Hand,2643,2926,13038,-33,0,-39,dab
Hand,4359,694,16474,10,2,-53,dab
Hand,3441,3382,17860,24,6,-57,dab
Hand,2618,8927,21465,83,0,-45,dab
Hand,1313,10029,19971,84,15,-47,dab
Hand,1760,12726,22276,119,-6,-37,dab
Hand,1461,6405,21785,124,-22,-40,dab
Hand,3906,10452,21701,127,-32,-42,dab
Hand,5831,3218,21385,161,-56,-40,dab
Hand,4422,10300,17686,119,-45,-49,dab
Hand,1360,-1915,16056,114,-72,-33,dab
Hand,3275,7120,16986,123,-83,-23,dab
Hand,1947,10503,14932,115,-86,-15,dab
Hand,3094,10058,12313,117,-103,-6,dab
Hand,7090,-1920,8692,97,-105,-22,dab
Hand,7218,-831,4981,111,-94,-12,dab
Hand,5961,2001,967,93,-83,-30,dab
Hand,2074,-1000,-1537,67,-82,-50,dab
Hand,-3279,1271,-2706,73,-94,-60,dab
Hand,-4780,-3387,-3218,62,-106,-86,dab
Hand,-9605,-5224,-3711,86,-114,-92,dab
Hand,-13391,-6603,-4459,86,-127,-109,dab
Hand,-17752,-8440,-5740,79,-130,-106,dab
Hand,-20639,-4274,-3600,99,-128,-78,dab
Hand,-21239,-7519,-5018,84,-115,-85,dab
Hand,-20953,-7817,-4149,87,-102,-75,dab
Hand,-19669,-12158,-4587,66,-76,-85,dab
Hand,-20726,-10659,-1704,57,-59,-65,dab
Hand,-17776,-7804,119,55,-33,-49,dab
Hand,-13630,-14219,-140,28,-14,-63,dab
Hand,-8776,-10373,1636,20,4,-73,dab
Hand,-11127,-9009,2666,11,31,-76,dab
Hand,-10284,-8313,3850,13,31,-60,dab
Hand,-7442,-7849,3466,8,36,-53,dab
Hand,-5685,-5399,3484,13,53,-58,dab
Hand,-7305,-3476,2250,9,57,-46,dab
Hand,-10016,1505,1619,19,64,-17,dab
Hand,-6794,2668,-786,30,72,33,dab
Hand,-1703,3060,-931,12,60,67,dab
Hand,9780,1428,229,14,41,49,dab
Hand,13860,3525,-1265,21,31,6,dab
Hand,16273,9165,-553,31,14,-28,dab
Hand,17034,6324,-1642,22,3,-65,dab
Hand,18179,7885,-2580,48,-8,-74,dab
Hand,22454,10584,-1121,37,-20,-115,dab
Hand,20249,7771,-797,35,-35,-132,dab
Hand,18502,9147,-241,53,-66,-111,dab
Hand,20228,11396,2324,73,-59,-121,dab
Hand,15832,13315,3194,88,-72,-120,dab
Hand,16713,5880,2078,81,-78,-118,dab
Hand,12240,13166,3740,84,-95,-85,dab
Hand,12711,4817,2790,75,-84,-88,dab
Hand,12615,-1854,1040,72,-97,-70,dab
Hand,17021,-5035,2441,66,-114,-78,dab
Hand,15155,3562,3226,92,-88,-64,dab
Hand,9318,1238,595,62,-89,-62,dab
Hand,6059,1434,433,61,-86,-34,dab
Hand,5990,-2141,1776,60,-88,-47,dab
Hand,39,-3456,931,75,-82,-44,dab
Hand,-2526,-2861,-1542,94,-87,-33,dab
Hand,-4791,-2289,-4163,94,-88,-24,dab
Hand,-4157,-4650,-5702,102,-92,-26,dab
Hand,-5089,-8804,-9255,128,-91,-23,dab
Hand,-4786,-6602,-12881,135,-90,-28,dab
Hand,-6135,-8077,-15717,137,-96,-26,dab
Hand,-5963,-6658,-17563,136,-86,-35,dab
Hand,-5797,-7155,-19198,134,-74,-39,dab
Hand,-5877,-9464,-20976,116,-65,-45,dab
Hand,-6211,-6034,-20682,113,-50,-37,dab
Hand,-5222,-10578,-21239,98,-33,-42,dab
Hand,-5012,-7090,-19809,73,-19,-50,dab
Hand,-6141,-6624,-18074,60,-5,-42,dab
Hand,-3743,-5989,-16999,41,12,-43,dab
