Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-6207,-6355,6778,112,69,-15,jamesbond
Hand,-9514,-3578,1208,122,71,-14,jamesbond
Hand,-10679,-1983,621,117,59,-19,jamesbond
Hand,-6722,-7176,285,111,56,6,jamesbond
Hand,-8066,-2885,394,99,43,-40,jamesbond
Hand,-6149,-5715,956,119,37,-17,jamesbond
Hand,-5277,-5266,5788,111,34,-50,jamesbond
Hand,-1495,-5262,-717,115,-22,17,jamesbond
Hand,-1672,-5087,-421,133,24,-47,jamesbond
Hand,-1706,-4976,-373,127,-13,-3,jamesbond
Hand,-1706,-4968,-373,108,-8,-19,jamesbond
Hand,-1707,-5002,-397,69,-9,3,jamesbond
Hand,-1737,-5029,-365,88,-9,-6,jamesbond
Hand,-1727,-4984,-386,119,-7,11,jamesbond
Hand,-1693,-5020,-365,77,0,7,jamesbond
Hand,-1724,-4976,-361,82,9,-3,jamesbond
Hand,-1711,-4982,-367,102,-11,-4,jamesbond
Hand,-1703,-4989,-368,88,-10,-8,jamesbond
Hand,-1754,-4995,-340,113,7,-11,jamesbond
Hand,-1711,-5012,-370,108,13,-26,jamesbond
Hand,-1720,-4953,-373,117,16,0,jamesbond
Hand,-1722,-4985,-345,115,40,3,jamesbond
Hand,4091,2926,-5029,105,52,-22,jamesbond
Hand,7354,1701,824,102,73,-22,jamesbond
Hand,4350,3846,150,108,52,-6,jamesbond
Hand,8640,4505,-566,103,53,-15,jamesbond
Hand,7892,3475,-1950,122,50,-19,jamesbond
Hand,14091,1764,2423,103,100,-8,jamesbond
Hand,11534,7061,3333,109,84,-32,jamesbond
Hand,10863,2085,1779,118,49,6,jamesbond
Hand,9524,1229,-6098,115,62,24,jamesbond
Hand,9866,7173,-765,90,50,23,jamesbond
Hand,10366,1385,3320,119,45,20,jamesbond
Hand,9901,1018,-177,129,48,3,jamesbond
Hand,9937,917,860,138,40,5,jamesbond
Hand,4806,-2226,-1282,116,27,-25,jamesbond
Hand,6355,1428,496,119,-4,28,jamesbond
Hand,-1724,-5118,-164,101,45,-45,jamesbond
Hand,-1708,-5108,-152,91,-3,14,jamesbond
Hand,-1720,-5085,-133,123,13,-32,jamesbond
Hand,1263,-2695,-1699,90,7,-20,jamesbond
Hand,1918,3384,2734,101,-3,-18,jamesbond
Hand,2182,-1227,3511,123,-5,-7,jamesbond
Hand,5939,-5498,-2508,105,1,-9,jamesbond
Hand,324,2488,-2424,76,11,-18,jamesbond
Hand,-545,2690,-248,81,5,-11,jamesbond
Hand,3336,-5147,-4166,99,13,-25,jamesbond
Hand,3725,2030,-1584,106,-6,-33,jamesbond
Hand,-1302,3865,-2586,122,6,-8,jamesbond
Hand,2205,-1050,-4180,91,14,-48,jamesbond
Hand,-3960,3121,-2405,101,20,-7,jamesbond
Hand,-5460,1910,-749,97,43,-20,jamesbond
Hand,730,-1340,-2615,96,14,-17,jamesbond
Hand,-10337,1702,2409,107,44,-1,jamesbond
Hand,-6441,-4774,-1549,119,63,-6,jamesbond
Hand,-12357,-3343,-1098,122,45,0,jamesbond
Hand,-18133,-4533,4267,126,48,33,jamesbond
Hand,-13538,-7348,-3985,110,62,29,jamesbond
Hand,-4070,-12183,-6424,42,164,5,jamesbond
Hand,-16025,3260,13425,77,89,-28,jamesbond
Hand,-12900,-5511,3595,113,44,-12,jamesbond
Hand,-11984,-4373,1650,117,77,-32,jamesbond
Hand,-13180,-2625,2194,106,42,-20,jamesbond
Hand,-1720,-5048,-231,116,67,-22,jamesbond
Hand,-13595,-4874,-8012,124,55,-15,jamesbond
Hand,-8015,-6663,1422,107,33,-7,jamesbond
Hand,-3398,-6336,1250,137,50,-20,jamesbond
Hand,-1743,-4966,1992,118,11,3,jamesbond
Hand,-1715,-5097,-151,115,12,-17,jamesbond
Hand,-1680,-5114,-154,118,8,3,jamesbond
Hand,-1704,-4971,-135,80,19,-32,jamesbond
Hand,-1709,-4969,-156,76,-13,-2,jamesbond
Hand,-1713,-4973,-138,97,-16,-15,jamesbond
Hand,-1739,-5008,-152,112,-3,17,jamesbond
Hand,-1737,-4972,-147,68,18,-9,jamesbond
Hand,-1692,-4981,-133,100,25,-5,jamesbond
Hand,-1706,-4997,-150,117,3,9,jamesbond
Hand,-1705,-5011,-166,108,-5,-9,jamesbond
Hand,-1751,-5015,-171,97,0,-15,jamesbond
Hand,-1721,-4964,-151,99,0,5,jamesbond
Hand,3330,-869,1013,72,16,2,jamesbond
Hand,5644,4008,1673,105,27,-5,jamesbond
Hand,7440,-1047,302,121,36,0,jamesbond
Hand,160,4390,-588,116,59,4,jamesbond
Hand,10079,1021,352,123,53,-19,jamesbond
Hand,4962,2434,1107,125,52,-15,jamesbond
Hand,6779,1523,-2282,135,63,-29,jamesbond
Hand,7925,1647,-1347,101,66,7,jamesbond
Hand,12609,6606,1633,87,94,-21,jamesbond
Hand,14271,6952,466,134,60,19,jamesbond
Hand,11527,3806,511,119,54,10,jamesbond
Hand,12208,3484,-1311,116,59,16,jamesbond
Hand,15533,2796,-2709,113,46,27,jamesbond
Hand,15302,3227,-780,135,64,8,jamesbond
Hand,16255,3277,-5313,97,45,19,jamesbond
Hand,13637,407,47,111,62,-12,jamesbond
Hand,7885,-3045,540,116,32,-1,jamesbond
Hand,4105,425,-3057,120,36,-21,jamesbond
Hand,6452,-105,3018,110,7,-41,jamesbond
Hand,2879,1357,-1036,126,16,-19,jamesbond
Hand,107,470,408,90,7,-28,jamesbond
Hand,4746,2025,2564,73,6,-25,jamesbond
Hand,5132,3740,8763,96,5,-30,jamesbond
Hand,2317,8869,4410,106,-6,-17,jamesbond
Hand,2053,-1953,1353,135,-11,-12,jamesbond
Hand,-193,-2951,-6222,92,8,-22,jamesbond
Hand,-450,1484,-2606,88,5,-26,jamesbond
Hand,-1095,727,-4275,83,19,-15,jamesbond
Hand,-621,-4750,-4204,80,12,-48,jamesbond
Hand,-2534,5259,-3663,112,12,-34,jamesbond
Hand,-7353,1638,15,92,11,-7,jamesbond
Hand,-3777,-3718,-1789,72,35,-29,jamesbond
Hand,-3753,-1169,291,111,26,6,jamesbond
Hand,-8414,-4905,3263,94,38,-10,jamesbond
Hand,-4773,326,1898,126,35,1,jamesbond
Hand,-10687,-2488,4868,144,43,-2,jamesbond
Hand,-11836,-2981,1289,138,35,11,jamesbond
Hand,-14205,-2950,1706,136,42,22,jamesbond
Hand,-13170,-7266,177,133,55,28,jamesbond
Hand,-2946,-7142,-2895,105,126,12,jamesbond
Hand,-14555,4279,777,88,80,-33,jamesbond
Hand,-13189,-6271,-1644,102,55,-7,jamesbond
Hand,-8016,-7534,-1321,116,67,-27,jamesbond
Hand,-13566,-2617,-1514,102,57,-35,jamesbond
Hand,-9790,592,2078,122,48,-4,jamesbond
Hand,-8317,-2384,537,103,54,-16,jamesbond
Hand,-6156,-9746,-2195,111,61,-17,jamesbond
Hand,-5644,-6615,-974,99,46,-14,jamesbond
Hand,-8660,-4131,833,91,47,-30,jamesbond
Hand,-1956,-1593,4290,108,23,7,jamesbond
Hand,-4615,-3492,5468,113,21,-21,jamesbond
Hand,-2210,-2629,1659,130,33,-14,jamesbond
Hand,-1879,-3081,-758,85,1,-20,jamesbond
Hand,630,1277,2478,109,10,-3,jamesbond
Hand,2138,5179,5089,86,7,-21,jamesbond
Hand,-3376,2518,8069,109,4,-13,jamesbond
Hand,3543,-4308,-1156,127,4,10,jamesbond
Hand,-228,-1813,-5075,105,13,-8,jamesbond
Hand,-1289,4092,-3068,88,5,-14,jamesbond
Hand,4156,22,-483,100,-7,-6,jamesbond
Hand,1891,-137,-1243,102,-5,5,jamesbond
Hand,3069,1156,-2114,84,3,-31,jamesbond
Hand,-55,572,-3710,108,8,1,jamesbond
Hand,1604,-2161,-2214,85,28,-11,jamesbond
Hand,4497,1446,-4066,100,47,-16,jamesbond
Hand,3964,-847,-1358,109,52,-3,jamesbond
Hand,2303,4580,-1458,113,67,-19,jamesbond
Hand,8011,-1163,-4831,113,73,-15,jamesbond
Hand,3988,4379,-1614,112,68,-24,jamesbond
Hand,4429,5048,-2268,107,63,-15,jamesbond
Hand,7950,982,-4010,96,75,-28,jamesbond
Hand,8902,5704,576,90,109,-31,jamesbond
Hand,6909,10581,2755,75,69,14,jamesbond
Hand,12785,-1770,176,104,53,-7,jamesbond
Hand,10877,4946,-631,109,61,2,jamesbond
Hand,13237,7227,1903,96,43,13,jamesbond
Hand,13256,4108,3813,99,54,8,jamesbond
Hand,16015,6088,3589,116,47,6,jamesbond
Hand,10801,1258,-562,132,48,7,jamesbond
Hand,15186,3305,-3221,127,44,-9,jamesbond
Hand,8219,1323,-3228,139,27,-4,jamesbond
Hand,10140,1335,-1784,109,39,-22,jamesbond
Hand,9098,1326,2149,119,20,-13,jamesbond
Hand,7189,-5037,-1588,109,23,-22,jamesbond
Hand,4593,-1563,471,95,26,-52,jamesbond
Hand,3618,355,573,102,0,-24,jamesbond
Hand,1650,4985,2884,107,19,-42,jamesbond
Hand,2463,2838,1047,100,3,-15,jamesbond
Hand,1040,2521,2766,53,-8,-32,jamesbond
Hand,2343,699,6566,131,0,-14,jamesbond
Hand,811,-21,-3064,116,3,-28,jamesbond
Hand,-805,6329,-4576,76,7,-35,jamesbond
Hand,-180,737,-1886,105,0,0,jamesbond
Hand,3256,-3435,-1740,82,-5,-31,jamesbond
Hand,480,3724,-1105,108,0,-20,jamesbond
Hand,-2976,1350,-2253,90,7,-27,jamesbond
Hand,-3302,1853,-3968,115,6,-11,jamesbond
Hand,-6358,-1527,-1704,107,38,-9,jamesbond
Hand,-4056,-2115,-5981,99,33,-14,jamesbond
Hand,-9046,-3237,-2782,119,49,-5,jamesbond
Hand,-7982,-3289,-2489,103,76,-17,jamesbond
Hand,-12882,-1260,1131,118,60,22,jamesbond
Hand,-11763,-7290,-804,98,65,13,jamesbond
Hand,-9338,-8595,1524,105,73,15,jamesbond
Hand,-10251,-6423,1439,98,121,5,jamesbond
Hand,-10518,-3137,1373,67,86,4,jamesbond
Hand,-6620,-8127,9409,99,68,-24,jamesbond
Hand,-8956,-1058,3353,123,61,-29,jamesbond
Hand,-12863,-5637,946,100,54,-35,jamesbond
Hand,-10027,-989,2712,110,45,-3,jamesbond
Hand,-8493,-4960,2421,107,52,-37,jamesbond
Hand,-9854,-5280,579,120,38,-11,jamesbond
Hand,-6622,-3169,2040,115,45,-41,jamesbond
Hand,-6340,-5489,-2704,122,38,-3,jamesbond
Hand,-6766,-8844,1288,100,37,-32,jamesbond
Hand,-3198,-1418,1876,112,40,-20,jamesbond
Hand,-3105,-3880,4898,100,23,-34,jamesbond
Hand,-2327,-2005,3369,113,1,-11,jamesbond
Hand,2281,364,5611,125,17,-30,jamesbond
Hand,-5182,1795,-4660,81,21,-23,jamesbond
Hand,-692,853,5495,89,2,-24,jamesbond
Hand,-2909,7490,3142,111,-1,-11,jamesbond
Hand,-2088,1684,-593,100,11,-1,jamesbond
Hand,-2139,1983,-2250,100,15,-8,jamesbond
Hand,-456,-850,-2695,96,2,-4,jamesbond
Hand,2566,879,918,94,2,-9,jamesbond
Hand,3329,2782,-1163,101,-3,-3,jamesbond
Hand,1996,729,-610,93,-3,-13,jamesbond
Hand,3149,585,-114,112,7,4,jamesbond
Hand,821,-866,-3099,102,37,-21,jamesbond
Hand,2766,951,-1368,117,42,-8,jamesbond
Hand,2363,379,-785,118,40,10,jamesbond
Hand,3545,-2300,-4250,108,65,-26,jamesbond
Hand,4494,3524,-3033,106,49,-4,jamesbond
Hand,3154,1742,170,109,68,-12,jamesbond
Hand,5964,-153,-7392,112,79,-15,jamesbond
Hand,9065,924,-4446,88,99,-13,jamesbond
Hand,11151,7645,185,95,83,-4,jamesbond
Hand,13806,3847,-783,112,55,-9,jamesbond
Hand,13945,3866,-3242,116,57,-7,jamesbond
Hand,13089,6769,-1967,102,54,-2,jamesbond
Hand,16679,8703,1285,100,45,10,jamesbond
Hand,16675,4747,469,103,39,8,jamesbond
Hand,16227,4406,1485,115,52,-13,jamesbond
Hand,14544,1760,-1764,111,29,-10,jamesbond
Hand,8482,-108,-183,124,43,-21,jamesbond
Hand,9465,3485,504,101,30,-28,jamesbond
Hand,9435,53,115,122,25,0,jamesbond
Hand,7640,1501,2108,106,32,-41,jamesbond
Hand,9003,1808,4251,126,21,-17,jamesbond
Hand,1698,-2015,746,101,2,-49,jamesbond
Hand,-2450,-1246,563,115,9,-34,jamesbond
Hand,-1408,2115,-1262,115,-11,-25,jamesbond
Hand,-334,2926,398,89,-4,-27,jamesbond
Hand,6511,4399,4985,91,-16,-18,jamesbond
Hand,469,581,-2731,90,-1,-26,jamesbond
Hand,-847,4266,-4727,77,4,-22,jamesbond
Hand,-1199,145,-4507,92,-7,-19,jamesbond
Hand,1690,1750,-3510,83,-5,-31,jamesbond
Hand,-1653,4598,-1618,110,-9,-21,jamesbond
Hand,-1150,-307,-2310,94,9,-35,jamesbond
Hand,-4209,-1307,-1976,105,23,-17,jamesbond
Hand,-4277,-1563,-658,104,33,-15,jamesbond
Hand,-9215,-2523,-2205,113,50,-3,jamesbond
Hand,-6600,-7134,-102,115,49,-14,jamesbond
Hand,-11831,718,2861,123,64,-9,jamesbond
Hand,-14485,-4477,-39,120,57,20,jamesbond
Hand,-14525,-9920,-1726,117,52,15,jamesbond
Hand,-12838,-9667,2372,100,67,9,jamesbond
Hand,-9202,-6441,2773,74,145,5,jamesbond
Hand,-12797,-1128,8727,81,57,-8,jamesbond
Hand,-7269,-6677,7051,136,59,-38,jamesbond
Hand,-13625,1622,1008,131,49,-39,jamesbond
Hand,-13292,-5373,-1095,110,42,-31,jamesbond
Hand,-9538,-3677,-1110,112,49,-17,jamesbond
Hand,-7654,-3480,916,110,50,-19,jamesbond
Hand,-5913,-1350,866,117,25,-5,jamesbond
