Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-5662,174,-1502,13,65,30,mermaid
Hand,3678,889,2009,13,79,5,mermaid
Hand,8678,-201,3105,12,86,-15,mermaid
Hand,12522,-1340,3381,20,88,-32,mermaid
Hand,14113,-1022,2829,28,87,-51,mermaid
Hand,15922,-2510,2038,33,73,-73,mermaid
Hand,15721,1970,5066,41,70,-83,mermaid
Hand,17785,-31,2865,47,70,-79,mermaid
Hand,20256,346,-511,45,60,-99,mermaid
Hand,23266,-1798,118,39,38,-120,mermaid
Hand,24663,3287,1398,41,23,-142,mermaid
Hand,21617,2392,489,44,-3,-122,mermaid
Hand,25013,7542,1909,23,-39,-139,mermaid
Hand,25013,3798,1624,37,-45,-145,mermaid
Hand,25013,1598,382,40,-85,-124,mermaid
Hand,25013,-267,1734,36,-97,-131,mermaid
Hand,14853,-2784,3581,44,-88,-122,mermaid
Hand,-1410,-7406,2131,35,-98,-100,mermaid
Hand,-8229,-1664,2535,44,-113,-68,mermaid
Hand,-8980,-3405,3323,46,-104,-57,mermaid
Hand,-10681,-366,2469,45,-97,-60,mermaid
Hand,-12695,1235,-309,41,-88,-49,mermaid
Hand,-11944,-237,6,36,-86,-61,mermaid
Hand,-12953,3318,-2688,41,-72,-55,mermaid
Hand,-12532,2363,-2224,21,-58,-76,mermaid
Hand,-18389,-3834,-1215,23,-37,-79,mermaid
Hand,-22928,-6456,-279,17,-25,-78,mermaid
Hand,-25014,-5789,493,26,-11,-62,mermaid
Hand,-25014,-1432,-1301,23,3,-57,mermaid
Hand,-25014,-2138,-3736,19,30,-46,mermaid
Hand,-24095,3262,-2673,12,43,-31,mermaid
Hand,-24326,1842,-2493,5,51,-34,mermaid
Hand,-20035,1095,-4488,14,66,-6,mermaid
Hand,-12015,-1102,-4365,5,55,13,mermaid
Hand,-8256,3189,232,-5,68,5,mermaid
Hand,2421,1621,5657,14,72,27,mermaid
Hand,8914,1605,5469,15,87,-17,mermaid
Hand,13748,-1813,3529,19,84,-29,mermaid
Hand,17556,350,4262,26,80,-53,mermaid
Hand,16987,-201,4945,31,73,-66,mermaid
Hand,25013,105,7131,42,46,-72,mermaid
Hand,23639,1098,4190,41,47,-125,mermaid
Hand,25013,2224,3566,45,15,-119,mermaid
Hand,21944,-2591,3005,41,18,-153,mermaid
Hand,25013,-5549,-2531,41,-18,-154,mermaid
Hand,25013,-878,-105,33,-43,-189,mermaid
Hand,25013,5889,2737,48,-76,-144,mermaid
Hand,22890,2617,2091,38,-68,-139,mermaid
Hand,8235,-1340,-1592,30,-65,-117,mermaid
Hand,-8,-2092,-305,27,-100,-91,mermaid
Hand,-776,385,1937,33,-97,-69,mermaid
Hand,-2157,-2775,4140,36,-90,-69,mermaid
Hand,-4963,-3556,4246,44,-86,-66,mermaid
Hand,-8712,-2446,3236,39,-90,-72,mermaid
Hand,-11654,2942,-777,48,-76,-64,mermaid
Hand,-15507,3947,-2830,28,-72,-77,mermaid
Hand,-17615,1984,-2971,28,-64,-71,mermaid
Hand,-20618,-3834,-937,21,-41,-90,mermaid
Hand,-24904,-2874,-1706,31,-30,-67,mermaid
Hand,-23379,-4844,-1922,28,-13,-67,mermaid
Hand,-25014,1143,-2727,17,5,-49,mermaid
Hand,-23313,1418,-2856,3,22,-47,mermaid
Hand,-23094,-1240,-3949,11,44,-31,mermaid
Hand,-20128,-4491,-2459,9,51,-25,mermaid
Hand,-22608,-85,-3938,4,71,-40,mermaid
Hand,-17394,-1037,-2398,11,68,-13,mermaid
Hand,-9520,1153,-277,14,66,24,mermaid
Hand,301,-663,1525,7,83,8,mermaid
Hand,6366,189,2405,13,83,0,mermaid
Hand,11331,-469,3023,23,90,-24,mermaid
Hand,14148,198,2082,24,96,-38,mermaid
Hand,14978,182,1801,24,91,-61,mermaid
Hand,14293,982,2234,22,85,-69,mermaid
Hand,15102,2405,3503,28,79,-82,mermaid
Hand,16540,3287,2980,34,65,-83,mermaid
Hand,16517,2495,2935,32,67,-118,mermaid
Hand,17525,2064,2453,45,36,-88,mermaid
Hand,15587,2012,2044,36,36,-124,mermaid
Hand,18272,1230,1673,48,2,-92,mermaid
Hand,17932,6837,4224,36,11,-158,mermaid
Hand,22362,3602,-231,73,-24,-137,mermaid
Hand,20902,-1679,482,44,-45,-155,mermaid
Hand,21301,2563,610,44,-63,-125,mermaid
Hand,15734,2111,3448,35,-65,-119,mermaid
Hand,8944,-5149,2069,46,-78,-95,mermaid
Hand,5015,-1623,1613,47,-77,-87,mermaid
Hand,-2066,-1369,2376,45,-72,-84,mermaid
Hand,-6365,-3636,1283,53,-93,-67,mermaid
Hand,-8115,-658,567,44,-80,-70,mermaid
Hand,-12071,-1937,-222,50,-75,-73,mermaid
Hand,-13525,1827,-2845,43,-69,-70,mermaid
Hand,-16637,-2391,-2426,30,-48,-73,mermaid
Hand,-17917,519,-1799,31,-41,-78,mermaid
Hand,-25014,-8497,-741,16,-18,-95,mermaid
Hand,-25014,-12227,328,33,-19,-72,mermaid
Hand,-25014,-3768,-750,27,1,-46,mermaid
Hand,-22709,4890,-2080,17,43,-30,mermaid
Hand,-24527,1329,-2642,-6,37,-28,mermaid
Hand,-23903,2021,-2059,19,61,-13,mermaid
Hand,-24280,445,-2967,6,55,-8,mermaid
Hand,-11758,1585,-1185,15,63,9,mermaid
Hand,-3917,-209,582,13,87,8,mermaid
Hand,4460,195,208,6,90,-5,mermaid
Hand,5950,-571,1195,9,91,-9,mermaid
Hand,9552,-288,3492,14,87,-22,mermaid
Hand,13044,883,4403,19,91,-36,mermaid
Hand,14253,-764,2938,21,89,-55,mermaid
Hand,15473,642,4131,34,79,-57,mermaid
Hand,17978,-3196,690,29,72,-85,mermaid
Hand,16700,1408,3004,34,58,-96,mermaid
Hand,21775,443,3373,43,42,-91,mermaid
Hand,16548,3413,3994,35,36,-125,mermaid
Hand,20308,2627,4256,59,9,-96,mermaid
Hand,18168,4069,1355,28,12,-147,mermaid
Hand,23570,3379,582,50,-23,-130,mermaid
Hand,19490,489,-1884,43,-16,-151,mermaid
