Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,19221,-25014,12985,99,-61,47,cowboy
Hand,25013,-25014,-11605,178,-34,-51,cowboy
Hand,25013,-11008,-15867,200,39,-148,cowboy
Hand,22121,-138,-25014,155,75,-159,cowboy
Hand,11783,15345,-25014,73,70,-162,cowboy
Hand,4382,14815,-25014,9,55,-173,cowboy
Hand,-4829,18269,-19821,-24,10,-122,cowboy
Hand,-8566,25013,-19592,-41,51,-126,cowboy
Hand,-14356,25013,-22242,-89,36,-116,cowboy
Hand,-24222,15816,-15502,-101,44,-66,cowboy
Hand,-25014,16683,-9643,-100,34,6,cowboy
Hand,-25014,19105,-701,-135,38,29,cowboy
Hand,-25014,4433,8155,-143,16,54,cowboy
Hand,-25014,-3984,16202,-97,-3,110,cowboy
Hand,-24727,-13244,21603,-55,-42,141,cowboy
Hand,-16143,-21032,25013,1,-96,155,cowboy
Hand,12767,-25014,22821,64,-107,90,cowboy
Hand,25013,-25014,2941,165,-68,-15,cowboy
Hand,18144,-25014,-14577,200,11,-77,cowboy
Hand,25013,-7640,-25014,200,34,-62,cowboy
Hand,23511,9120,-24063,100,66,-144,cowboy
Hand,11016,8592,-25014,62,70,-128,cowboy
Hand,5230,10134,-25014,8,52,-140,cowboy
Hand,-5721,9385,-21837,-36,29,-123,cowboy
Hand,-11495,14767,-16612,-50,54,-92,cowboy
Hand,-20234,17966,-16121,-66,61,-70,cowboy
Hand,-24319,19776,-11827,-87,60,-46,cowboy
Hand,-25014,17232,-11085,-97,59,-35,cowboy
Hand,-25014,11149,-367,-130,-11,28,cowboy
Hand,-25014,2055,4889,-145,-6,80,cowboy
Hand,-17092,-10979,12718,-115,-33,121,cowboy
Hand,-3502,-12357,22924,-45,-54,122,cowboy
Hand,3392,-13617,25013,13,-57,95,cowboy
Hand,2332,-18118,25013,49,-51,87,cowboy
Hand,22526,-25014,16334,103,-47,57,cowboy
Hand,25013,-25014,5303,163,-14,-11,cowboy
Hand,24933,-10638,930,200,30,-55,cowboy
Hand,25013,-5146,-12864,200,46,-97,cowboy
Hand,14995,881,-22090,145,44,-114,cowboy
Hand,20050,5794,-22029,103,22,-124,cowboy
Hand,2112,19509,-25014,45,28,-156,cowboy
Hand,-4936,12740,-22676,-19,20,-121,cowboy
Hand,-9569,18675,-19342,-7,36,-58,cowboy
Hand,-10270,25013,-22218,-32,46,-49,cowboy
Hand,-10708,25013,-22767,-75,56,-71,cowboy
Hand,-20643,22316,-21224,-114,41,-49,cowboy
Hand,-16265,15779,-11690,-193,48,-33,cowboy
Hand,-19020,-2319,4253,-193,77,-7,cowboy
Hand,-21620,-9477,13621,-118,47,42,cowboy
Hand,-18437,-8618,25007,-60,14,105,cowboy
Hand,-10166,-14099,25013,7,-27,97,cowboy
Hand,1201,-15771,25013,57,-35,72,cowboy
Hand,11917,-25014,25013,122,-39,29,cowboy
Hand,16929,-25014,5405,195,-29,-15,cowboy
Hand,25013,-19763,-17997,200,9,-91,cowboy
Hand,20963,2724,-25014,152,15,-130,cowboy
Hand,14213,4076,-25014,78,26,-144,cowboy
Hand,5762,12709,-25014,28,32,-127,cowboy
Hand,-8150,19780,-25014,-26,31,-137,cowboy
Hand,-12592,25013,-23839,-54,49,-95,cowboy
Hand,-23044,25013,-25014,-88,82,-74,cowboy
Hand,-25014,25013,-16595,-123,45,-16,cowboy
Hand,-25014,22223,-788,-192,56,-1,cowboy
Hand,-25014,-10727,8325,-161,41,20,cowboy
Hand,-22292,-20055,17692,-57,3,89,cowboy
Hand,-15657,-16107,25013,-6,-21,95,cowboy
Hand,-11967,-21875,25013,27,-71,76,cowboy
Hand,6255,-25014,19632,107,-71,44,cowboy
Hand,22170,-25014,2115,200,-75,-6,cowboy
Hand,25013,-11260,-17070,200,28,-108,cowboy
Hand,19610,5653,-25014,172,30,-133,cowboy
Hand,12556,11892,-25014,96,73,-156,cowboy
Hand,-620,10339,-25014,4,64,-142,cowboy
Hand,-10654,21102,-22860,-62,47,-90,cowboy
Hand,-21448,15358,-16222,-108,40,-74,cowboy
Hand,-25014,3806,-7992,-102,46,-22,cowboy
Hand,-24496,10874,436,-73,37,46,cowboy
Hand,-22442,21441,7703,-81,23,56,cowboy
Hand,-25014,21451,11526,-103,17,80,cowboy
Hand,-25014,2955,17331,-107,-36,85,cowboy
Hand,-24262,-14408,21747,-43,-86,140,cowboy
Hand,-14276,-16614,25013,12,-112,177,cowboy
Hand,9818,-23194,25013,52,-135,128,cowboy
Hand,25013,-25014,10959,73,-125,26,cowboy
