Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-6373,3936,16878,-50,27,-23,dab
Hand,-3960,3060,25013,-7,-6,-11,dab
Hand,-1667,-654,25013,37,-14,-12,dab
Hand,1205,2240,25013,53,-16,-43,dab
Hand,-11464,-4615,25013,74,-59,-45,dab
Hand,-14434,-3853,25013,199,-144,-49,dab
Hand,-14881,712,25013,120,-80,-132,dab
Hand,1350,5602,25013,169,-142,-1,dab
Hand,10578,-25014,18555,34,-161,-200,dab
Hand,25013,-10273,25013,200,-200,-59,dab
Hand,193,2458,20907,200,-99,-38,dab
Hand,2871,12584,-17299,54,-98,-35,dab
Hand,2934,7597,-11844,-11,-111,-60,dab
Hand,-4601,-389,-2706,-5,-75,-61,dab
Hand,60,-4922,-2293,15,-81,-39,dab
Hand,-4052,-8377,-970,29,-96,-41,dab
Hand,-5679,-8553,-3985,56,-103,-47,dab
Hand,-4908,-7657,-13439,78,-115,-49,dab
Hand,-5363,-13840,-22163,76,-111,-135,dab
Hand,-17207,-20792,-25014,179,-174,-172,dab
Hand,-18526,9383,-25014,126,-159,-200,dab
Hand,-17453,-3475,-25014,125,-108,-200,dab
Hand,-25014,-11684,-25014,74,-84,-144,dab
Hand,-18339,-16409,-25014,6,-53,-68,dab
Hand,-25014,-19757,-11263,-6,12,-62,dab
Hand,-18982,-10163,7234,-38,-35,-5,dab
Hand,-12224,-14276,19714,-15,-10,9,dab
Hand,-19692,-21319,16624,50,20,14,dab
Hand,-776,-13860,10992,71,-24,43,dab
Hand,-15363,2425,14547,97,1,37,dab
Hand,-172,23592,7663,121,46,32,dab
Hand,13517,12252,-9696,89,59,-11,dab
Hand,8853,2327,-10584,88,76,34,dab
Hand,4216,14088,-9802,29,34,-32,dab
Hand,2661,10258,-5997,13,33,5,dab
Hand,13455,11798,3358,10,12,14,dab
Hand,19540,8439,8852,-7,26,1,dab
Hand,19599,8926,23777,14,17,-1,dab
Hand,25013,15144,25013,74,-25,21,dab
Hand,10221,433,25013,70,-46,-85,dab
Hand,346,-5595,25013,174,-139,-91,dab
Hand,-1034,-14156,22725,77,-168,-118,dab
Hand,25013,22718,25013,93,-200,-147,dab
Hand,6596,-6208,25013,136,-200,-159,dab
Hand,5815,-12876,7533,200,-39,69,dab
Hand,21385,13071,-19050,45,-160,-88,dab
Hand,7495,18895,333,-9,-110,-57,dab
Hand,-7869,-5518,-756,-6,-70,-74,dab
Hand,-6966,-16250,-2931,22,-92,-30,dab
Hand,-942,-10591,-3579,34,-104,-13,dab
Hand,-2941,-5711,-4732,33,-110,-20,dab
Hand,-5559,-8538,-12476,65,-112,-55,dab
Hand,-16619,-14711,-22744,114,-154,-50,dab
Hand,-6226,20800,-18944,134,-200,-88,dab
Hand,11579,-183,-25014,127,-146,-89,dab
Hand,4767,-5397,-25014,143,-124,-53,dab
Hand,-643,-13785,-25014,146,-97,-45,dab
Hand,-1939,-11137,-25014,104,-80,-14,dab
Hand,-1121,-1759,-25014,81,-54,-2,dab
Hand,415,-15150,-25014,50,-8,-31,dab
Hand,-8282,-8432,-25014,47,6,-21,dab
Hand,-7694,1421,-19121,19,12,-39,dab
