Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-18845,-10098,-792,105,53,-6,jamesbond
Hand,-19480,-12260,3036,93,8,7,jamesbond
Hand,-13368,-6554,11881,100,25,-11,jamesbond
Hand,-8820,-2782,18168,96,-61,15,jamesbond
Hand,-2682,-2079,14976,97,-62,-14,jamesbond
Hand,-854,7609,12437,116,-83,-8,jamesbond
Hand,4039,6835,8240,110,-90,25,jamesbond
Hand,369,-2277,-3568,117,-61,23,jamesbond
Hand,1908,2279,-6892,111,-56,41,jamesbond
Hand,3492,3945,-6689,114,-47,26,jamesbond
Hand,2860,1177,-8791,105,-36,26,jamesbond
Hand,6244,-847,-10105,102,-32,27,jamesbond
Hand,5573,473,-12440,99,-21,39,jamesbond
Hand,9441,2975,-12272,81,-5,23,jamesbond
Hand,9934,6266,-6116,77,7,21,jamesbond
Hand,7259,789,-7659,63,60,-25,jamesbond
Hand,8357,3469,-4067,99,43,21,jamesbond
Hand,9084,7142,2815,92,77,-21,jamesbond
Hand,5229,1767,4199,113,73,-1,jamesbond
Hand,7437,3821,8570,123,56,3,jamesbond
Hand,7421,5960,5500,121,38,42,jamesbond
Hand,9777,279,1563,113,46,40,jamesbond
Hand,10879,1215,3030,125,48,50,jamesbond
Hand,12297,-828,1232,106,50,45,jamesbond
Hand,14109,2064,2270,101,55,34,jamesbond
Hand,11915,559,4988,92,47,14,jamesbond
Hand,9395,4318,10286,109,46,31,jamesbond
Hand,8171,1753,11776,97,11,45,jamesbond
Hand,7407,-3389,13079,96,3,15,jamesbond
Hand,2592,-13740,5305,103,-2,6,jamesbond
Hand,4571,-8076,9733,89,-23,-20,jamesbond
Hand,1710,308,4284,116,-14,-25,jamesbond
Hand,6857,6802,6150,84,-71,-7,jamesbond
Hand,1155,2861,5574,87,-64,-19,jamesbond
Hand,-3439,-5554,-1963,136,-48,37,jamesbond
Hand,4420,-1103,-6425,113,-44,13,jamesbond
Hand,2696,2228,-9878,119,-41,5,jamesbond
Hand,-1527,2159,-10685,112,-57,1,jamesbond
Hand,482,5169,-11066,87,-18,27,jamesbond
Hand,3369,2295,-8565,88,-40,11,jamesbond
Hand,695,3540,-7956,68,16,-1,jamesbond
Hand,-4169,-1676,-7853,90,31,23,jamesbond
Hand,-5926,1278,-5684,91,55,-6,jamesbond
Hand,-7109,-518,2968,88,75,25,jamesbond
Hand,-13057,6566,4534,108,66,32,jamesbond
Hand,-10480,346,-2102,141,49,36,jamesbond
Hand,-10847,-2983,-1815,136,56,23,jamesbond
Hand,-7492,-869,-2918,131,31,42,jamesbond
Hand,-7399,-7698,-5701,120,31,28,jamesbond
Hand,-11889,-5947,-6057,121,43,10,jamesbond
Hand,-11713,-7349,-5263,110,60,-9,jamesbond
Hand,-17114,-6774,-2776,93,54,-10,jamesbond
Hand,-18618,-1179,1401,90,36,8,jamesbond
Hand,-21002,-6675,3245,81,13,1,jamesbond
Hand,-20019,-4127,5498,88,14,7,jamesbond
Hand,-14817,-6070,10351,103,-39,25,jamesbond
Hand,-11072,-4045,7115,114,2,6,jamesbond
Hand,-6174,-1508,9784,110,-62,28,jamesbond
Hand,-3944,2564,5273,101,-47,5,jamesbond
Hand,-1186,1995,4442,116,-70,4,jamesbond
Hand,-2706,-2627,-1236,129,-53,36,jamesbond
Hand,3940,-226,-4272,111,-44,33,jamesbond
Hand,5077,4134,-4769,116,-38,20,jamesbond
Hand,8516,2118,-5364,108,-22,26,jamesbond
Hand,8041,895,-5784,100,-24,18,jamesbond
Hand,9895,216,-5160,101,-11,23,jamesbond
Hand,11156,1795,-5434,94,-10,21,jamesbond
Hand,9246,866,-5536,94,11,22,jamesbond
Hand,9752,1664,-5430,97,10,19,jamesbond
Hand,8413,6853,-1115,102,30,18,jamesbond
Hand,7642,4330,-1081,99,14,26,jamesbond
Hand,7260,6678,769,102,17,30,jamesbond
Hand,8673,2825,-1307,95,20,22,jamesbond
Hand,7827,475,710,100,46,8,jamesbond
Hand,6285,1991,4962,110,47,6,jamesbond
Hand,3789,3247,5468,125,59,14,jamesbond
Hand,6718,3803,3694,126,55,18,jamesbond
