Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,5640,8915,-14295,-73,38,-39,logout
Hand,9356,9131,-12876,-97,47,-52,logout
Hand,5465,5304,-8615,-138,65,-87,logout
Hand,464,-1373,-5169,-152,78,-99,logout
Hand,-5074,-1092,1692,-145,66,-81,logout
Hand,-8495,-6707,8067,-128,47,-60,logout
Hand,-8663,-10159,10441,-96,36,-53,logout
Hand,-5242,-13638,11645,-79,22,-29,logout
Hand,-3950,-14990,14426,-45,26,-17,logout
Hand,382,-11307,17480,-14,32,-4,logout
Hand,-2291,-9015,17733,8,49,5,logout
Hand,-1176,-10464,14367,16,65,-2,logout
Hand,-1051,-12251,10518,23,59,3,logout
Hand,3076,-9734,9644,34,68,27,logout
Hand,-3092,-9395,11532,40,67,9,logout
Hand,-2133,-11152,12305,46,58,9,logout
Hand,-3444,-3442,17199,70,68,27,logout
Hand,-5318,-12432,13807,61,54,11,logout
Hand,-4902,-5701,23339,105,27,36,logout
Hand,-3595,-4708,24127,130,8,0,logout
Hand,-4069,-1602,18011,200,-14,16,logout
Hand,-2473,-2665,7460,200,-42,20,logout
Hand,518,1425,-5022,200,-24,21,logout
Hand,4626,5507,-10081,186,-12,13,logout
Hand,5029,3637,-15636,148,3,7,logout
Hand,4783,11176,-12404,131,7,12,logout
Hand,5821,10989,-15111,95,23,3,logout
Hand,3491,10447,-16327,74,29,25,logout
Hand,4202,10263,-14473,57,35,26,logout
Hand,5788,11085,-13975,52,45,22,logout
Hand,6331,7635,-17879,34,56,13,logout
Hand,6005,9345,-17310,23,49,12,logout
Hand,4260,11929,-15669,1,49,11,logout
Hand,5618,11916,-16989,-18,53,-8,logout
Hand,4789,11817,-13777,-36,50,-7,logout
Hand,3222,15166,-8415,-47,58,-27,logout
Hand,2745,12750,-9014,-43,66,-29,logout
Hand,4459,9094,-10738,-68,72,-63,logout
Hand,478,10647,-8676,-83,67,-62,logout
Hand,-3670,2008,-7355,-137,82,-106,logout
Hand,-5842,-1274,-838,-155,71,-91,logout
Hand,-6447,-6648,5190,-134,60,-65,logout
Hand,-5462,-9497,8505,-95,66,-59,logout
Hand,-5960,-11284,8798,-78,54,-45,logout
Hand,-3837,-13619,9831,-49,49,-23,logout
Hand,-3603,-14696,9760,-44,51,-27,logout
Hand,-3593,-16144,10635,-22,33,4,logout
Hand,-3729,-18448,9559,1,64,-11,logout
Hand,-3214,-13444,11507,17,58,10,logout
Hand,-4831,-12481,15250,39,55,8,logout
Hand,-8247,-8392,15466,46,45,29,logout
Hand,-10315,-13107,11329,50,51,21,logout
Hand,-8842,-17737,6480,66,25,56,logout
Hand,-7263,-16457,8046,73,28,50,logout
Hand,-1047,-12926,13430,88,17,35,logout
Hand,1774,-7065,20647,118,3,27,logout
Hand,1325,-952,24447,149,-13,29,logout
Hand,-2985,-3673,18164,193,-35,22,logout
Hand,1449,774,5512,200,-45,30,logout
Hand,444,3430,-4597,200,-43,40,logout
Hand,5176,5260,-10336,183,-46,40,logout
Hand,5319,9250,-13730,157,-28,26,logout
Hand,7300,10550,-17773,129,-16,30,logout
Hand,7309,10660,-20403,90,-2,26,logout
Hand,6466,9815,-21870,65,16,31,logout
Hand,4818,10269,-22510,38,42,24,logout
Hand,1808,10172,-18584,19,25,41,logout
Hand,2958,9771,-16256,9,40,28,logout
Hand,3183,11160,-16402,2,25,36,logout
Hand,5895,8295,-19574,-26,49,-4,logout
Hand,3673,5153,-21861,-22,26,17,logout
Hand,2454,7958,-20044,-48,29,1,logout
Hand,3723,7247,-21834,-83,21,-32,logout
Hand,781,9334,-18405,-117,13,-21,logout
Hand,-3250,8716,-11311,-173,11,-22,logout
Hand,-596,7576,-3743,-200,-2,-26,logout
Hand,-3981,-1425,6310,-200,-21,-17,logout
Hand,2552,-10398,15594,-171,-21,-20,logout
Hand,2205,-12502,19411,-109,-2,-19,logout
Hand,2735,-15285,19062,-75,14,-31,logout
Hand,2872,-12056,21205,-34,19,-5,logout
Hand,1158,-9776,23379,-15,21,17,logout
Hand,2708,-11264,22776,10,41,9,logout
Hand,-296,-6731,21785,36,49,33,logout
Hand,-2753,-11790,18360,39,50,10,logout
Hand,-4369,-9278,15109,60,50,33,logout
Hand,-3050,-12785,13260,62,39,24,logout
Hand,-740,-7015,17194,84,33,38,logout
Hand,5130,694,24907,91,-6,20,logout
Hand,-678,248,25013,118,4,1,logout
Hand,-2752,-10001,20588,180,-53,1,logout
Hand,-1785,2205,12260,200,-47,44,logout
Hand,566,2016,-8378,200,-53,33,logout
Hand,3993,1931,-13703,190,-50,34,logout
Hand,3305,5650,-17036,162,-20,12,logout
Hand,3202,7069,-21860,137,-17,16,logout
Hand,3176,9302,-23883,104,1,5,logout
Hand,1475,9089,-25014,78,9,14,logout
Hand,2015,10798,-23753,48,18,16,logout
Hand,1925,11140,-23260,25,26,14,logout
Hand,2410,10324,-25014,-4,29,9,logout
Hand,-1102,6161,-25014,-27,27,6,logout
Hand,-2307,9134,-22204,-43,13,13,logout
Hand,-1591,12376,-18873,-70,3,1,logout
Hand,-273,15084,-16154,-85,2,-6,logout
Hand,-611,12921,-16831,-123,8,-29,logout
Hand,-2885,10825,-15561,-192,10,-32,logout
Hand,-5404,823,-4926,-200,-22,-26,logout
Hand,2690,-4327,14111,-200,-44,-4,logout
Hand,6518,-9161,21487,-133,-15,-34,logout
Hand,3039,-13249,21669,-89,10,-49,logout
Hand,592,-17491,18798,-62,13,-44,logout
Hand,709,-18285,18647,-21,17,-11,logout
Hand,-94,-10808,21805,-8,19,13,logout
Hand,505,-9827,23214,14,32,17,logout
Hand,-1482,-8708,23823,39,30,24,logout
Hand,-154,-6501,22353,54,36,34,logout
Hand,-554,-9611,18793,56,33,29,logout
Hand,1115,-15793,15271,81,20,21,logout
Hand,-435,-14140,11408,104,22,-11,logout
Hand,889,-9610,14776,116,24,-12,logout
Hand,-1437,-4155,22809,141,-4,-6,logout
Hand,-1102,-5877,20958,184,-24,-7,logout
Hand,-2152,-4761,14023,200,-37,-30,logout
Hand,-3050,311,-4985,200,-35,-7,logout
Hand,2598,2137,-19296,200,-50,-10,logout
Hand,-317,8896,-17021,155,-12,-30,logout
Hand,-1018,9357,-19997,138,-6,-15,logout
Hand,-2040,11402,-20428,104,6,-11,logout
Hand,-1869,10617,-20848,81,12,6,logout
Hand,-937,12127,-19095,60,17,15,logout
Hand,-570,11434,-20713,43,26,20,logout
Hand,-11,11543,-22537,25,15,14,logout
Hand,-1403,11156,-23793,-2,25,8,logout
Hand,-1596,12683,-22643,-19,12,15,logout
