Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-25014,15555,-10727,54,-19,-27,mermaid
Hand,-25014,25013,-15265,32,0,-9,mermaid
Hand,-25014,24151,-19092,12,-1,-19,mermaid
Hand,-25014,23484,-15696,6,19,-5,mermaid
Hand,-18966,4351,-6225,-10,31,36,mermaid
Hand,7994,-804,1208,23,48,68,mermaid
Hand,10950,-4592,6581,25,68,-34,mermaid
Hand,23212,-4637,7221,64,42,-12,mermaid
Hand,22011,-5545,6401,53,66,-108,mermaid
Hand,25013,-5044,10908,83,28,-116,mermaid
Hand,25013,-3833,12354,77,-1,-149,mermaid
Hand,25013,-5530,12025,86,-26,-169,mermaid
Hand,25013,-3156,16218,78,-85,-143,mermaid
Hand,25013,-8719,18707,62,-111,-188,mermaid
Hand,4606,-8785,15740,74,-87,-176,mermaid
Hand,-16190,-4543,5516,52,-90,-141,mermaid
Hand,-21326,-3685,3534,29,-104,-76,mermaid
Hand,-22849,691,2582,15,-61,-81,mermaid
Hand,-25014,522,-3531,41,-22,-53,mermaid
Hand,-25014,1838,-4906,31,-26,-3,mermaid
Hand,-25014,22056,-2269,35,56,-5,mermaid
Hand,-25014,25013,-11731,7,19,-21,mermaid
Hand,-25014,20549,-9263,1,34,9,mermaid
Hand,-13605,10824,-1915,-11,31,21,mermaid
Hand,8645,403,8381,26,46,28,mermaid
Hand,17393,173,14266,51,54,-13,mermaid
Hand,16576,-1711,12647,92,77,-50,mermaid
Hand,21558,-6789,8003,86,60,-71,mermaid
Hand,22317,-7818,8822,79,54,-109,mermaid
Hand,25013,-10597,7111,63,34,-176,mermaid
Hand,25013,-6873,12292,62,-50,-122,mermaid
Hand,25013,-12118,16276,45,-70,-197,mermaid
Hand,25013,-18692,12792,54,-99,-177,mermaid
Hand,9911,816,12104,50,-81,-200,mermaid
Hand,-15069,614,-256,35,-81,-162,mermaid
Hand,-21811,515,853,13,-110,-99,mermaid
Hand,-20745,4255,1483,34,-71,-75,mermaid
Hand,-25014,6796,-694,33,-31,-74,mermaid
Hand,-25014,12689,-4066,43,-18,-25,mermaid
Hand,-25014,23118,-8511,35,6,-35,mermaid
Hand,-25014,22856,-11798,13,-7,-17,mermaid
Hand,-24184,20970,-6379,5,10,29,mermaid
Hand,-16885,15311,-76,-4,28,26,mermaid
Hand,449,75,4842,13,29,53,mermaid
Hand,15520,-9809,9079,42,36,19,mermaid
Hand,25013,-17286,11599,75,25,-55,mermaid
Hand,23409,-14295,5067,89,42,-85,mermaid
Hand,25013,-9024,3909,91,33,-143,mermaid
Hand,25013,-13547,2649,70,-7,-144,mermaid
Hand,25013,-7913,5653,55,-38,-189,mermaid
Hand,25013,-10866,8734,37,-76,-196,mermaid
Hand,14838,-14256,8523,46,-77,-195,mermaid
Hand,-2867,-364,6321,40,-73,-181,mermaid
Hand,-16652,919,-2927,23,-98,-137,mermaid
Hand,-19047,156,1276,7,-97,-96,mermaid
Hand,-23808,2064,4439,21,-49,-91,mermaid
Hand,-25014,6093,1477,43,-27,-48,mermaid
Hand,-25014,15989,-492,46,1,-39,mermaid
Hand,-25014,18060,-8927,35,-18,-27,mermaid
Hand,-25014,25013,-6904,22,-9,7,mermaid
Hand,-23685,24911,-4100,8,21,22,mermaid
Hand,-8584,12379,-162,-2,15,60,mermaid
Hand,6199,3506,5750,16,44,50,mermaid
Hand,15481,-12162,3335,24,71,4,mermaid
Hand,18971,-11993,4260,44,87,-24,mermaid
Hand,25013,-9869,7236,55,70,-50,mermaid
Hand,24039,-12046,3007,59,87,-142,mermaid
Hand,25013,-6430,6476,63,6,-112,mermaid
Hand,25013,-6844,7842,49,-1,-168,mermaid
Hand,25013,-5433,8884,49,-78,-191,mermaid
Hand,18294,-20295,12753,18,-57,-200,mermaid
Hand,-1990,-2954,12231,56,-35,-197,mermaid
Hand,-19124,3856,108,24,-67,-164,mermaid
Hand,-22470,6718,7,21,-74,-95,mermaid
Hand,-16919,6060,1683,20,-59,-66,mermaid
Hand,-18929,6789,2124,37,-20,-52,mermaid
Hand,-25014,9408,674,41,4,-41,mermaid
Hand,-25014,14279,-7592,33,15,-42,mermaid
Hand,-25014,19285,-6657,17,1,8,mermaid
Hand,-23902,22038,-5429,16,23,36,mermaid
Hand,-17192,12010,-2279,1,32,30,mermaid
Hand,4087,-1382,3117,17,24,77,mermaid
Hand,17255,-3509,9921,36,53,-4,mermaid
Hand,25013,-7300,11446,61,48,-47,mermaid
Hand,25013,-7202,13980,86,36,-74,mermaid
Hand,25013,-17685,7463,84,26,-124,mermaid
Hand,25013,-6127,4521,84,-7,-158,mermaid
Hand,25013,-18554,7821,44,-48,-200,mermaid
Hand,25013,-14408,8291,71,-59,-199,mermaid
Hand,6183,1876,5015,50,-51,-200,mermaid
Hand,-14147,-599,1433,37,-86,-183,mermaid
Hand,-15376,672,349,35,-103,-121,mermaid
Hand,-14282,5031,-273,49,-66,-97,mermaid
Hand,-315,3185,3728,19,33,47,mermaid
Hand,13015,-3629,6681,37,58,-4,mermaid
Hand,17880,-7850,11037,63,60,-21,mermaid
Hand,22877,-7459,11361,83,66,-65,mermaid
Hand,22766,-15056,5689,89,80,-123,mermaid
Hand,21381,-8773,5248,86,53,-122,mermaid
Hand,25013,-9430,6099,89,19,-149,mermaid
Hand,25013,-17461,4319,48,-69,-189,mermaid
Hand,25013,-18343,10016,34,-82,-200,mermaid
Hand,18078,-6188,14729,71,-80,-184,mermaid
Hand,-12522,5864,5211,60,-37,-183,mermaid
Hand,-25014,2350,-3597,24,-121,-116,mermaid
Hand,-24108,8569,611,31,-92,-65,mermaid
Hand,-25014,12295,-1465,42,-40,-49,mermaid
Hand,-25014,14002,-6231,51,-40,-33,mermaid
Hand,-24405,19063,-10165,25,-16,-15,mermaid
Hand,-24976,16686,-12173,9,13,-1,mermaid
Hand,-20680,13636,-9007,14,31,30,mermaid
Hand,-14527,14675,-4505,6,38,26,mermaid
Hand,-11405,8384,248,15,39,14,mermaid
Hand,-5925,163,-561,36,54,11,mermaid
Hand,7524,-4935,2236,36,53,33,mermaid
Hand,17637,-8757,8520,48,71,-15,mermaid
Hand,25013,-12748,9486,70,82,-52,mermaid
Hand,21250,-15332,3918,69,100,-124,mermaid
Hand,25013,-11456,5214,73,66,-156,mermaid
Hand,25013,-7580,8172,89,26,-145,mermaid
Hand,25013,-13734,7888,55,-26,-200,mermaid
Hand,25013,-16468,7625,51,-89,-176,mermaid
Hand,25013,-1453,7033,71,-92,-184,mermaid
Hand,-3768,6363,-275,57,-40,-194,mermaid
Hand,-25014,-867,-4551,26,-102,-109,mermaid
Hand,-25014,2242,1137,29,-76,-47,mermaid
Hand,-22383,2461,1401,35,-32,-23,mermaid
Hand,-22560,4176,1460,37,-4,-18,mermaid
Hand,-19670,8792,360,41,35,1,mermaid
Hand,-21950,15663,-5970,37,45,1,mermaid
Hand,-24916,15353,-6741,19,33,-5,mermaid
Hand,-16127,12358,-4147,16,17,19,mermaid
Hand,-4264,4824,2609,16,27,-7,mermaid
Hand,14961,-3164,6087,46,40,-18,mermaid
Hand,14731,-5594,6812,55,45,-75,mermaid
Hand,14247,-7000,4547,79,45,-115,mermaid
Hand,13624,-4402,4058,89,46,-113,mermaid
Hand,9529,-4849,1731,72,55,-150,mermaid
Hand,17663,-6908,-995,76,36,-117,mermaid
Hand,19851,-7229,956,62,14,-176,mermaid
Hand,25013,-11465,-211,67,-14,-179,mermaid
Hand,18177,-11055,1254,50,-26,-183,mermaid
Hand,7478,-5560,991,60,-38,-151,mermaid
Hand,-1956,1005,788,46,-49,-139,mermaid
Hand,-9311,-79,538,40,-52,-105,mermaid
Hand,-16858,1615,-585,38,-42,-97,mermaid
Hand,-25014,5050,-1885,32,-18,-57,mermaid
Hand,-25014,7502,-2372,23,-13,-34,mermaid
Hand,-25014,11920,-989,21,11,-26,mermaid
Hand,-25014,11716,-4432,40,14,28,mermaid
Hand,-19740,18072,-672,17,22,1,mermaid
Hand,-9490,6337,3566,22,17,31,mermaid
Hand,5507,3918,7852,36,46,8,mermaid
Hand,11639,-3181,7373,60,65,-45,mermaid
Hand,14179,-7640,5523,77,48,-36,mermaid
Hand,22105,-6991,4109,82,66,-107,mermaid
Hand,20598,-8549,3245,93,60,-98,mermaid
Hand,25013,-8050,2231,70,42,-154,mermaid
Hand,22463,-14473,168,74,15,-149,mermaid
Hand,25013,-10152,1587,47,-34,-178,mermaid
Hand,17275,-13614,5697,37,-35,-197,mermaid
Hand,4769,-9453,6755,45,-45,-163,mermaid
Hand,-6518,-3057,4691,30,-43,-141,mermaid
Hand,-12944,-818,3373,23,-53,-109,mermaid
Hand,-14553,3480,2522,14,-45,-78,mermaid
Hand,-13347,11392,354,26,-25,-56,mermaid
Hand,-19250,10906,627,8,4,-55,mermaid
Hand,-22760,9333,-18,31,10,-27,mermaid
Hand,-23802,12983,-2145,38,26,-21,mermaid
Hand,-20454,11047,-5526,36,29,1,mermaid
Hand,-15960,11817,-2741,25,35,-10,mermaid
Hand,-12488,7800,-643,35,47,7,mermaid
Hand,-5256,3893,-225,34,49,-5,mermaid
Hand,-24,2422,4398,47,35,9,mermaid
Hand,10508,-5857,4158,41,44,-43,mermaid
Hand,12495,-3444,8460,77,51,-43,mermaid
Hand,13260,-11159,3760,66,58,-103,mermaid
Hand,19881,-7937,3527,86,65,-102,mermaid
Hand,19282,-9205,1070,93,60,-146,mermaid
Hand,25013,-8554,300,71,30,-166,mermaid
Hand,25013,-16281,-3606,62,-3,-200,mermaid
Hand,23308,-11734,2078,44,-45,-176,mermaid
Hand,14960,598,7858,50,-56,-161,mermaid
Hand,1022,-1653,2614,36,-54,-155,mermaid
Hand,-9568,-2927,2573,26,-64,-116,mermaid
Hand,-14402,-1796,2552,24,-65,-93,mermaid
Hand,-14173,965,2061,25,-50,-70,mermaid
Hand,-14160,2979,318,27,-36,-67,mermaid
Hand,-15544,1422,-589,10,-21,-64,mermaid
Hand,-18552,3356,977,18,0,-43,mermaid
Hand,-20218,8998,-756,28,18,-25,mermaid
Hand,-17389,15075,-2583,24,47,-23,mermaid
