Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,5983,-20411,-3485,-19,28,-60,pushback
Hand,11583,-10684,7778,13,-13,-86,pushback
Hand,14856,-9563,11132,46,58,-115,pushback
Hand,8515,4214,6094,80,118,-97,pushback
Hand,-6367,13277,-2189,20,69,-58,pushback
Hand,-756,-4834,-1764,5,55,-36,pushback
Hand,2919,698,-207,20,106,-68,pushback
Hand,-340,1026,3449,51,99,-71,pushback
Hand,-4189,16437,7204,51,89,-74,pushback
Hand,-7018,22969,16891,57,47,-67,pushback
Hand,129,25013,25013,89,32,-45,pushback
Hand,9463,25013,24449,128,14,-35,pushback
Hand,12882,25013,18866,87,12,-36,pushback
Hand,11097,25013,17269,83,15,16,pushback
Hand,4963,16495,11292,60,6,28,pushback
Hand,117,18610,8650,62,22,49,pushback
Hand,-12076,18970,6882,63,29,75,pushback
Hand,-17117,14959,3127,31,7,94,pushback
Hand,-18823,3015,-378,43,-13,139,pushback
Hand,-11754,88,2200,60,-33,160,pushback
Hand,-3147,-7579,837,54,-7,107,pushback
Hand,-4048,-6352,721,72,-31,108,pushback
Hand,-1424,-444,1992,76,-51,103,pushback
Hand,46,2537,-199,61,-53,98,pushback
Hand,803,1675,-2906,62,-37,92,pushback
Hand,1892,-11914,-12447,57,-32,89,pushback
Hand,4518,-25014,-24715,109,-21,105,pushback
Hand,7071,-25014,-25014,148,16,58,pushback
Hand,2708,-25014,-25014,165,37,39,pushback
Hand,96,-25014,-25014,111,51,13,pushback
Hand,-2053,-13602,-22737,76,53,7,pushback
Hand,-1321,-1575,-12865,52,63,12,pushback
Hand,1038,-11253,-10808,22,83,-14,pushback
Hand,-562,-12533,-6851,38,74,-20,pushback
Hand,-398,-4503,-4069,31,87,-27,pushback
Hand,1693,-14894,-8111,4,59,-38,pushback
Hand,2627,-12308,-4166,-1,27,-60,pushback
Hand,10921,-17887,4487,1,17,-106,pushback
Hand,15731,-3969,5774,55,97,-102,pushback
Hand,-1120,6231,4222,68,116,-97,pushback
Hand,-6870,10532,-2117,8,53,-50,pushback
Hand,-1985,-5411,-3599,11,60,-27,pushback
Hand,3566,-2685,-1393,5,94,-56,pushback
Hand,1040,2572,2436,17,88,-64,pushback
Hand,-2146,2373,1269,31,93,-61,pushback
Hand,-3740,7084,-751,25,93,-66,pushback
Hand,-5834,13933,10414,31,51,-65,pushback
Hand,467,25013,25013,74,43,-53,pushback
Hand,2540,25013,25013,106,13,-49,pushback
Hand,8412,25013,25013,92,38,-25,pushback
