Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,124,295,3379,46,73,102,scarecrow
Hand,1762,2282,1292,58,85,82,scarecrow
Hand,4855,2260,-692,45,72,84,scarecrow
Hand,10397,-2328,-1274,25,46,85,scarecrow
Hand,17471,-3402,1131,15,28,62,scarecrow
Hand,23013,-4479,4533,1,23,27,scarecrow
Hand,24176,-7894,8627,-2,13,-8,scarecrow
Hand,25013,-13363,9143,15,-6,-38,scarecrow
Hand,25013,-12386,7736,35,-22,-91,scarecrow
Hand,25013,-12669,6376,55,-64,-114,scarecrow
Hand,25013,-10482,6101,50,-83,-167,scarecrow
Hand,25013,-5394,6256,41,-89,-178,scarecrow
Hand,25013,-3537,6308,33,-77,-178,scarecrow
Hand,17445,1170,6463,36,-54,-156,scarecrow
Hand,8331,3160,5828,41,-71,-129,scarecrow
Hand,7209,4567,5236,53,-63,-109,scarecrow
Hand,4212,6771,2563,47,-74,-105,scarecrow
Hand,989,2918,466,37,-68,-99,scarecrow
Hand,-2347,-1895,-2417,31,-72,-82,scarecrow
Hand,-3745,-2675,-2273,29,-82,-81,scarecrow
Hand,-7986,703,-2149,40,-77,-95,scarecrow
Hand,-13030,4368,-2066,50,-72,-141,scarecrow
Hand,-24336,9353,-6280,76,-52,-159,scarecrow
Hand,-25014,11391,-9791,74,-68,-166,scarecrow
Hand,-25014,5509,-15628,82,-44,-166,scarecrow
Hand,-25014,11166,-12018,69,-48,-138,scarecrow
Hand,-25014,6635,-15424,67,-21,-135,scarecrow
Hand,-25014,10731,-11993,52,7,-78,scarecrow
Hand,-25014,9037,-9611,35,-18,-12,scarecrow
Hand,-18553,9812,-8042,19,22,-28,scarecrow
Hand,-17783,4195,-6866,10,20,42,scarecrow
Hand,-10027,2763,-5215,13,40,39,scarecrow
Hand,-7539,3808,-2631,5,56,56,scarecrow
Hand,-6069,525,-861,12,66,79,scarecrow
Hand,-1138,2381,2351,7,63,92,scarecrow
Hand,153,1721,2547,20,72,86,scarecrow
Hand,2540,489,1692,25,65,89,scarecrow
Hand,8993,-1227,3296,17,48,84,scarecrow
Hand,18218,-3742,4279,15,44,59,scarecrow
Hand,22195,-7790,4750,15,29,32,scarecrow
Hand,25013,-10661,6653,10,13,-4,scarecrow
Hand,25013,-11685,9455,27,4,-39,scarecrow
Hand,25013,-9416,6098,47,-18,-62,scarecrow
Hand,25013,-15711,6279,38,-47,-129,scarecrow
Hand,25013,-8089,2042,43,-51,-133,scarecrow
Hand,25013,-10078,-3213,33,-79,-157,scarecrow
Hand,25013,-834,-383,21,-82,-168,scarecrow
Hand,18533,1131,2797,19,-60,-156,scarecrow
Hand,11595,4167,5431,23,-59,-140,scarecrow
Hand,5703,3112,5587,35,-56,-130,scarecrow
Hand,3058,4510,4516,46,-46,-119,scarecrow
Hand,816,5427,3374,46,-56,-104,scarecrow
Hand,353,2322,1310,34,-62,-93,scarecrow
