Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-11384,-11540,8482,67,-34,-79,snake
Hand,-21246,-10553,2734,39,-40,-75,snake
Hand,-25014,-8450,-856,28,-31,-68,snake
Hand,-25014,-6474,-4036,14,-18,-71,snake
Hand,-25014,-2444,-2934,5,3,-56,snake
Hand,-25014,-868,282,0,36,-39,snake
Hand,-25005,-391,1634,10,58,-15,snake
Hand,-21417,8654,161,13,44,29,snake
Hand,-19324,-3,1756,16,70,1,snake
Hand,-6924,315,3353,21,100,-23,snake
Hand,-2960,2963,5378,37,101,-24,snake
Hand,1833,5040,8662,39,114,-5,snake
Hand,8355,7197,7497,29,118,-46,snake
Hand,11360,6138,7014,46,100,-29,snake
Hand,14264,6100,6659,45,108,-51,snake
Hand,12949,3442,6714,58,101,-57,snake
Hand,13719,6173,7608,78,96,-57,snake
Hand,14815,1927,9066,63,88,-90,snake
Hand,21352,4492,9340,108,74,-94,snake
Hand,24502,4544,11570,97,44,-76,snake
Hand,24199,-8674,5032,98,25,-103,snake
Hand,23115,-10010,2669,99,25,-103,snake
Hand,12980,-9953,7937,64,8,-101,snake
Hand,811,-14176,10102,69,-16,-98,snake
Hand,-10377,-13698,7245,55,-7,-71,snake
Hand,-24105,-16836,1393,34,-22,-84,snake
Hand,-25014,-9889,618,20,-20,-69,snake
Hand,-25014,-304,-3178,3,17,-55,snake
Hand,-25014,-195,-3727,-11,29,-48,snake
Hand,-25014,-2516,-2498,-6,43,-36,snake
Hand,-25014,3823,1592,8,46,16,snake
Hand,-14621,3647,2528,5,67,8,snake
Hand,-10817,4094,3151,24,65,20,snake
Hand,-1311,3520,5188,33,101,-23,snake
Hand,231,9731,10898,43,103,-14,snake
Hand,6702,11987,10889,33,109,-39,snake
Hand,8669,6505,8918,43,102,-35,snake
Hand,12769,8816,8479,57,99,-52,snake
Hand,13226,4223,7663,73,96,-60,snake
Hand,14324,12060,9239,93,90,-45,snake
Hand,13155,2663,6743,88,90,-73,snake
Hand,14912,4106,6760,103,74,-74,snake
Hand,20214,384,7922,97,55,-80,snake
Hand,22192,-7227,7516,96,32,-94,snake
Hand,25013,-14899,920,101,32,-107,snake
Hand,18279,-2018,3504,86,34,-101,snake
Hand,8755,-9480,6656,72,-11,-85,snake
