Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,5124,-10871,1182,113,63,29,window
Hand,14667,-1689,5320,134,74,57,window
Hand,14615,4599,4164,110,133,11,window
Hand,14050,6578,5271,111,150,0,window
Hand,8269,10473,-4007,64,178,-61,window
Hand,3415,2892,-12073,-5,172,-100,window
Hand,-8610,-2987,-8924,-11,130,-92,window
Hand,-10821,-11179,-5989,-16,122,-107,window
Hand,-11072,-22173,-6140,-3,82,-118,window
Hand,-10756,-21024,522,11,49,-87,window
Hand,-13161,-22600,-1460,41,70,-106,window
Hand,-9564,-24531,-4234,55,58,-54,window
Hand,-1227,-19301,-2868,73,26,-22,window
Hand,-1540,-18213,728,88,30,18,window
Hand,4519,-18624,-101,94,24,44,window
Hand,9983,-12628,585,98,36,57,window
Hand,16389,-741,4174,108,68,46,window
Hand,14230,5553,4834,83,109,19,window
Hand,15362,4146,3410,40,192,-50,window
Hand,1008,12501,617,45,189,-79,window
Hand,-2982,1311,-8191,-12,166,-89,window
Hand,-5806,-7158,-8374,-18,154,-136,window
Hand,-11488,-9069,-6512,-24,120,-116,window
Hand,-11784,-20659,-2840,-27,71,-111,window
Hand,-14021,-18847,6446,23,2,-57,window
Hand,-10393,-25014,842,31,21,-61,window
Hand,-4857,-21118,677,77,-1,-13,window
Hand,-4180,-20517,1773,83,13,-4,window
Hand,2126,-18308,3115,102,22,13,window
Hand,8028,-12460,8719,122,29,50,window
Hand,15071,-76,10567,139,60,40,window
Hand,15183,2198,4089,111,105,33,window
Hand,16473,8044,-866,70,199,-38,window
Hand,2858,6588,-7010,47,200,-70,window
Hand,-1940,-1505,-14376,-29,190,-139,window
Hand,-10164,-9405,-12761,-54,125,-125,window
Hand,-11187,-17347,-4018,-56,79,-130,window
Hand,-11873,-19855,1477,-4,109,-120,window
Hand,-9410,-17421,2595,64,15,-50,window
Hand,-12131,-23059,2556,70,4,-39,window
Hand,-5071,-17498,774,80,17,4,window
Hand,1860,-16630,2576,88,15,45,window
Hand,10869,-8964,8020,106,34,33,window
Hand,9885,-3763,10943,118,63,62,window
Hand,15931,1329,11173,140,122,17,window
Hand,9957,3258,-3877,104,181,-29,window
Hand,6353,4713,-8379,36,184,-63,window
Hand,-1052,-363,-13308,10,159,-79,window
Hand,-5878,-13858,-13354,-35,147,-126,window
Hand,-10602,-16394,-5185,-40,105,-138,window
Hand,-12079,-22727,2730,-3,47,-104,window
Hand,-11970,-23620,6131,36,19,-93,window
Hand,-14664,-25014,2173,51,23,-85,window
Hand,-10098,-20040,3099,97,-14,-17,window
Hand,-120,-22497,4463,137,-9,51,window
Hand,6863,-15131,17,126,31,64,window
Hand,12318,-7398,867,134,63,63,window
Hand,13976,1916,3087,112,99,38,window
Hand,11881,9796,1271,72,146,0,window
Hand,12237,6616,-3765,47,187,-37,window
Hand,1508,4625,-7358,29,158,-64,window
Hand,-2979,-2982,-13259,-22,156,-124,window
Hand,-11440,-14596,-10850,-46,131,-128,window
Hand,-12926,-14568,-1543,-24,92,-122,window
Hand,-13890,-24650,2476,18,38,-87,window
Hand,-13184,-19475,6230,65,4,-53,window
Hand,-10095,-22469,3174,86,2,-3,window
Hand,-1897,-23232,-1992,89,22,3,window
Hand,-3915,-19854,2182,100,19,19,window
Hand,2651,-11202,4984,117,52,28,window
Hand,8252,-7044,6822,121,63,60,window
Hand,14897,1349,5312,129,122,13,window
Hand,10373,1889,-1316,67,158,-5,window
Hand,7450,7831,-7455,30,177,-60,window
Hand,-3162,-4226,-11949,-22,171,-75,window
Hand,-6673,-13731,-5370,-76,167,-148,window
Hand,-12189,-9734,-2089,-31,106,-115,window
Hand,-12592,-21597,349,6,55,-75,window
Hand,-10389,-22736,1248,51,9,-51,window
Hand,-15363,-22085,3847,59,-17,-21,window
Hand,-13410,-15154,691,66,7,3,window
Hand,-1719,-14504,1518,88,8,46,window
Hand,2756,-11935,2648,102,23,48,window
Hand,11939,-1542,2984,129,59,71,window
Hand,17460,3423,2705,118,120,32,window
Hand,19681,9421,-1806,89,200,-45,window
Hand,-1065,2163,-7222,26,196,-86,window
Hand,-3636,-4575,-11008,-45,162,-114,window
Hand,-12656,-12289,-8398,-41,108,-94,window
Hand,-12118,-21266,-1787,-14,79,-107,window
Hand,-11813,-20302,1445,22,47,-91,window
Hand,-8373,-24495,3424,42,39,-72,window
Hand,-11134,-22851,2633,48,28,-57,window
Hand,-7396,-23247,955,84,37,6,window
Hand,-533,-19407,1621,85,21,34,window
Hand,4940,-13798,3511,123,30,57,window
Hand,12481,-5860,2721,141,50,69,window
Hand,14661,3795,3195,108,90,41,window
Hand,12516,4911,-54,63,133,-3,window
Hand,12096,3703,-4614,20,194,-85,window
Hand,2260,2649,-6825,-17,175,-71,window
Hand,-7523,-12819,-7557,-27,162,-129,window
Hand,-11944,-10154,-4703,-34,112,-117,window
Hand,-13874,-18373,-16,19,80,-106,window
Hand,-13471,-21164,829,36,40,-65,window
Hand,-9508,-17282,3664,68,26,-26,window
Hand,-8315,-18348,463,76,26,-15,window
Hand,-1431,-18199,757,88,32,28,window
Hand,4734,-12168,4990,98,23,15,window
Hand,5976,-8920,8611,125,16,56,window
Hand,13516,-1381,9615,140,51,41,window
Hand,17634,2607,4698,121,134,17,window
Hand,14009,940,-6637,87,200,-89,window
Hand,992,291,-15457,-18,200,-122,window
Hand,-8733,-15713,-10795,-87,141,-140,window
Hand,-12208,-16400,1895,-24,81,-87,window
Hand,-14078,-18363,4725,19,66,-101,window
Hand,-13032,-19249,1899,49,27,-54,window
Hand,-7938,-17856,1662,75,24,-13,window
Hand,-9957,-20287,2156,74,5,9,window
Hand,18,-15316,3023,78,26,21,window
Hand,2935,-9544,3010,106,46,57,window
Hand,12086,-8339,4178,118,67,42,window
Hand,12039,2660,2481,102,95,24,window
Hand,14608,4056,-2739,98,152,-34,window
Hand,4470,5792,-7785,56,187,-53,window
Hand,668,416,-9702,8,183,-91,window
Hand,-8427,-9157,-7204,-25,146,-121,window
Hand,-14556,-10641,-3123,-35,95,-116,window
Hand,-14305,-15051,407,7,38,-72,window
Hand,-12636,-19928,1992,41,13,-50,window
Hand,-9340,-18915,2625,61,8,-24,window
Hand,-2926,-20416,1918,83,18,16,window
Hand,7830,-10308,5031,113,28,42,window
Hand,7328,-13166,44,86,50,40,window
Hand,14126,-7005,3869,106,57,48,window
Hand,12552,3005,5453,107,109,32,window
Hand,17347,4286,-463,95,178,-32,window
Hand,4968,5833,-6936,53,187,-56,window
Hand,-1454,716,-10448,-14,165,-109,window
Hand,-8902,-5038,-11155,-46,139,-138,window
Hand,-13198,-9462,-2713,-40,90,-108,window
Hand,-14936,-13200,1176,-3,52,-94,window
Hand,-12107,-16036,262,32,22,-51,window
Hand,-9650,-15542,60,63,42,-40,window
Hand,-8678,-18015,218,66,15,15,window
Hand,637,-14827,5953,75,25,32,window
Hand,9396,-14230,5819,114,50,29,window
Hand,8724,-2175,8402,139,62,72,window
Hand,15672,1809,4084,133,104,36,window
Hand,12044,4631,-1410,72,134,-14,window
Hand,6588,3938,-2749,57,155,-37,window
Hand,-1894,-551,-7225,7,163,-72,window
Hand,-4064,-11812,-6518,-11,167,-121,window
Hand,-13570,-7715,-3908,-5,119,-107,window
Hand,-14125,-19366,-2790,-5,81,-111,window
Hand,-14136,-18422,-1046,23,31,-56,window
Hand,-9180,-22621,-873,42,57,-38,window
Hand,-6997,-23178,1988,67,17,8,window
Hand,-940,-20692,271,69,30,18,window
Hand,3308,-15908,2292,94,38,17,window
Hand,4448,-9631,2294,106,36,49,window
Hand,10892,-5920,5294,115,38,62,window
Hand,14451,7783,7428,121,102,37,window
Hand,14195,2995,-748,91,176,-31,window
Hand,4795,6140,-6827,28,200,-80,window
Hand,-4295,-1362,-8863,0,166,-90,window
Hand,-8798,-7788,-7178,-18,140,-103,window
Hand,-13073,-14299,-5316,-1,106,-105,window
Hand,-12579,-14291,563,6,64,-80,window
Hand,-13514,-19269,594,37,32,-55,window
Hand,-8515,-19273,2502,61,-7,-14,window
Hand,-4471,-20327,242,71,11,-11,window
Hand,-3553,-20573,736,86,21,15,window
Hand,3328,-17268,6480,96,24,31,window
Hand,12695,-7118,5702,118,55,25,window
Hand,13663,-5337,3553,127,88,36,window
Hand,16112,6138,-306,114,165,-13,window
Hand,7444,4969,-5527,69,197,-53,window
Hand,3434,2879,-13488,3,200,-139,window
Hand,-14006,-6965,-12643,-58,140,-108,window
Hand,-12598,-13598,-1457,-57,80,-95,window
Hand,-14472,-16752,2303,7,33,-83,window
Hand,-6678,-16495,2030,39,7,-28,window
Hand,-7537,-16067,-86,75,5,18,window
Hand,-3791,-15987,3511,71,4,34,window
Hand,2295,-9250,4902,105,22,49,window
Hand,5995,-6776,3969,117,44,55,window
Hand,13266,4395,2763,127,89,35,window
Hand,14599,5040,1876,109,143,12,window
Hand,12542,13132,-3209,93,188,-75,window
Hand,2920,6789,-13221,16,141,-67,window
Hand,-5097,-1047,-15179,-42,134,-103,window
Hand,-4985,-14065,-9582,-88,130,-119,window
Hand,-12269,-20620,2264,-13,91,-125,window
Hand,-12675,-21030,4440,35,44,-94,window
Hand,-11053,-22462,6440,67,0,-36,window
Hand,-8303,-20345,3970,80,24,7,window
Hand,-2193,-18521,2978,95,14,28,window
Hand,5996,-15293,3069,104,29,39,window
Hand,8443,-9885,3979,124,50,49,window
Hand,16166,-1274,5592,124,89,52,window
Hand,14150,5856,2270,109,143,4,window
Hand,11661,4018,-6602,54,189,-53,window
Hand,661,6833,-7609,24,172,-58,window
Hand,-4047,-4736,-10415,-14,172,-130,window
Hand,-15927,-10610,-9663,-38,119,-146,window
Hand,-16237,-12325,-1956,-3,65,-92,window
