Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-1879,3540,12127,97,-93,22,dab
Hand,-5395,10205,10590,117,-89,98,dab
Hand,-937,-1325,6463,89,-102,4,dab
Hand,-3574,-8862,3698,107,-80,21,dab
Hand,-2401,1350,3532,107,-107,49,dab
Hand,1776,-4973,3838,121,-79,-7,dab
Hand,-1979,5823,-807,144,-93,-9,dab
Hand,-3765,1446,-6990,149,-114,-44,dab
Hand,-7681,6970,-9177,145,-126,-80,dab
Hand,-12412,-2691,-12957,144,-161,-64,dab
Hand,-14834,-5421,-13062,173,-170,-71,dab
Hand,-25014,-2953,-18266,176,-200,-38,dab
Hand,-25014,5990,-23568,150,-200,-11,dab
Hand,-23920,14163,-25014,74,-187,-6,dab
Hand,-15331,17567,-25014,9,-136,-3,dab
Hand,-18476,392,-22517,-63,-55,8,dab
Hand,-11573,-1532,-10404,-45,-60,151,dab
Hand,4515,686,-1096,-40,3,119,dab
Hand,8615,-2717,891,-1,20,101,dab
Hand,13598,-1550,4621,9,5,64,dab
Hand,15902,137,6515,30,-21,50,dab
Hand,19171,4086,11997,39,-64,13,dab
Hand,19511,9327,16573,57,-88,-19,dab
Hand,17475,9938,22805,95,-95,-42,dab
Hand,11579,12700,25013,124,-111,-16,dab
Hand,3403,10744,25013,149,-118,-15,dab
Hand,1224,3800,24835,200,-138,7,dab
Hand,-5640,13269,16690,170,-138,34,dab
Hand,1343,-4378,10747,158,-119,17,dab
Hand,-1778,4321,6753,114,-105,32,dab
Hand,1615,-7198,3741,103,-94,-2,dab
Hand,-915,-4799,1025,94,-87,34,dab
Hand,3413,-14911,516,107,-109,22,dab
Hand,3947,-10653,-4533,136,-74,79,dab
Hand,7114,-25014,-10925,200,-124,75,dab
Hand,8389,-5983,-24059,200,-178,121,dab
Hand,15980,-17617,-25014,170,-187,72,dab
Hand,13460,-19710,-25014,154,-200,56,dab
Hand,13901,-7942,-25014,78,-158,20,dab
Hand,9477,-13885,-25014,24,-95,-26,dab
Hand,3891,-12752,-25014,0,-72,-23,dab
Hand,2115,3029,-18180,-52,-34,-39,dab
Hand,4589,-1528,-12018,-96,5,-73,dab
Hand,4197,2945,4366,-51,24,-48,dab
Hand,192,4276,13047,-34,42,-75,dab
Hand,-3107,12303,18614,12,17,-38,dab
Hand,-8492,15103,21890,16,2,-39,dab
Hand,-8768,18807,25013,63,-35,2,dab
Hand,-7525,18379,23939,118,-44,38,dab
