Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,7102,5866,15594,81,18,-2,jamesbond
Hand,7877,-6336,11332,99,6,-4,jamesbond
Hand,5361,4385,14946,100,1,-23,jamesbond
Hand,1260,-4686,10851,114,-32,-17,jamesbond
Hand,6624,3153,7395,132,-34,-15,jamesbond
Hand,-1480,278,5854,120,-39,-13,jamesbond
Hand,650,1521,373,151,-23,8,jamesbond
Hand,3159,939,-5663,145,-41,20,jamesbond
Hand,2587,-390,-11020,133,-22,-7,jamesbond
Hand,-490,346,-11682,122,-18,-4,jamesbond
Hand,318,-26,-14085,116,3,-16,jamesbond
Hand,-1598,-34,-12906,103,15,0,jamesbond
Hand,63,-84,-12242,92,31,-15,jamesbond
Hand,-3558,-3669,-11976,83,40,-5,jamesbond
Hand,-6571,-841,-10556,77,58,2,jamesbond
Hand,-3321,-2186,-8868,63,59,2,jamesbond
Hand,-9422,-2155,-6895,64,76,3,jamesbond
Hand,-8627,-1647,-3190,62,61,24,jamesbond
Hand,-10095,41,-3726,68,90,15,jamesbond
Hand,-8429,-5183,643,74,63,42,jamesbond
Hand,-7336,532,-1333,76,92,38,jamesbond
Hand,-6092,-6019,451,86,73,52,jamesbond
Hand,-4248,-2737,-1421,98,96,26,jamesbond
Hand,-6137,-4424,-3364,93,85,30,jamesbond
Hand,-8015,-5072,-5364,99,91,17,jamesbond
Hand,-10963,-6201,-9586,82,76,23,jamesbond
Hand,-11291,-5930,-10260,78,78,31,jamesbond
Hand,-12393,-2421,-8189,62,71,30,jamesbond
Hand,-11392,-3246,-5201,64,67,50,jamesbond
Hand,-11385,-1595,-4404,46,65,42,jamesbond
Hand,-12143,-5279,-179,56,47,57,jamesbond
Hand,-11003,-1998,-46,33,48,59,jamesbond
Hand,-9498,-2663,6539,25,16,67,jamesbond
Hand,-6968,-5118,14883,52,3,47,jamesbond
Hand,-13531,-8344,9526,59,-11,73,jamesbond
Hand,-3157,3884,19431,92,-58,84,jamesbond
Hand,-7445,-5856,7427,104,-52,73,jamesbond
Hand,482,-1059,2195,122,-49,92,jamesbond
Hand,4209,-193,-4822,106,-29,88,jamesbond
Hand,5402,-782,-4237,88,-28,90,jamesbond
Hand,5837,-3619,-6742,90,-6,81,jamesbond
Hand,5982,347,-6650,89,-14,79,jamesbond
Hand,6224,-1953,-8627,82,2,66,jamesbond
Hand,7552,-717,-7257,76,6,65,jamesbond
Hand,7850,694,-8897,71,18,75,jamesbond
Hand,7847,1000,-5056,60,32,39,jamesbond
Hand,4752,-66,-3853,62,47,59,jamesbond
Hand,4400,4469,1185,55,35,52,jamesbond
Hand,5718,-1408,2929,67,51,39,jamesbond
Hand,11323,2902,7022,70,35,42,jamesbond
Hand,12856,-15,11459,89,58,20,jamesbond
Hand,11211,469,9327,87,68,15,jamesbond
Hand,5665,3610,11029,128,83,0,jamesbond
Hand,7325,1524,7560,115,67,35,jamesbond
Hand,7631,3081,6342,111,65,40,jamesbond
Hand,7476,708,1340,124,62,45,jamesbond
Hand,10599,4650,152,103,64,50,jamesbond
Hand,14838,-150,-792,102,55,49,jamesbond
Hand,17515,7936,4848,85,52,40,jamesbond
Hand,14774,-1154,-897,77,55,13,jamesbond
Hand,13875,6426,8915,96,29,19,jamesbond
Hand,20584,-1985,6760,97,30,-12,jamesbond
Hand,4373,3495,11263,106,10,7,jamesbond
Hand,3031,2444,4743,109,14,-5,jamesbond
Hand,1791,1888,6367,101,14,-17,jamesbond
Hand,4805,-2434,7490,98,5,-17,jamesbond
Hand,1934,-3081,12762,126,-22,-44,jamesbond
Hand,4366,640,5142,125,-18,3,jamesbond
Hand,-3737,5652,392,120,-37,36,jamesbond
Hand,54,844,-2653,133,-36,13,jamesbond
Hand,-2940,-396,-5517,136,-32,17,jamesbond
Hand,219,1389,-9165,121,-10,-5,jamesbond
Hand,-1498,-3476,-10476,106,7,-11,jamesbond
Hand,-464,-640,-7810,97,22,-8,jamesbond
Hand,-2755,-3172,-8963,94,38,-12,jamesbond
Hand,-4350,-951,-7067,94,37,3,jamesbond
Hand,-3827,-1635,-7949,93,51,-8,jamesbond
Hand,-4953,-2540,-6764,84,40,1,jamesbond
Hand,-8682,-2780,-9579,100,69,-8,jamesbond
