Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-2076,-1025,1169,13,-92,-75,mermaid
Hand,-4811,-1210,849,11,-94,-65,mermaid
Hand,-7754,-2276,3273,3,-86,-64,mermaid
Hand,-9247,-4054,1495,9,-72,-57,mermaid
Hand,-5891,3649,250,1,-70,-57,mermaid
Hand,-7672,1424,-885,5,-52,-70,mermaid
Hand,-7781,3181,-506,4,-63,-70,mermaid
Hand,-7716,-315,595,7,-42,-78,mermaid
Hand,-9150,2485,1452,7,-48,-79,mermaid
Hand,-8620,-838,65,10,-32,-83,mermaid
Hand,-8538,4608,-792,20,-24,-78,mermaid
Hand,-11724,6301,802,9,-7,-98,mermaid
Hand,-18740,3822,855,8,-10,-100,mermaid
Hand,-16711,-1249,-347,24,10,-87,mermaid
Hand,-19102,5950,-844,30,14,-70,mermaid
Hand,-16354,4762,-445,22,31,-83,mermaid
Hand,-25014,10298,2595,19,43,-80,mermaid
Hand,-23094,3077,-3112,34,60,-67,mermaid
Hand,-25014,7457,1540,34,77,-30,mermaid
Hand,-12108,3300,-4409,41,81,-37,mermaid
Hand,-7724,6350,-3838,41,70,3,mermaid
Hand,-5415,1276,-8631,36,91,-18,mermaid
Hand,1050,7870,2454,22,73,-4,mermaid
Hand,3137,-705,-1862,31,80,-15,mermaid
Hand,5702,2941,7569,29,74,-16,mermaid
Hand,7730,-2285,-95,35,80,-30,mermaid
Hand,8954,-356,773,31,79,-40,mermaid
Hand,7952,-1825,-1467,34,80,-46,mermaid
Hand,9275,-449,4154,29,74,-53,mermaid
Hand,9619,-1965,-892,35,89,-69,mermaid
Hand,8223,-240,1458,39,95,-81,mermaid
Hand,6230,-440,599,39,97,-80,mermaid
Hand,6019,406,2559,36,83,-79,mermaid
Hand,3870,-546,773,38,84,-85,mermaid
Hand,6829,1718,5550,40,50,-68,mermaid
Hand,13905,-2047,-229,21,80,-122,mermaid
Hand,14787,1563,4619,56,17,-73,mermaid
Hand,25013,1329,1543,40,22,-108,mermaid
Hand,25013,-3866,-1271,15,-23,-73,mermaid
Hand,25013,-7129,5778,44,-18,-152,mermaid
Hand,17140,-2205,1868,43,-41,-128,mermaid
Hand,10802,-1217,2118,29,-59,-103,mermaid
Hand,8402,-2074,1364,28,-78,-84,mermaid
Hand,5863,-324,1982,24,-79,-94,mermaid
Hand,767,-2114,1351,27,-84,-84,mermaid
Hand,-1511,-1973,1224,28,-88,-87,mermaid
Hand,-4171,110,551,23,-96,-84,mermaid
Hand,-6493,-573,-377,25,-85,-76,mermaid
Hand,-8590,-104,-1165,21,-75,-69,mermaid
Hand,-8239,1491,-1880,22,-67,-61,mermaid
Hand,-8944,1705,-2666,19,-54,-65,mermaid
Hand,-8062,1664,-2089,17,-47,-73,mermaid
Hand,-9159,1342,-1747,30,-35,-77,mermaid
Hand,-11164,3411,-1128,33,-38,-86,mermaid
Hand,-7785,1085,-3622,38,-27,-81,mermaid
Hand,-12525,1438,-2585,30,-5,-97,mermaid
Hand,-15494,-2062,-1928,29,6,-90,mermaid
Hand,-15477,1594,-349,33,2,-80,mermaid
Hand,-17422,3452,-2305,37,40,-78,mermaid
Hand,-24498,3635,-1828,28,29,-66,mermaid
Hand,-20050,8744,-1824,26,30,-43,mermaid
Hand,-18604,1278,-1452,21,41,-49,mermaid
Hand,-7153,-663,-199,30,50,-21,mermaid
Hand,-5297,-262,1487,32,50,-36,mermaid
Hand,1684,-1836,1414,34,60,-41,mermaid
Hand,1718,-516,4356,36,60,-41,mermaid
Hand,4942,1208,6726,52,62,-50,mermaid
Hand,4322,-2160,2244,51,73,-76,mermaid
Hand,4595,-841,2702,59,64,-69,mermaid
Hand,3603,-3108,747,64,71,-71,mermaid
Hand,4308,-2581,229,64,69,-89,mermaid
Hand,4325,-1062,-112,55,74,-77,mermaid
Hand,5797,-2189,1722,54,51,-80,mermaid
Hand,11542,-1227,3483,56,69,-84,mermaid
Hand,10989,-1093,-325,51,48,-105,mermaid
Hand,15979,-2786,1793,54,40,-85,mermaid
Hand,22612,907,-602,60,18,-117,mermaid
Hand,22011,-2069,131,55,6,-118,mermaid
Hand,14441,-2891,-686,53,1,-117,mermaid
Hand,14473,-1289,4214,50,-33,-108,mermaid
Hand,12647,-2124,696,51,-35,-108,mermaid
Hand,8320,-1963,3624,39,-33,-103,mermaid
Hand,11685,-3715,2629,40,-63,-99,mermaid
Hand,8926,-1715,4098,36,-62,-100,mermaid
Hand,8810,886,3755,38,-88,-86,mermaid
Hand,6798,1376,2879,29,-74,-85,mermaid
Hand,3115,-2584,2331,29,-93,-82,mermaid
Hand,-1751,-5002,2079,30,-83,-67,mermaid
Hand,-2162,-1015,1237,34,-93,-64,mermaid
Hand,-4454,-3267,519,20,-83,-73,mermaid
Hand,-7194,-970,810,26,-82,-61,mermaid
Hand,-7578,-2731,282,13,-75,-79,mermaid
Hand,-10340,66,-398,16,-66,-75,mermaid
Hand,-10137,-2524,-207,9,-66,-79,mermaid
Hand,-12680,1028,-1695,27,-38,-75,mermaid
Hand,-7716,837,-1429,13,-46,-71,mermaid
Hand,-8640,1843,-1827,23,-19,-71,mermaid
Hand,-6779,-50,-837,8,-31,-91,mermaid
Hand,-8172,-947,-99,24,-12,-83,mermaid
Hand,-7150,1398,-1111,16,-17,-101,mermaid
Hand,-13338,2533,-1033,32,16,-94,mermaid
Hand,-17042,7477,584,19,2,-94,mermaid
Hand,-20528,4403,-2447,33,42,-79,mermaid
Hand,-25014,11352,-989,24,24,-64,mermaid
Hand,-25014,3600,-2692,20,36,-59,mermaid
Hand,-17116,2876,-1446,30,44,-45,mermaid
Hand,-6922,473,249,33,48,-17,mermaid
Hand,-2491,-698,-138,27,66,-35,mermaid
Hand,-440,-2365,448,33,60,-17,mermaid
Hand,3721,-2303,2754,45,50,-41,mermaid
Hand,7281,-2992,-422,40,64,-51,mermaid
Hand,9430,-3621,537,53,64,-57,mermaid
Hand,9417,-2612,833,41,87,-89,mermaid
Hand,11020,-900,2440,37,77,-82,mermaid
Hand,8959,-3875,2437,42,76,-103,mermaid
Hand,9095,-1327,3399,41,83,-109,mermaid
Hand,4939,337,3599,55,57,-94,mermaid
Hand,9355,374,2644,48,56,-95,mermaid
Hand,6873,-866,1250,50,44,-105,mermaid
Hand,17363,311,3397,54,27,-85,mermaid
Hand,18353,-853,-1767,28,34,-153,mermaid
Hand,14679,-5055,1605,50,-1,-102,mermaid
Hand,25013,-849,615,45,-39,-115,mermaid
Hand,20862,-1733,22,41,-32,-122,mermaid
Hand,11531,-1686,1964,38,-50,-125,mermaid
Hand,9369,-1526,598,39,-71,-113,mermaid
Hand,5914,-4349,-530,34,-68,-106,mermaid
Hand,1994,-2479,714,38,-75,-97,mermaid
Hand,3474,-4622,1196,32,-95,-83,mermaid
Hand,930,-1874,825,32,-71,-77,mermaid
Hand,-4589,-2554,1259,20,-78,-81,mermaid
Hand,-5623,-3452,1789,24,-78,-67,mermaid
Hand,-7295,-2411,1292,26,-64,-77,mermaid
Hand,-8164,2015,-1127,24,-67,-65,mermaid
Hand,-9108,2827,-1768,22,-53,-81,mermaid
Hand,-9810,4812,-3651,25,-47,-70,mermaid
Hand,-8615,1903,-3033,26,-42,-77,mermaid
Hand,-9011,1882,-4351,36,-28,-77,mermaid
Hand,-9395,-2569,-2543,19,-15,-107,mermaid
Hand,-14795,3272,-1819,30,-19,-97,mermaid
Hand,-14947,267,45,24,16,-111,mermaid
Hand,-20189,4652,-793,34,0,-84,mermaid
Hand,-13932,-401,-1634,28,31,-80,mermaid
Hand,-14054,2182,-579,34,32,-67,mermaid
Hand,-14878,2958,-1387,32,54,-57,mermaid
Hand,-16252,4789,1928,39,42,-40,mermaid
Hand,-16179,1395,-1935,30,64,-61,mermaid
Hand,-15697,2105,-637,40,38,-12,mermaid
Hand,-7749,1292,-468,33,68,-30,mermaid
Hand,-5991,-568,-221,40,39,-7,mermaid
Hand,2473,-1150,412,32,79,-38,mermaid
Hand,2028,-1303,644,38,62,-21,mermaid
Hand,5153,-3432,140,44,97,-50,mermaid
Hand,4009,180,4632,49,84,-38,mermaid
Hand,4650,-1227,2016,58,88,-46,mermaid
Hand,6545,-3551,-1909,47,89,-60,mermaid
Hand,3611,494,1978,54,69,-64,mermaid
Hand,4118,31,3491,44,68,-74,mermaid
Hand,2931,-749,-450,43,74,-61,mermaid
Hand,6043,-1332,3831,58,69,-57,mermaid
Hand,7612,-1573,4096,51,84,-73,mermaid
Hand,8696,-1559,5098,69,55,-77,mermaid
Hand,10669,-2376,2476,61,67,-87,mermaid
Hand,15469,-2156,2747,60,22,-84,mermaid
Hand,17251,-2012,-224,52,47,-99,mermaid
Hand,19915,2085,1804,59,2,-88,mermaid
Hand,25013,360,-879,55,-9,-120,mermaid
Hand,23202,-5631,808,62,-22,-123,mermaid
Hand,19040,-769,1708,58,-35,-120,mermaid
Hand,12329,-3611,3394,52,-53,-123,mermaid
Hand,9530,-4517,1818,45,-66,-101,mermaid
Hand,9594,-1732,3419,45,-79,-99,mermaid
Hand,8269,-3113,2710,29,-87,-102,mermaid
Hand,829,-4508,621,33,-74,-88,mermaid
Hand,326,-4856,1254,29,-104,-75,mermaid
Hand,-2760,-2836,1031,33,-90,-57,mermaid
Hand,-4125,-1292,838,25,-85,-63,mermaid
Hand,-5792,-769,-110,23,-74,-60,mermaid
Hand,-7227,-1421,-912,20,-62,-58,mermaid
Hand,-7681,-4182,-814,12,-68,-55,mermaid
Hand,-6707,-373,-834,20,-63,-63,mermaid
Hand,-4906,1912,-947,18,-62,-81,mermaid
Hand,-6439,3052,-1432,24,-51,-85,mermaid
Hand,-7513,1166,-1276,23,-48,-92,mermaid
Hand,-8783,962,-1214,29,-43,-99,mermaid
Hand,-10240,1854,-3346,40,-31,-91,mermaid
Hand,-11252,-1243,-3277,30,-28,-88,mermaid
Hand,-9605,2213,-2831,29,-13,-84,mermaid
Hand,-11647,-3489,-2504,19,2,-100,mermaid
Hand,-9131,-338,-2192,30,4,-72,mermaid
Hand,-11097,1702,-1731,18,21,-100,mermaid
Hand,-8636,245,-2086,27,23,-83,mermaid
Hand,-15615,3938,2052,17,40,-89,mermaid
Hand,-15977,5038,-1135,34,37,-62,mermaid
Hand,-19415,6361,796,22,58,-73,mermaid
Hand,-21772,5118,611,26,42,-38,mermaid
Hand,-22481,1852,-2993,26,59,-28,mermaid
Hand,-12400,2104,1912,32,37,9,mermaid
Hand,-8630,1014,873,28,72,-19,mermaid
Hand,453,-3263,47,37,51,-1,mermaid
Hand,2979,-1750,2024,43,82,-19,mermaid
Hand,5396,-3700,502,42,77,-26,mermaid
Hand,6035,-1954,5469,43,87,-39,mermaid
Hand,8134,-3449,5030,55,90,-50,mermaid
Hand,7904,-3489,4515,63,89,-60,mermaid
Hand,8130,-3271,2960,63,90,-65,mermaid
Hand,6696,-1207,3517,65,72,-68,mermaid
Hand,6747,-3524,-2202,57,81,-72,mermaid
Hand,5310,-367,2795,61,59,-71,mermaid
Hand,6285,-2187,423,52,68,-77,mermaid
Hand,6076,-966,1108,58,47,-78,mermaid
Hand,6410,-1392,1205,51,46,-82,mermaid
Hand,8673,-1223,1055,51,56,-86,mermaid
Hand,9134,-1062,2831,56,45,-90,mermaid
Hand,16856,-553,1989,57,23,-84,mermaid
Hand,18155,-5505,285,53,28,-119,mermaid
Hand,18832,4889,4260,64,7,-107,mermaid
Hand,24244,-8360,-1098,48,-10,-138,mermaid
Hand,17333,1410,2370,55,-32,-116,mermaid
Hand,18118,-1091,2500,51,-46,-114,mermaid
Hand,15082,-1087,3802,40,-51,-107,mermaid
Hand,11340,-2505,3223,42,-82,-81,mermaid
Hand,12114,344,3618,26,-86,-89,mermaid
Hand,5181,-4918,1237,40,-87,-71,mermaid
Hand,3495,2624,1413,38,-105,-60,mermaid
Hand,-70,-251,-15,31,-98,-66,mermaid
Hand,-5173,-1524,-419,37,-105,-56,mermaid
Hand,-5250,-1343,-634,37,-99,-58,mermaid
Hand,-8597,-2068,-1479,37,-94,-57,mermaid
Hand,-10051,-2196,-2073,32,-80,-58,mermaid
Hand,-10837,-2973,-1337,28,-73,-56,mermaid
Hand,-11418,-3653,-1039,20,-63,-65,mermaid
Hand,-14018,-1778,-1599,29,-50,-69,mermaid
Hand,-11287,677,-1811,25,-43,-68,mermaid
