Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Chest,-3221,-2389,201,20,98,3,dab
Chest,-389,-785,-276,11,100,15,dab
Chest,208,-2927,-1274,9,94,-3,dab
Chest,-1830,-2590,-421,-1,101,-4,dab
Chest,434,-3293,-1281,17,94,8,dab
Chest,502,-2521,-389,17,97,13,dab
Chest,-2274,-2238,182,7,100,6,dab
Chest,-889,-2899,140,11,95,4,dab
Chest,-2113,-2847,-273,15,90,11,dab
Chest,-2209,-3065,-291,12,98,11,dab
Chest,-3516,-3246,-1380,25,105,1,dab
Chest,-2021,-2470,-1436,27,84,11,dab
Chest,-1871,-569,-163,7,100,14,dab
Chest,-868,-856,-2028,-9,109,10,dab
Chest,-615,-2926,-4747,-5,100,18,dab
Chest,140,-4018,-3398,-4,88,15,dab
Chest,851,-2415,-284,5,93,3,dab
Chest,-339,-2246,350,5,85,10,dab
Chest,140,-2778,-1625,4,95,-4,dab
Chest,-4089,-2020,-2153,7,93,10,dab
Chest,-4220,-1490,-990,6,95,16,dab
Chest,-3971,-1358,-490,-5,99,10,dab
Chest,-5101,-1086,402,-15,87,8,dab
Chest,-1840,-2369,1471,-11,93,18,dab
Chest,-1074,-2453,1750,-11,93,8,dab
Chest,104,-2840,1895,-17,105,12,dab
Chest,621,-3503,706,22,95,10,dab
Chest,-2347,-1731,2513,10,107,4,dab
Chest,-1968,-896,2053,2,88,8,dab
Chest,-37,-2731,979,6,106,7,dab
Chest,-1322,-2185,1452,9,98,7,dab
Chest,-2694,-1878,998,16,97,14,dab
Chest,-1537,-1872,-504,6,96,8,dab
Chest,-2769,-2737,-670,10,98,8,dab
Chest,-352,-1666,456,17,93,9,dab
Chest,-3160,-1038,368,9,96,9,dab
Chest,-3962,-1150,1548,-11,97,11,dab
Chest,-2397,-2647,1616,-12,97,4,dab
Chest,-3308,-4376,728,8,98,16,dab
Chest,-2619,-4353,723,34,96,25,dab
Chest,-1544,-3051,3016,29,95,31,dab
Chest,-857,-2113,3151,18,90,11,dab
Chest,342,-3291,1573,13,87,-1,dab
Chest,-1182,-3240,1471,30,89,6,dab
Chest,-1415,-2150,780,29,87,27,dab
Chest,-2167,-2269,590,19,88,9,dab
Chest,-3381,-2756,-322,25,95,19,dab
Chest,-3663,-2688,-3191,29,97,29,dab
Chest,-1975,-2145,-4286,31,92,28,dab
Chest,-410,-1966,-3359,23,92,29,dab
Chest,376,-2119,-1963,32,90,27,dab
Chest,615,-1086,-972,30,89,9,dab
