Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-466,-5463,-3992,-4,-100,18,dab
Hand,637,-837,-1943,-10,-95,-2,dab
Hand,-464,-4618,-1610,-14,-97,-6,dab
Hand,6792,10155,1133,14,-118,-4,dab
Hand,2282,12073,-1652,0,-92,-45,dab
Hand,-1143,2091,-3238,-14,-94,-37,dab
Hand,-2745,-2702,-1592,-12,-94,-23,dab
Hand,-3392,-7522,81,-4,-109,-6,dab
Hand,2,-15741,378,11,-145,2,dab
Hand,11050,-23402,-8509,71,-171,6,dab
Hand,11519,-15632,-15208,112,-175,1,dab
Hand,-10595,-24944,-23930,179,-155,83,dab
Hand,-18403,-24944,-25117,202,-176,77,dab
Hand,-19393,-24944,-25117,138,-202,1,dab
Hand,4323,3163,-25117,47,-202,29,dab
Hand,-7648,-5496,-25117,22,-189,91,dab
Hand,4523,-3160,-25117,-176,-181,-100,dab
Hand,-1246,-16995,-8489,-196,-47,7,dab
Hand,-4391,-5418,2951,-5,7,1,dab
Hand,4785,3318,9210,8,20,-43,dab
Hand,-4195,8552,14669,-1,-11,-16,dab
Hand,-5066,4421,22692,-28,-15,-62,dab
Hand,2592,10837,24910,111,-54,-17,dab
Hand,-6565,-2395,24910,40,-74,-85,dab
Hand,-5424,20103,24910,83,-100,-32,dab
Hand,-7533,-2594,24910,202,-201,-3,dab
Hand,-1705,16338,24910,106,-46,-5,dab
Hand,-10912,-7391,24910,78,-111,-22,dab
Hand,11668,25083,24910,180,-102,41,dab
Hand,5125,-17176,21763,43,-136,-51,dab
Hand,3035,14398,24910,82,-147,22,dab
Hand,10692,-473,17350,32,-151,-45,dab
Hand,11055,-16035,-6426,84,-125,11,dab
Hand,-5616,25083,-3880,8,-80,-88,dab
Hand,1900,-2469,-4907,-43,-114,-26,dab
Hand,3669,-19268,-2257,-7,-109,-53,dab
Hand,4203,-8970,-3544,15,-135,-42,dab
Hand,9124,-6379,-10382,-34,-159,-164,dab
Hand,-11344,9021,346,-38,-173,-193,dab
Hand,-24636,11892,-927,-47,-202,-166,dab
Hand,-24636,2042,2875,-62,-202,-124,dab
Hand,-24636,-1037,13184,-36,-202,-115,dab
Hand,-24636,21290,8688,-45,-202,-6,dab
Hand,-24636,10115,5856,-104,-115,3,dab
Hand,-20826,4360,6205,2,-110,132,dab
Hand,-6891,-3008,931,74,-54,159,dab
Hand,-1275,-6898,-2871,45,4,110,dab
Hand,9208,1317,-4389,28,23,57,dab
Hand,7014,-10626,-4673,12,24,23,dab
Hand,14644,-853,-4329,28,-23,-10,dab
Hand,16791,2467,-8070,-3,-27,-40,dab
Hand,23791,3712,-7244,-6,-79,-40,dab
Hand,19963,-9731,-4488,-37,-79,-130,dab
Hand,25391,-15675,-6227,-56,-128,-134,dab
Hand,25391,-8037,-7321,-58,-99,-169,dab
Hand,21522,-12542,-6860,-22,-125,-172,dab
Hand,25391,1549,-9934,-31,-155,-127,dab
Hand,17368,11866,1666,-16,-132,-110,dab
Hand,21504,-10190,-4844,4,-86,-112,dab
Hand,-1248,5609,2702,-10,-112,-99,dab
Hand,3251,7885,1244,15,-104,-33,dab
Hand,1086,3637,3201,-9,-95,-80,dab
Hand,-1587,-6701,1679,-1,-108,-70,dab
Hand,-2850,10479,860,11,-108,-55,dab
Hand,-2632,11093,-342,25,-108,-101,dab
Hand,-5641,2915,-7324,68,-162,-80,dab
Hand,-14086,-10708,-18679,149,-202,40,dab
Hand,-4668,-20754,-25117,202,-202,123,dab
Hand,-14840,-18092,-25117,159,-202,6,dab
Hand,-11866,25042,-25117,159,-202,-53,dab
Hand,6676,8748,-25117,-10,-202,-73,dab
Hand,11990,-9370,-25117,-198,-111,-126,dab
Hand,9477,1886,-19955,-157,-52,-64,dab
Hand,4973,4109,-366,-81,5,-52,dab
Hand,-1006,-1729,5561,23,42,-89,dab
Hand,-5064,2627,4507,-17,40,-36,dab
Hand,-3075,6614,14814,-27,4,-24,dab
Hand,750,-9066,21502,-34,-16,-65,dab
Hand,-6752,-15384,24910,51,-47,-67,dab
Hand,-5137,12320,24910,55,-46,-56,dab
Hand,-6179,-3601,24910,157,-75,-26,dab
Hand,-8682,2825,24910,87,-72,-47,dab
Hand,1863,-15658,24910,189,-135,-38,dab
Hand,11872,13554,24910,120,-82,-12,dab
Hand,-3245,-8954,24910,104,-88,16,dab
Hand,18153,11573,24910,141,-115,2,dab
Hand,7741,-3677,18000,49,-155,-66,dab
Hand,11120,7914,15558,86,-145,2,dab
Hand,8429,9115,12120,45,-98,-80,dab
Hand,1544,-6890,2989,31,-117,-34,dab
Hand,2408,7551,386,21,-92,-22,dab
Hand,2870,-11360,-2832,4,-111,-47,dab
Hand,-998,-10973,-4652,3,-113,-28,dab
Hand,-1408,-13618,-4448,-15,-141,-64,dab
Hand,3839,-3162,-11934,-51,-124,-193,dab
Hand,-19246,13818,3406,-69,-137,-193,dab
Hand,-24636,7226,9460,-70,-202,-193,dab
Hand,-24636,4692,15659,-82,-202,-144,dab
Hand,-24636,-3489,14960,-21,-202,-60,dab
Hand,-24636,23044,19350,-80,-168,-56,dab
Hand,-24636,5440,17223,-64,-172,6,dab
