Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Chest,-1224,8,2598,8,93,21,jamesbond
Chest,-1189,-302,1951,2,91,28,jamesbond
Chest,-1266,-991,853,5,95,26,jamesbond
Chest,-845,-1295,778,10,90,30,jamesbond
Chest,-1092,-1102,524,11,96,32,jamesbond
Chest,-527,-944,1672,18,92,31,jamesbond
Chest,-282,290,3108,19,90,31,jamesbond
Chest,-360,1554,3808,5,97,20,jamesbond
Chest,-1292,1947,4331,0,99,14,jamesbond
Chest,-1392,2298,5481,9,99,22,jamesbond
Chest,-2610,3223,5311,4,100,14,jamesbond
Chest,-2647,2698,4034,-4,94,7,jamesbond
Chest,-1859,1169,2765,2,97,4,jamesbond
Chest,-2763,849,3421,8,87,28,jamesbond
Chest,-1682,979,2540,7,85,26,jamesbond
Chest,-879,-260,2410,5,93,42,jamesbond
Chest,-4124,-1431,2267,11,83,35,jamesbond
Chest,-5181,-2295,951,13,83,42,jamesbond
Chest,-2505,-2276,282,9,91,31,jamesbond
Chest,-1265,-3355,-372,13,92,50,jamesbond
Chest,-1766,-4089,-419,18,83,43,jamesbond
Chest,-1280,-4507,-1414,20,90,36,jamesbond
Chest,466,-4547,-3163,26,90,33,jamesbond
Chest,-1267,-4674,-3084,19,83,28,jamesbond
Chest,-242,-5169,-3802,15,94,27,jamesbond
Chest,-843,-5002,-3250,23,88,30,jamesbond
Chest,-2026,-4712,-3696,21,97,25,jamesbond
Chest,-1635,-5047,-4021,22,90,20,jamesbond
Chest,-2189,-4305,-3319,13,87,32,jamesbond
Chest,-2036,-4485,-3461,7,93,23,jamesbond
Chest,-892,-4420,-3311,-4,88,20,jamesbond
Chest,-1325,-4962,-3460,6,100,32,jamesbond
Chest,-1807,-4240,-1973,20,89,30,jamesbond
Chest,-1442,-3690,-1763,10,91,29,jamesbond
Chest,-709,-4160,-1740,3,91,30,jamesbond
Chest,-391,-4863,-2141,10,89,26,jamesbond
Chest,-484,-5202,-2906,7,99,20,jamesbond
