Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-7418,1187,-3919,73,25,35,jamesbond
Hand,-4308,7727,2034,67,10,58,jamesbond
Hand,2706,9273,1165,74,-10,88,jamesbond
Hand,-2374,795,1311,37,3,44,jamesbond
Hand,-8379,3578,3836,8,-3,53,jamesbond
Hand,-4278,2120,2924,72,-24,78,jamesbond
Hand,-2337,7687,4127,46,-3,76,jamesbond
Hand,-6882,6898,3469,77,5,104,jamesbond
Hand,-5199,3195,1220,106,-4,112,jamesbond
Hand,-4182,-3521,686,82,-5,88,jamesbond
Hand,368,-2047,-854,107,-11,98,jamesbond
Hand,-24,-8350,-4827,94,-7,97,jamesbond
Hand,3605,-4280,-5889,79,-26,117,jamesbond
Hand,4924,-9875,-6599,84,-21,82,jamesbond
Hand,5713,-15813,-9239,65,-6,79,jamesbond
Hand,11114,-9237,-8698,59,-10,51,jamesbond
Hand,16078,-4442,-8656,78,9,29,jamesbond
Hand,19547,-1616,-3354,69,4,7,jamesbond
Hand,16660,-3803,-566,56,20,3,jamesbond
Hand,12088,2025,-212,88,47,-30,jamesbond
Hand,13124,17703,5850,110,18,2,jamesbond
Hand,6003,8746,3172,128,55,-18,jamesbond
Hand,7259,9397,4061,125,31,13,jamesbond
Hand,10761,1881,1832,122,35,26,jamesbond
Hand,9092,-4224,76,91,31,33,jamesbond
Hand,9562,1376,1798,90,26,38,jamesbond
Hand,11548,3017,562,99,44,42,jamesbond
Hand,15795,7444,2118,107,44,61,jamesbond
Hand,19014,2374,-35,99,54,41,jamesbond
Hand,21902,7200,98,105,45,50,jamesbond
Hand,22277,7019,-548,81,52,25,jamesbond
Hand,24601,13885,1615,90,41,39,jamesbond
Hand,25391,21941,3027,95,37,38,jamesbond
Hand,14336,13873,3270,73,56,19,jamesbond
Hand,17651,18918,6146,71,14,37,jamesbond
Hand,10956,25083,4629,57,-6,69,jamesbond
Hand,-7505,-3569,6709,47,18,47,jamesbond
Hand,-5283,15933,7129,42,14,80,jamesbond
Hand,-8952,35,6965,81,16,12,jamesbond
Hand,-13400,6399,4853,80,-21,74,jamesbond
Hand,-13158,1479,3555,85,-29,98,jamesbond
Hand,-753,-173,503,101,-45,108,jamesbond
Hand,4993,-511,-3082,105,-25,110,jamesbond
Hand,4762,-1128,-4256,81,-14,91,jamesbond
Hand,2926,-10822,-5832,115,6,110,jamesbond
Hand,3105,-11082,-8821,72,-15,75,jamesbond
Hand,1711,-12665,-9294,61,-4,57,jamesbond
Hand,-1893,-13379,-10976,77,9,63,jamesbond
Hand,-4250,-12526,-11123,54,20,34,jamesbond
Hand,-2285,-15495,-7994,54,28,29,jamesbond
Hand,-3211,-11613,-5185,57,55,27,jamesbond
Hand,-10238,-6024,-2330,64,73,8,jamesbond
Hand,-10272,1365,2835,81,73,12,jamesbond
Hand,-11312,-2737,-952,101,66,22,jamesbond
Hand,-10328,-750,-1084,102,66,8,jamesbond
Hand,-8218,3577,-1168,113,43,39,jamesbond
Hand,-10073,-4279,-3000,114,45,31,jamesbond
Hand,-9304,-3690,-3801,109,29,26,jamesbond
Hand,-10290,-8589,-5034,116,25,31,jamesbond
Hand,-9281,-8237,-5547,123,29,26,jamesbond
Hand,-11676,-6262,-6201,113,37,11,jamesbond
Hand,-14783,-9501,-5542,107,34,6,jamesbond
Hand,-15592,-6113,-6396,112,33,0,jamesbond
Hand,-11952,5401,-3491,106,23,9,jamesbond
Hand,-15788,-3563,-6092,79,33,27,jamesbond
Hand,-14690,7940,-4158,47,26,-6,jamesbond
Hand,-11950,10975,-2092,21,-3,52,jamesbond
Hand,-15575,7578,759,30,-9,91,jamesbond
Hand,-18505,8115,1273,6,-7,87,jamesbond
Hand,-11681,5840,937,53,-20,143,jamesbond
Hand,-8216,291,-356,40,-19,130,jamesbond
Hand,-415,2995,-1743,83,-6,114,jamesbond
Hand,4240,-2492,-3090,64,6,127,jamesbond
Hand,5615,-3959,-2847,54,13,124,jamesbond
Hand,3548,-9847,-2723,81,11,125,jamesbond
Hand,8766,-14260,-3631,70,26,97,jamesbond
Hand,12673,-10756,-3962,39,10,96,jamesbond
Hand,11750,-10735,-3659,70,23,48,jamesbond
Hand,12024,-14093,-4453,49,10,35,jamesbond
Hand,14238,-4552,-1889,56,14,10,jamesbond
Hand,9624,-8727,-506,64,36,-5,jamesbond
