Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-14345,21253,25013,-52,4,141,cowboy
Hand,-15016,-9266,18553,-26,-65,196,cowboy
Hand,2400,76,25013,22,-20,126,cowboy
Hand,8517,-7404,19882,81,-36,153,cowboy
Hand,13383,-7876,19747,92,-8,122,cowboy
Hand,25013,-5302,11712,135,2,80,cowboy
Hand,25013,-12536,3733,135,36,8,cowboy
Hand,23099,-4802,-10913,148,71,-29,cowboy
Hand,21483,-6015,-14488,87,76,-105,cowboy
Hand,7418,782,-20506,63,89,-126,cowboy
Hand,5052,1155,-22231,-8,81,-132,cowboy
Hand,-3576,3711,-21737,-19,77,-89,cowboy
Hand,-3895,4499,-18917,-79,68,-123,cowboy
Hand,-11531,5976,-16111,-73,56,-71,cowboy
Hand,-12482,8961,-12302,-105,46,-86,cowboy
Hand,-16666,8051,-8554,-116,25,-52,cowboy
Hand,-24659,7533,-2379,-134,26,-61,cowboy
Hand,-25014,9495,4044,-113,-3,-16,cowboy
Hand,-25014,7830,7405,-121,-3,-17,cowboy
Hand,-25014,13411,12338,-102,8,33,cowboy
Hand,-25014,9181,14033,-95,2,47,cowboy
Hand,-23330,10411,19923,-73,-37,126,cowboy
Hand,-21876,9880,22424,-78,-6,116,cowboy
Hand,-11756,17183,25013,-41,-34,171,cowboy
Hand,-10953,6304,24689,-37,16,128,cowboy
Hand,-9627,4174,23389,-21,30,126,cowboy
Hand,973,25,24343,36,-24,182,cowboy
Hand,7705,124,21304,63,3,122,cowboy
Hand,12076,-324,16285,99,-8,144,cowboy
Hand,17719,-2753,15314,78,20,80,cowboy
Hand,24722,-2918,8653,103,28,52,cowboy
Hand,25013,-10779,-1568,128,40,-10,cowboy
Hand,25013,-8196,-10898,102,43,-71,cowboy
Hand,15482,-1470,-20473,74,79,-118,cowboy
Hand,8150,5810,-20056,35,76,-139,cowboy
Hand,-168,6428,-21266,-12,85,-153,cowboy
Hand,-6686,12137,-19195,-33,62,-131,cowboy
Hand,-11031,9597,-19525,-63,54,-130,cowboy
Hand,-16642,13269,-13308,-92,54,-129,cowboy
Hand,-21569,12492,-12162,-107,40,-97,cowboy
Hand,-23940,15644,-6935,-124,44,-69,cowboy
Hand,-23493,7334,-2461,-114,37,-39,cowboy
Hand,-25014,14320,4739,-88,27,-22,cowboy
Hand,-25014,9088,6616,-90,40,-8,cowboy
Hand,-24089,12189,8757,-65,23,63,cowboy
Hand,-23392,5212,7578,-82,31,59,cowboy
Hand,-19063,10421,12518,-97,-1,81,cowboy
Hand,-15522,7729,17226,-100,-13,125,cowboy
Hand,-10786,681,21231,-66,-16,147,cowboy
Hand,-6026,9565,25013,-45,-16,120,cowboy
Hand,-492,-1541,24637,9,-46,200,cowboy
Hand,3508,1260,23818,41,16,100,cowboy
Hand,14819,4931,22069,108,-22,154,cowboy
Hand,15314,-3831,13043,113,24,92,cowboy
Hand,20279,4767,12196,146,27,72,cowboy
Hand,20566,-604,2557,118,45,23,cowboy
Hand,21034,2802,-2860,137,50,-19,cowboy
Hand,20256,3427,-7092,127,53,-54,cowboy
Hand,16226,4399,-14015,122,64,-112,cowboy
Hand,14147,3590,-20271,72,59,-162,cowboy
Hand,1898,7918,-20382,25,64,-173,cowboy
Hand,-3070,9085,-19943,-24,68,-177,cowboy
Hand,-9559,10596,-19298,-49,63,-129,cowboy
Hand,-11244,11311,-16270,-82,55,-137,cowboy
Hand,-12965,13327,-11858,-103,18,-97,cowboy
Hand,-19983,8885,-8499,-114,43,-65,cowboy
Hand,-22318,11304,-3153,-108,19,-38,cowboy
Hand,-25014,11183,34,-98,39,-15,cowboy
Hand,-24293,12006,4792,-97,19,21,cowboy
Hand,-25014,16786,10595,-113,46,5,cowboy
Hand,-21018,16663,12466,-80,-19,109,cowboy
Hand,-21963,12503,12175,-142,64,4,cowboy
Hand,-13457,11890,16921,-74,-22,189,cowboy
Hand,-17247,5324,16633,-118,64,46,cowboy
Hand,-4266,10890,22794,-19,-25,184,cowboy
Hand,-7609,869,17956,-27,22,122,cowboy
Hand,793,8058,22260,22,26,119,cowboy
Hand,6627,3326,18779,51,11,146,cowboy
Hand,10235,-627,18369,83,23,113,cowboy
Hand,17736,639,16378,124,21,86,cowboy
Hand,17810,1428,8224,194,-8,42,cowboy
Hand,23953,-910,-511,155,36,7,cowboy
Hand,23431,-2248,-7211,148,45,-42,cowboy
Hand,21532,-302,-14458,121,54,-113,cowboy
Hand,13976,3954,-21864,101,47,-150,cowboy
Hand,7510,6675,-24854,33,51,-187,cowboy
Hand,-1973,10498,-25014,-17,45,-175,cowboy
Hand,-9127,10076,-21392,-53,41,-154,cowboy
Hand,-12760,12036,-17091,-85,39,-139,cowboy
Hand,-13538,14973,-13898,-82,22,-92,cowboy
Hand,-11821,9861,-11627,-131,67,-126,cowboy
Hand,-17935,8174,-8204,-93,13,-33,cowboy
Hand,-22609,10840,-4656,-121,47,-68,cowboy
Hand,-20341,7111,-1886,-97,30,-12,cowboy
Hand,-25014,10040,1972,-116,52,-32,cowboy
Hand,-25014,15254,5876,-86,16,42,cowboy
Hand,-25014,15678,6473,-115,46,1,cowboy
Hand,-25014,19550,10632,-86,-20,100,cowboy
Hand,-25014,13615,11825,-122,9,70,cowboy
