Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,24885,-2040,-8680,-22,-89,-105,dab
Hand,21711,-9203,-6100,-11,-78,-147,dab
Hand,19405,-10405,-5989,-30,-110,-132,dab
Hand,18898,-8792,-6703,-26,-116,-129,dab
Hand,17118,-8424,-5166,-25,-109,-115,dab
Hand,13931,-12000,-4226,-31,-131,-146,dab
Hand,8606,-3085,-3619,-11,-102,-113,dab
Hand,4165,-7110,-3186,-25,-80,-134,dab
Hand,1247,418,-2126,3,-89,-67,dab
Hand,2989,-426,-1566,3,-90,-82,dab
Hand,-318,-5991,-3369,51,-103,-40,dab
Hand,1385,-15965,-10644,91,-116,-49,dab
Hand,2,-18955,-20147,130,-134,-50,dab
Hand,-1132,-14031,-25014,112,-156,-77,dab
Hand,-2669,-14458,-25014,100,-171,-72,dab
Hand,-4944,-8849,-25014,71,-155,-79,dab
Hand,-3956,-13043,-25014,68,-135,-58,dab
Hand,-8777,-21618,-25014,88,-93,-41,dab
Hand,-7292,-14407,-22512,68,-64,-8,dab
Hand,-6959,-9647,-18298,41,-55,15,dab
Hand,-4095,-5982,-17160,-5,-37,13,dab
Hand,583,-1548,-13669,-29,-29,17,dab
Hand,1954,3608,-10403,-77,8,-67,dab
Hand,3924,6435,-1149,-80,8,-100,dab
Hand,-4003,236,4771,-54,21,-121,dab
Hand,-3101,4144,11955,-6,-17,-59,dab
Hand,-5457,-220,13598,10,-17,-69,dab
Hand,-859,5680,15611,23,-27,-37,dab
Hand,-3939,-1295,15495,12,-17,-68,dab
Hand,4151,4989,20836,87,-52,0,dab
Hand,-2553,2896,18376,28,-5,-108,dab
Hand,470,10328,23882,85,-50,-14,dab
Hand,-432,12751,25013,66,-71,-54,dab
Hand,2305,8392,25013,130,-133,-27,dab
Hand,-3676,13518,23723,39,-60,-101,dab
Hand,7031,13334,25013,142,-147,18,dab
Hand,46,1575,21251,89,-114,-70,dab
Hand,7046,11685,18197,113,-123,-43,dab
Hand,689,1838,11845,77,-103,-70,dab
Hand,2592,7922,9848,68,-104,-42,dab
Hand,1060,8601,5029,56,-98,-68,dab
Hand,-11,8775,2244,37,-105,-99,dab
Hand,-5082,7331,-1076,13,-95,-132,dab
Hand,-10415,15293,674,-19,-81,-136,dab
Hand,-16924,4645,1837,-17,-111,-138,dab
Hand,-19898,5250,3451,8,-131,-146,dab
Hand,-23600,6783,3318,23,-138,-140,dab
Hand,-25014,6613,2450,20,-144,-151,dab
Hand,-25014,7491,154,12,-132,-134,dab
Hand,-25014,3953,2055,-11,-113,-108,dab
Hand,-25014,3856,3940,7,-88,-45,dab
Hand,-25014,6699,9936,-15,-57,-30,dab
Hand,-20446,-311,9542,11,-48,61,dab
Hand,-11912,-3020,13802,46,-29,46,dab
Hand,308,-2803,4021,93,-39,93,dab
Hand,5821,-6362,-2140,102,-22,62,dab
Hand,9614,-2924,-11000,59,-15,2,dab
Hand,13581,-2931,-11840,44,-32,-10,dab
Hand,18698,1083,-11325,17,-40,-49,dab
Hand,22959,-4465,-10198,8,-52,-64,dab
Hand,23531,1032,-7299,-22,-69,-97,dab
Hand,24710,-3809,-5102,6,-85,-58,dab
Hand,23493,-14902,-7153,-10,-102,-117,dab
Hand,21758,-11874,-4194,-30,-110,-167,dab
Hand,21224,-11123,-8369,-13,-108,-146,dab
Hand,17306,-13226,-9087,-29,-113,-144,dab
Hand,15109,-3828,-5468,-24,-112,-137,dab
Hand,9635,-4268,-3258,-30,-76,-131,dab
Hand,4362,-2847,-3469,-21,-73,-94,dab
Hand,3444,-1243,140,-20,-86,-74,dab
Hand,2718,-6194,-366,35,-104,-76,dab
Hand,-1734,-15196,-8115,82,-112,-96,dab
Hand,-1392,-11057,-14508,93,-127,-73,dab
Hand,-4455,-16008,-19995,125,-137,-96,dab
Hand,-8616,-15433,-25014,100,-173,-76,dab
Hand,-12567,-12844,-25014,121,-156,-57,dab
Hand,-10004,-7977,-25014,74,-141,-57,dab
Hand,-9982,-9680,-25014,78,-111,-35,dab
Hand,-9437,-7253,-25014,59,-88,-31,dab
Hand,-7154,-6905,-25014,57,-80,-6,dab
Hand,-3550,-4754,-21710,16,-52,-12,dab
Hand,1610,-2444,-20178,-29,-24,-13,dab
Hand,-2931,-5805,-15248,-55,-10,-31,dab
Hand,1796,-224,-7457,-63,-4,-52,dab
Hand,1297,1752,-2744,-60,4,-65,dab
Hand,-1145,5793,2458,-58,17,-64,dab
Hand,-1966,1666,8687,-44,15,-65,dab
Hand,-505,6266,13574,-2,-1,-53,dab
Hand,-1847,2608,15239,9,-14,-70,dab
Hand,-1696,19969,16036,53,-4,-26,dab
Hand,-4070,-4020,15495,54,-25,-30,dab
Hand,-860,17391,19146,66,-23,-33,dab
Hand,-5081,4479,22464,78,-52,-11,dab
Hand,-3158,5259,22385,43,-36,-90,dab
Hand,942,3253,25013,118,-109,-10,dab
Hand,2204,3188,25013,116,-114,-60,dab
Hand,3418,-712,23213,94,-114,-100,dab
Hand,7860,1146,19782,106,-123,-84,dab
Hand,6166,3605,17421,110,-113,-80,dab
Hand,3869,-1037,10976,85,-93,-84,dab
Hand,2502,3218,6631,67,-89,-72,dab
Hand,-822,4944,4255,43,-83,-83,dab
Hand,-3244,10044,3716,20,-90,-84,dab
Hand,-6010,10076,4294,-5,-89,-114,dab
Hand,-9256,10440,4103,-20,-91,-130,dab
Hand,-15333,8308,7664,-44,-92,-182,dab
Hand,-20573,8695,9824,-20,-124,-157,dab
Hand,-25014,1769,10596,-18,-143,-174,dab
Hand,-25014,8099,11109,-1,-145,-145,dab
Hand,-25014,6314,12133,-12,-137,-122,dab
Hand,-25014,8480,11950,-29,-115,-109,dab
Hand,-24511,7666,14463,-15,-97,-57,dab
Hand,-22479,8631,14448,-2,-62,-39,dab
Hand,-13849,-3943,11337,34,-50,34,dab
Hand,-9547,1602,7621,81,-30,69,dab
Hand,-2743,2379,2924,89,-27,121,dab
Hand,8140,-1913,-3160,87,-17,74,dab
Hand,11337,-1344,-7495,65,-19,5,dab
Hand,13965,-4147,-11396,49,-22,-23,dab
Hand,15647,-669,-12289,31,-52,-29,dab
Hand,20481,1237,-10507,8,-65,-78,dab
Hand,23079,5265,-11058,-3,-78,-88,dab
Hand,23648,-2579,-7216,-7,-82,-103,dab
Hand,25013,-8331,-5803,14,-94,-143,dab
Hand,21939,-6458,-3034,4,-100,-185,dab
Hand,21123,-8801,-3744,-5,-98,-151,dab
Hand,15951,-13846,-4156,-21,-86,-149,dab
Hand,16446,-9270,-2663,-20,-90,-123,dab
Hand,9714,-12668,253,-18,-79,-122,dab
Hand,6550,-10034,-195,-3,-85,-123,dab
Hand,2710,-2269,-1495,14,-88,-106,dab
Hand,1847,-1510,-3537,27,-90,-101,dab
Hand,-663,-656,-8406,61,-104,-103,dab
Hand,-5593,-6813,-13983,73,-110,-98,dab
Hand,-7428,-10809,-19276,109,-135,-72,dab
Hand,-6404,-7202,-24129,102,-148,-83,dab
Hand,-7598,-10133,-25014,115,-155,-46,dab
Hand,-8224,-9559,-25014,87,-134,-64,dab
Hand,-8866,-6489,-25014,74,-114,-43,dab
Hand,-6100,-2278,-25014,50,-87,-34,dab
Hand,-4535,-4345,-25014,32,-65,-40,dab
Hand,-2264,-2276,-22511,16,-45,-27,dab
Hand,244,-808,-19276,-33,-21,-39,dab
Hand,2930,6202,-11919,-49,-11,-30,dab
Hand,318,-5903,-6805,-74,6,-65,dab
Hand,-363,1272,1917,-50,19,-73,dab
Hand,-4581,3370,5785,-47,14,-66,dab
Hand,-3077,2421,11509,-16,6,-47,dab
Hand,-5366,1167,14075,-3,-8,-56,dab
Hand,-2727,8919,18067,33,-10,-23,dab
Hand,-3804,750,19491,43,-21,-32,dab
Hand,-1845,6750,22229,60,-13,-39,dab
Hand,-1802,-1268,25013,88,-83,-41,dab
Hand,-2449,23019,25013,66,-45,-42,dab
Hand,-287,-9134,25013,115,-128,-16,dab
Hand,2763,5315,25013,57,-125,-113,dab
Hand,7327,12625,25013,93,-129,-42,dab
Hand,5106,-376,21890,122,-145,-15,dab
Hand,8134,-6192,15181,70,-100,-149,dab
Hand,4421,7048,12010,81,-113,-83,dab
Hand,665,7047,7605,71,-97,-67,dab
Hand,533,5518,2493,45,-95,-77,dab
Hand,-4317,11519,2298,41,-99,-89,dab
Hand,-8273,13100,-1208,22,-95,-99,dab
Hand,-6641,10027,-2098,25,-97,-123,dab
Hand,-14486,8124,-3163,8,-81,-156,dab
Hand,-18942,5034,-1179,7,-100,-143,dab
Hand,-22489,7065,1540,4,-108,-135,dab
Hand,-23480,618,2342,10,-113,-130,dab
Hand,-24140,3263,4208,16,-109,-115,dab
Hand,-22027,1687,4483,3,-87,-110,dab
Hand,-23943,3524,7267,-13,-71,-94,dab
Hand,-21605,6380,11563,2,-43,-32,dab
Hand,-17515,1321,14497,17,-41,-33,dab
Hand,-14881,-4,12092,35,-40,12,dab
Hand,-2535,-4285,7492,73,-48,56,dab
Hand,4360,-1019,2114,106,-36,79,dab
Hand,9439,-4969,-4518,86,-26,22,dab
Hand,9413,-3616,-8717,68,-31,-7,dab
Hand,16652,-4187,-11868,28,-53,-36,dab
Hand,16692,-3702,-12867,17,-57,-30,dab
Hand,20342,-6747,-10356,-10,-63,-89,dab
Hand,21641,-7185,-8406,-16,-74,-102,dab
Hand,22360,-9902,-5301,-15,-71,-135,dab
Hand,18934,-11779,-4190,-29,-81,-144,dab
Hand,17925,-7221,-2698,-35,-101,-144,dab
Hand,16223,-9069,-3085,-21,-93,-105,dab
Hand,15797,-12611,-1879,-37,-102,-126,dab
Hand,13141,-7833,-160,-18,-84,-131,dab
Hand,7760,-10169,-2155,-16,-85,-146,dab
Hand,3509,-3547,-576,1,-86,-115,dab
Hand,2960,-5537,-3202,30,-97,-101,dab
Hand,-3361,-6723,-8195,43,-114,-87,dab
