Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,11711,2385,2179,124,90,-1,jamesbond
Hand,5498,5369,7203,108,65,22,jamesbond
Hand,6895,4002,3244,107,25,44,jamesbond
Hand,6305,2918,559,90,22,42,jamesbond
Hand,6546,2554,2002,76,40,32,jamesbond
Hand,6169,4211,3770,85,39,55,jamesbond
Hand,9450,3875,3399,97,38,72,jamesbond
Hand,14073,6873,2930,111,45,69,jamesbond
Hand,17285,3148,25,90,45,62,jamesbond
Hand,19032,7676,2718,87,49,56,jamesbond
Hand,17655,3526,3395,85,43,52,jamesbond
Hand,17017,5503,5395,101,52,40,jamesbond
Hand,9924,7053,4454,126,53,49,jamesbond
Hand,9553,1353,1885,94,72,25,jamesbond
Hand,4817,-3037,2803,88,50,9,jamesbond
Hand,602,-2560,505,77,20,-1,jamesbond
Hand,4417,-305,5293,82,4,-21,jamesbond
Hand,2952,1679,5812,58,-5,-1,jamesbond
Hand,-4144,1340,7184,99,-22,-7,jamesbond
Hand,2637,7911,4733,89,-19,20,jamesbond
Hand,490,2014,-622,93,-2,20,jamesbond
Hand,1080,-2033,2043,83,21,15,jamesbond
Hand,1505,-3423,-2324,113,11,30,jamesbond
Hand,282,-2824,-3968,109,8,15,jamesbond
Hand,3714,-5653,-6060,97,16,-1,jamesbond
Hand,-710,1266,-4694,101,14,3,jamesbond
Hand,1578,-1225,-5345,78,29,-11,jamesbond
Hand,-2927,2270,-2868,75,28,4,jamesbond
Hand,-4866,-2479,-5465,71,40,8,jamesbond
Hand,-5421,1317,-3284,77,40,17,jamesbond
Hand,-6263,-3355,-1744,70,36,30,jamesbond
Hand,-7219,-2205,211,85,54,26,jamesbond
Hand,-13643,-1206,2289,82,30,40,jamesbond
Hand,-11854,-4091,1559,91,45,76,jamesbond
Hand,-14484,-2254,549,109,42,51,jamesbond
Hand,-11731,-3479,3693,95,56,69,jamesbond
Hand,-11521,-3690,-1863,102,75,49,jamesbond
Hand,-9831,-3718,-1304,104,60,45,jamesbond
Hand,-3715,-182,-602,107,36,34,jamesbond
Hand,-4647,-2426,-2176,97,31,39,jamesbond
Hand,-2885,-981,-1228,92,28,30,jamesbond
Hand,-5329,-1876,-2131,98,26,27,jamesbond
Hand,-4636,-1511,-2076,97,33,24,jamesbond
Hand,-8062,-3191,-4901,113,32,16,jamesbond
Hand,-10754,-4155,-6802,125,38,4,jamesbond
Hand,-13840,-5375,-7169,121,38,8,jamesbond
Hand,-14335,-6563,-8018,118,33,5,jamesbond
Hand,-18749,-9908,-9240,106,41,3,jamesbond
Hand,-18679,-8040,-12606,108,35,18,jamesbond
Hand,-20136,-7869,-10157,116,38,23,jamesbond
Hand,-15421,-8586,-6950,92,45,33,jamesbond
Hand,-11128,-6144,-7667,89,48,35,jamesbond
Hand,-14982,-7757,-3691,67,46,31,jamesbond
Hand,-10171,-6824,942,43,35,38,jamesbond
Hand,-8315,-3336,4653,69,14,47,jamesbond
Hand,-6698,2320,12108,67,-14,47,jamesbond
Hand,5219,3917,9530,95,-55,75,jamesbond
Hand,-6912,-3460,-146,94,-12,50,jamesbond
Hand,-6463,-2984,-4134,69,12,54,jamesbond
Hand,2102,1485,1266,81,15,47,jamesbond
Hand,1967,771,-856,75,26,50,jamesbond
Hand,1760,2626,2426,88,19,55,jamesbond
Hand,2046,954,-1422,99,3,66,jamesbond
Hand,6823,-908,-2984,94,-38,69,jamesbond
Hand,8001,-791,-5893,96,-11,51,jamesbond
Hand,11383,2195,-7587,70,18,34,jamesbond
Hand,9911,5690,565,45,16,41,jamesbond
Hand,11989,4057,-1734,59,67,38,jamesbond
Hand,8256,1395,-340,64,55,31,jamesbond
Hand,9713,3808,1325,87,64,26,jamesbond
Hand,13792,10144,8890,105,46,18,jamesbond
Hand,11789,7892,10050,81,39,20,jamesbond
Hand,11868,7840,6676,115,30,27,jamesbond
Hand,11269,7204,6943,111,51,-2,jamesbond
Hand,10225,7508,2937,112,62,22,jamesbond
Hand,10926,5250,4961,112,96,-12,jamesbond
Hand,8889,8405,6673,101,36,50,jamesbond
Hand,9631,1562,408,98,39,42,jamesbond
Hand,10056,4708,4591,65,42,47,jamesbond
Hand,11924,5364,7307,72,35,62,jamesbond
Hand,13252,3585,5596,99,44,61,jamesbond
Hand,17552,5377,3145,114,49,61,jamesbond
Hand,18102,4746,540,122,64,55,jamesbond
Hand,15118,3340,-3368,102,68,34,jamesbond
Hand,13750,6537,-2503,103,76,32,jamesbond
Hand,10074,6410,2450,91,57,33,jamesbond
Hand,8915,1633,4515,66,48,19,jamesbond
Hand,2539,3418,3783,63,39,-1,jamesbond
Hand,1672,2166,4679,70,33,1,jamesbond
Hand,-1179,-2688,8998,84,-3,-2,jamesbond
Hand,-3549,-4956,8837,53,-25,2,jamesbond
Hand,-2789,2251,6166,137,-10,-7,jamesbond
Hand,509,4050,2413,102,6,21,jamesbond
Hand,-346,-953,176,78,15,16,jamesbond
Hand,1540,1082,696,107,18,24,jamesbond
Hand,1681,-160,-3276,113,4,31,jamesbond
Hand,3121,1747,-4749,115,-3,22,jamesbond
Hand,6079,-116,-7294,88,1,18,jamesbond
Hand,5513,3186,-3825,89,7,-4,jamesbond
Hand,2546,1929,-4981,69,20,7,jamesbond
Hand,-845,266,-5667,77,46,-16,jamesbond
Hand,-3241,-1393,-3744,72,42,16,jamesbond
