Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,5905,2441,-20521,45,25,-1,logout
Hand,302,2147,-16434,35,61,-2,logout
Hand,-4091,3385,-16721,1,53,-30,logout
Hand,621,7591,-15180,22,56,36,logout
Hand,508,4013,-14886,-12,76,-10,logout
Hand,1736,12647,-13122,-10,50,33,logout
Hand,3354,2640,-16560,-25,60,-1,logout
Hand,2260,6524,-15891,-18,43,2,logout
Hand,1696,2234,-17671,-36,46,-29,logout
Hand,-2077,5546,-18898,-50,23,-33,logout
Hand,-131,4974,-17532,-71,14,-47,logout
Hand,-1928,8247,-16520,-87,-6,-63,logout
Hand,-3016,8629,-15787,-110,-17,-58,logout
Hand,-1904,11486,-13059,-126,-20,-72,logout
Hand,-3097,9476,-10973,-165,-13,-72,logout
Hand,-4235,5895,-7031,-196,12,-86,logout
Hand,-927,4485,-1395,-200,6,-56,logout
Hand,1776,-498,5887,-184,-8,-44,logout
Hand,2424,-4981,9477,-148,1,-67,logout
Hand,603,-7253,11280,-121,-4,-55,logout
Hand,1390,-10040,11358,-110,4,-59,logout
Hand,933,-9099,12459,-103,5,-45,logout
Hand,302,-10808,12637,-97,21,-51,logout
Hand,379,-10518,13751,-88,19,-30,logout
Hand,133,-7855,16671,-77,37,-36,logout
Hand,-1557,-7655,16708,-64,48,-31,logout
Hand,-4448,-6579,17876,-50,48,-20,logout
Hand,-4244,-4896,19190,-31,50,-14,logout
Hand,-6474,-6237,18820,-21,54,-14,logout
Hand,-7556,-1460,20319,2,47,5,logout
Hand,-6656,-2692,18994,20,41,16,logout
Hand,-8461,-2273,19744,21,30,11,logout
Hand,-8556,-7407,18115,46,10,27,logout
Hand,-6281,-4527,20404,71,6,24,logout
Hand,-6993,-11115,15525,76,-7,24,logout
Hand,-3964,-3153,19824,122,-19,37,logout
Hand,-3133,-7180,11414,172,-21,58,logout
Hand,632,-6450,4280,154,-17,60,logout
Hand,221,-2814,4704,152,-10,45,logout
Hand,-11,3459,5123,164,-5,47,logout
Hand,1692,1648,-48,166,-5,42,logout
Hand,1234,715,-4179,156,-10,48,logout
Hand,3775,2777,-7364,149,-6,41,logout
Hand,5386,3169,-12029,144,-10,49,logout
Hand,6127,4282,-14932,121,-3,28,logout
Hand,6450,4081,-16741,98,6,26,logout
Hand,5748,4950,-16598,79,22,19,logout
Hand,5178,3327,-16763,58,35,13,logout
Hand,5512,5704,-16006,48,44,19,logout
Hand,4181,3011,-17585,33,52,17,logout
Hand,4890,5249,-17016,27,50,24,logout
Hand,4133,4292,-17390,7,69,6,logout
Hand,3836,4185,-16388,5,67,20,logout
Hand,3776,4375,-16185,-11,73,-7,logout
Hand,2165,563,-16604,-35,64,-7,logout
Hand,1901,3916,-15462,-40,45,7,logout
Hand,1222,-209,-16953,-62,34,3,logout
Hand,2165,-599,-18943,-76,16,-12,logout
Hand,592,3218,-17066,-84,8,-13,logout
Hand,294,7830,-11604,-95,9,-30,logout
Hand,-410,8253,-10750,-116,11,-47,logout
Hand,-1586,10993,-7079,-121,1,-34,logout
Hand,44,6494,-7879,-139,10,-60,logout
Hand,-2192,6279,-4498,-153,4,-48,logout
Hand,650,2689,-1982,-158,14,-58,logout
Hand,321,777,120,-164,12,-50,logout
Hand,116,-1560,4258,-175,19,-61,logout
Hand,322,-4192,8870,-143,11,-51,logout
Hand,646,-6889,9871,-120,13,-55,logout
Hand,460,-6690,10885,-108,2,-38,logout
Hand,866,-5680,13063,-103,19,-43,logout
Hand,42,-5535,13124,-90,23,-36,logout
Hand,62,-5877,13566,-83,35,-33,logout
Hand,-1066,-4373,14419,-72,40,-16,logout
Hand,-2404,-7847,14582,-66,56,-32,logout
Hand,-3334,-5500,16376,-53,51,-16,logout
Hand,-4049,-5312,17334,-37,61,-16,logout
Hand,-5860,-4669,18109,-23,61,-17,logout
Hand,-6141,-5306,17290,4,56,-4,logout
Hand,-7484,-5110,14501,48,63,-16,logout
Hand,-10663,-282,14089,48,53,12,logout
Hand,-10267,967,13853,40,47,36,logout
Hand,-8889,-2269,13004,33,30,59,logout
Hand,-5545,-8124,13800,40,13,58,logout
Hand,-2821,-10243,15142,56,4,45,logout
Hand,-1765,-10450,19744,72,-7,16,logout
Hand,-4405,-10715,17481,119,-34,41,logout
Hand,-793,-7271,13618,158,-15,35,logout
Hand,2699,-3405,6835,137,-9,32,logout
Hand,1524,-3332,7038,134,-21,37,logout
Hand,2865,9995,9276,165,-14,34,logout
Hand,867,-2056,1355,170,-25,54,logout
Hand,3525,9318,-1040,161,-16,37,logout
Hand,3676,-1661,-8381,159,-36,71,logout
Hand,5055,3865,-11556,142,-25,42,logout
Hand,7017,2311,-15397,127,-30,46,logout
Hand,6821,2559,-17879,109,-17,31,logout
Hand,7127,356,-20301,88,-4,26,logout
Hand,7144,-483,-22023,77,5,28,logout
Hand,7424,527,-21500,46,29,10,logout
Hand,5438,2491,-19985,43,38,21,logout
Hand,5669,1524,-18797,8,65,-12,logout
Hand,3215,3003,-18202,10,60,6,logout
Hand,2655,1463,-17005,-13,74,-7,logout
Hand,54,5440,-16841,-11,71,6,logout
Hand,1731,5241,-14550,-34,64,-3,logout
Hand,1073,4798,-15989,-39,56,-2,logout
Hand,1808,4319,-15409,-53,38,-12,logout
Hand,3196,5317,-16802,-59,28,-9,logout
Hand,4193,3111,-17649,-84,18,-28,logout
Hand,-323,5619,-15408,-98,8,-21,logout
Hand,527,8525,-9702,-136,7,-40,logout
Hand,-1085,6872,-6629,-153,13,-58,logout
Hand,-2324,3343,-3624,-162,8,-43,logout
Hand,18,535,640,-155,6,-35,logout
Hand,1287,-2378,3273,-145,18,-48,logout
Hand,724,-3005,5746,-137,26,-49,logout
Hand,-302,-4390,8168,-130,28,-46,logout
Hand,-834,-5327,10391,-116,26,-42,logout
Hand,-499,-5749,11047,-107,28,-30,logout
Hand,-571,-5782,12705,-96,34,-28,logout
Hand,-492,-6891,12463,-88,42,-27,logout
Hand,-956,-6653,13619,-76,49,-19,logout
Hand,-327,-6835,15321,-63,58,-21,logout
Hand,-2408,-6498,15756,-43,59,-13,logout
Hand,-2239,-5185,17515,-31,62,-6,logout
Hand,-3318,-2877,18731,-8,57,-5,logout
Hand,-5828,111,18943,1,59,5,logout
Hand,-5971,716,18475,13,54,23,logout
Hand,-5504,-551,21150,17,44,12,logout
Hand,-6339,-2557,19989,43,18,31,logout
Hand,-6073,-3482,19917,66,16,16,logout
Hand,-6189,2324,20864,85,0,34,logout
Hand,-6595,4256,21522,108,-17,56,logout
Hand,-6242,6363,16688,114,-15,56,logout
Hand,-6758,-1839,9260,109,-30,72,logout
Hand,-2857,-2292,6088,151,-45,99,logout
Hand,-306,-873,1963,142,-33,85,logout
Hand,2641,221,-1047,158,-35,95,logout
Hand,3171,-1598,-5398,136,-27,75,logout
Hand,5525,-1686,-9911,130,-27,73,logout
Hand,4912,-4002,-12711,112,-15,56,logout
Hand,5704,-1976,-15047,106,0,37,logout
Hand,4297,-3214,-17423,105,5,43,logout
Hand,4790,1895,-17012,94,14,29,logout
Hand,4951,-385,-19718,86,29,27,logout
Hand,4172,2447,-18459,59,41,14,logout
Hand,4124,2786,-18329,40,54,6,logout
Hand,1905,2784,-18473,23,59,14,logout
Hand,1689,3169,-18215,4,62,7,logout
Hand,1034,2169,-17182,-12,63,10,logout
Hand,1179,5431,-16185,-23,60,13,logout
Hand,542,4156,-14830,-32,56,10,logout
Hand,2271,6859,-13863,-41,48,19,logout
Hand,1973,726,-16907,-59,47,0,logout
Hand,3043,5058,-16078,-63,23,6,logout
Hand,2818,4240,-16810,-81,31,-23,logout
Hand,-95,7058,-13121,-87,13,-21,logout
Hand,253,8536,-14023,-118,19,-47,logout
Hand,-3183,6793,-10205,-137,8,-39,logout
Hand,-1927,8563,-5816,-164,7,-43,logout
Hand,-3592,1959,-3744,-181,9,-36,logout
Hand,294,779,714,-175,9,-40,logout
Hand,642,-40,5898,-153,9,-40,logout
Hand,-131,-4539,6695,-137,17,-41,logout
Hand,210,-7492,7542,-123,12,-33,logout
Hand,1173,-6585,9994,-120,17,-37,logout
Hand,-318,-5911,12074,-113,21,-27,logout
Hand,-937,-6253,13562,-100,35,-32,logout
Hand,-2452,-7868,13878,-90,34,-21,logout
Hand,-2027,-4791,16055,-72,41,-11,logout
Hand,-3906,-4108,16851,-58,43,-1,logout
Hand,-3392,-7347,15316,-50,52,-9,logout
Hand,-3921,-4579,17006,-31,47,14,logout
Hand,-5536,-6980,16503,-22,59,0,logout
Hand,-4731,-5294,18265,-9,49,15,logout
Hand,-5685,-3722,21354,14,34,28,logout
Hand,-5928,-2451,24082,29,19,26,logout
Hand,-8892,-5676,25013,37,3,4,logout
Hand,-7824,-3224,25013,85,-42,35,logout
Hand,-10988,-5199,20415,151,-44,53,logout
Hand,-1053,6903,13320,119,-23,59,logout
Hand,-5354,-15315,-900,106,7,24,logout
Hand,-2393,1114,10553,153,-34,75,logout
Hand,-1509,853,6669,172,-27,68,logout
Hand,2590,-4098,-5366,183,-33,81,logout
Hand,3457,-2856,-7769,159,-25,60,logout
Hand,2522,-2623,-12132,143,-14,40,logout
Hand,3931,-1076,-16320,135,-14,44,logout
Hand,4311,-1066,-18897,111,2,18,logout
Hand,4051,2492,-18553,97,6,22,logout
Hand,3227,3755,-17821,77,25,9,logout
Hand,973,3193,-18425,62,33,12,logout
Hand,148,6538,-18273,41,46,12,logout
Hand,167,4724,-16507,27,50,20,logout
Hand,1547,6493,-16504,11,59,22,logout
Hand,-295,4198,-15420,6,62,23,logout
Hand,98,3471,-17134,-19,68,15,logout
Hand,-1577,6188,-14874,-24,59,19,logout
Hand,-600,6451,-15618,-42,50,13,logout
Hand,-347,6519,-16086,-45,42,17,logout
Hand,782,6694,-17558,-71,21,13,logout
Hand,1105,6569,-16547,-80,13,-4,logout
Hand,-585,9175,-12932,-103,10,-10,logout
Hand,-3136,8398,-9552,-122,7,-11,logout
Hand,-928,10339,-5993,-153,11,-27,logout
Hand,-2655,5118,-3923,-182,13,-29,logout
Hand,-753,2776,823,-187,6,-11,logout
Hand,1737,-1478,5734,-166,15,-20,logout
Hand,1827,-4763,7258,-135,24,-32,logout
