Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-25014,13751,-7607,26,54,-13,mermaid
Hand,-25014,9234,-5988,10,42,9,mermaid
Hand,-17066,6626,-3372,12,60,22,mermaid
Hand,-10239,4304,-2454,2,60,45,mermaid
Hand,-1557,534,1410,6,57,56,mermaid
Hand,4046,-572,4935,13,65,49,mermaid
Hand,7705,-4544,6255,19,67,32,mermaid
Hand,11137,-5356,8438,43,67,25,mermaid
Hand,14985,-9311,5373,52,77,0,mermaid
Hand,16637,-8230,9548,53,56,-18,mermaid
Hand,20847,-11269,8608,64,57,-50,mermaid
Hand,21598,-7573,6060,67,44,-46,mermaid
Hand,18360,-9353,7779,65,31,-93,mermaid
Hand,20448,-10811,4821,54,18,-91,mermaid
Hand,23627,-12450,5531,29,-2,-106,mermaid
Hand,25013,-13470,6701,35,-26,-129,mermaid
Hand,25013,-13097,4096,39,-65,-117,mermaid
Hand,22391,-7867,5197,22,-66,-166,mermaid
Hand,25013,-11321,4137,18,-96,-151,mermaid
Hand,19520,767,4595,23,-99,-150,mermaid
Hand,13953,-1837,3978,12,-132,-125,mermaid
Hand,3182,9100,-1035,25,-110,-113,mermaid
Hand,-6653,-2571,-4677,-6,-143,-66,mermaid
Hand,-11292,-3779,-3053,8,-122,-50,mermaid
Hand,-14028,-1059,-3185,8,-118,-39,mermaid
Hand,-14051,-785,-3340,4,-96,-24,mermaid
Hand,-13446,-1154,-1467,-6,-88,-39,mermaid
Hand,-12869,134,-234,6,-74,-45,mermaid
Hand,-11539,4618,-2296,15,-69,-54,mermaid
Hand,-9849,5669,-5841,11,-47,-57,mermaid
Hand,-13578,4263,-3026,1,-33,-78,mermaid
Hand,-17647,-1209,-2211,20,-24,-65,mermaid
Hand,-18534,8548,-3387,28,6,-73,mermaid
Hand,-22044,7332,-5348,12,2,-85,mermaid
Hand,-25014,7405,-5405,25,23,-74,mermaid
Hand,-25014,11873,-4500,35,46,-32,mermaid
Hand,-22939,8747,-4546,19,36,-42,mermaid
Hand,-21311,11724,-6302,33,58,-15,mermaid
Hand,-19939,9144,-5709,29,69,-5,mermaid
Hand,-15581,6771,-6105,7,63,34,mermaid
Hand,-10317,4040,-479,19,67,43,mermaid
Hand,-4076,1192,3100,4,62,44,mermaid
Hand,879,-1789,4227,25,61,40,mermaid
Hand,7269,-4521,5360,26,64,23,mermaid
Hand,12534,-5997,7983,40,57,13,mermaid
Hand,13297,-5925,9716,65,71,-16,mermaid
Hand,14189,-9421,6315,59,60,-50,mermaid
Hand,15937,-6298,7104,64,60,-59,mermaid
Hand,13685,-7970,8595,71,35,-53,mermaid
Hand,13186,-7883,6420,71,38,-104,mermaid
Hand,10202,-6266,5482,76,34,-71,mermaid
Hand,14693,-6462,5795,76,27,-90,mermaid
Hand,15534,-6896,2892,79,24,-108,mermaid
Hand,21090,-7686,1134,66,31,-118,mermaid
Hand,20674,453,2270,84,17,-112,mermaid
Hand,17733,1790,-2828,84,25,-173,mermaid
Hand,25013,-11021,-2521,75,-37,-116,mermaid
Hand,12666,-13903,-422,50,-18,-200,mermaid
Hand,4321,-5327,9002,44,-83,-100,mermaid
Hand,-1242,-2243,4534,31,-68,-131,mermaid
Hand,2779,-6321,6707,32,-93,-67,mermaid
Hand,-3571,874,3053,14,-84,-78,mermaid
Hand,-4188,2342,3127,2,-90,-76,mermaid
Hand,-9963,2151,727,14,-77,-71,mermaid
Hand,-12531,2302,-1747,10,-64,-53,mermaid
Hand,-13806,1528,-2040,4,-50,-71,mermaid
Hand,-15047,291,-3620,18,-42,-55,mermaid
Hand,-18164,4864,-5328,6,-28,-87,mermaid
Hand,-17931,5956,-3348,11,-15,-60,mermaid
Hand,-25014,6182,-5652,16,12,-95,mermaid
Hand,-25014,16563,-3706,26,22,-24,mermaid
Hand,-25014,15298,-6174,11,31,-72,mermaid
Hand,-25014,12788,-6153,16,42,-32,mermaid
Hand,-22236,8729,-4810,5,55,-8,mermaid
Hand,-14736,7937,-2107,12,61,38,mermaid
Hand,-7892,2883,2015,9,65,27,mermaid
Hand,-2495,1563,2621,11,60,37,mermaid
Hand,2928,-2850,4658,13,55,36,mermaid
Hand,8858,-4211,8085,35,58,28,mermaid
Hand,16940,-11107,8686,45,52,-11,mermaid
Hand,16721,-7518,12351,58,47,-33,mermaid
Hand,14597,-10961,12110,81,56,-60,mermaid
Hand,15788,-8995,8184,71,34,-82,mermaid
Hand,17431,-12676,5407,74,48,-88,mermaid
Hand,16502,-9885,6937,71,15,-96,mermaid
Hand,16066,-10338,3644,71,9,-124,mermaid
Hand,25013,-13099,2215,59,-24,-91,mermaid
Hand,14824,-10053,-729,48,-19,-169,mermaid
Hand,25013,-9298,-4960,37,-51,-77,mermaid
Hand,25013,-8153,494,3,-68,-154,mermaid
Hand,22950,-12455,1799,36,-72,-126,mermaid
Hand,12492,-374,7302,23,-75,-157,mermaid
Hand,-1721,-10724,1980,10,-104,-128,mermaid
Hand,-6844,-358,2027,13,-108,-79,mermaid
Hand,-7237,94,2187,-7,-107,-84,mermaid
Hand,-12722,-3452,2280,5,-101,-79,mermaid
Hand,-12898,3185,-253,8,-101,-63,mermaid
Hand,-13154,5177,-1866,-1,-75,-68,mermaid
Hand,-14680,1120,-1902,-4,-67,-64,mermaid
Hand,-11447,63,-1176,-6,-61,-68,mermaid
Hand,-10379,9944,-611,3,-37,-85,mermaid
Hand,-16444,2062,-3347,0,-35,-75,mermaid
Hand,-18400,9534,-495,18,-7,-69,mermaid
Hand,-23614,3644,-5918,23,-11,-62,mermaid
Hand,-25014,14316,-3421,22,14,-66,mermaid
Hand,-25014,14266,-4732,19,33,-45,mermaid
Hand,-24254,11079,-3135,21,55,-34,mermaid
Hand,-21706,10813,-4144,17,53,-13,mermaid
Hand,-18847,9834,-2630,22,60,2,mermaid
Hand,-12435,5068,-2399,22,67,27,mermaid
Hand,-8993,4997,525,18,65,25,mermaid
Hand,54,-572,2251,12,67,41,mermaid
Hand,4045,-2447,6843,22,55,31,mermaid
Hand,10669,-5791,8607,34,53,19,mermaid
Hand,14323,-9762,8124,45,52,-12,mermaid
