Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-15397,-15373,-25014,108,36,9,pushback
Hand,-14853,-11869,-24769,59,54,-6,pushback
Hand,-11928,-10550,-18006,57,62,15,pushback
Hand,-12595,-15404,-14076,36,67,-9,pushback
Hand,-4495,-9482,-11995,10,81,-15,pushback
Hand,-1331,-10363,-8419,21,59,28,pushback
Hand,1589,-7305,-4624,4,99,-19,pushback
Hand,1669,-5208,-7010,5,82,0,pushback
Hand,6680,-7256,-3270,-22,65,-16,pushback
Hand,8673,-6337,-3227,-5,85,-46,pushback
Hand,3992,-4819,806,8,99,-54,pushback
Hand,-1330,-1357,-91,14,101,-29,pushback
Hand,-766,-566,-2892,-8,92,-12,pushback
Hand,678,206,317,-11,94,-13,pushback
Hand,1857,-565,195,-6,108,-19,pushback
Hand,573,965,178,-5,107,-15,pushback
Hand,757,-794,-71,-7,101,-18,pushback
Hand,1307,151,727,-3,101,-16,pushback
Hand,-2,967,1317,3,102,-21,pushback
Hand,-387,3717,1807,3,99,-23,pushback
Hand,-3355,6210,5870,1,93,-32,pushback
Hand,-4059,10911,9357,0,93,-32,pushback
Hand,212,12172,15179,22,75,-4,pushback
Hand,6088,17756,18625,42,74,2,pushback
Hand,15608,22107,22771,62,61,-23,pushback
Hand,17353,20784,21252,72,34,12,pushback
Hand,19291,25013,25013,89,39,-13,pushback
Hand,17283,25013,21615,94,25,13,pushback
Hand,10924,25013,19907,69,1,16,pushback
Hand,6513,25013,12438,57,12,61,pushback
Hand,-1005,19877,12227,31,13,61,pushback
Hand,-4355,15418,7742,26,-11,121,pushback
Hand,-6995,6711,5950,24,-2,121,pushback
Hand,-8329,9331,4402,40,-9,151,pushback
Hand,-5098,4435,4398,23,2,118,pushback
Hand,-4188,4935,3980,34,3,133,pushback
Hand,-1729,1946,3909,12,-2,106,pushback
Hand,-3924,1772,4292,17,-7,118,pushback
Hand,-2047,1463,3002,16,-13,109,pushback
Hand,605,-1196,380,22,-9,110,pushback
Hand,-85,1502,-560,11,-15,107,pushback
Hand,-492,-660,-557,-7,-27,96,pushback
Hand,901,-827,-195,-1,-33,99,pushback
Hand,637,112,-347,-2,-33,91,pushback
Hand,341,158,-339,1,-33,93,pushback
Hand,-689,461,-842,1,-23,93,pushback
Hand,-375,-2395,-1566,12,-17,117,pushback
Hand,976,-5111,-2832,27,-4,125,pushback
Hand,-2584,-8815,-6973,35,-15,133,pushback
Hand,-766,-15569,-10221,41,-12,123,pushback
Hand,292,-22821,-13145,58,-4,106,pushback
Hand,-3231,-25014,-19573,96,-14,93,pushback
Hand,-4028,-25014,-25014,121,2,56,pushback
Hand,-10182,-25014,-25014,120,14,36,pushback
Hand,-11079,-15173,-25014,71,28,-2,pushback
Hand,-19090,-21863,-25014,92,27,30,pushback
Hand,-11569,-16922,-21013,28,57,-33,pushback
Hand,-8650,-11634,-12544,56,51,29,pushback
Hand,-9695,-17537,-14654,27,73,-22,pushback
Hand,-4010,-10931,-12616,18,75,-10,pushback
Hand,-1431,-14580,-13259,11,62,12,pushback
Hand,10568,-12134,-11108,-12,74,-11,pushback
Hand,8934,-12192,-4529,-18,68,-54,pushback
Hand,3683,-5762,4425,29,109,-57,pushback
Hand,-4100,1435,-1228,19,99,-23,pushback
Hand,1876,-1847,-6206,-20,82,-3,pushback
Hand,1677,532,1244,-22,106,-21,pushback
Hand,1230,-839,308,-5,118,-22,pushback
Hand,964,-928,60,-3,114,-25,pushback
Hand,-263,-605,666,-3,108,-25,pushback
Hand,14,-255,239,-2,100,-24,pushback
Hand,-514,-626,-264,-5,93,-16,pushback
Hand,-489,-454,-394,-6,97,-20,pushback
Hand,411,1143,1113,-4,96,-19,pushback
Hand,21,3604,2269,3,99,-20,pushback
Hand,-556,6701,4206,6,102,-33,pushback
Hand,718,11163,6472,5,64,-16,pushback
Hand,3628,15937,13879,1,86,-54,pushback
Hand,11869,19550,18568,40,47,1,pushback
Hand,6885,16434,15280,34,89,-72,pushback
Hand,18482,21742,18727,89,14,9,pushback
Hand,17369,25013,19884,80,24,-62,pushback
Hand,25013,25013,18811,99,9,8,pushback
Hand,23717,25013,9347,88,51,-3,pushback
Hand,13218,21663,15687,71,4,11,pushback
Hand,8301,25013,10762,102,28,87,pushback
Hand,-4876,21176,8672,45,35,62,pushback
Hand,-4348,12315,8374,66,1,118,pushback
Hand,-5991,14479,5076,76,21,126,pushback
Hand,-7847,11192,3554,56,8,119,pushback
Hand,-3692,6522,3991,42,-4,101,pushback
Hand,-4201,3632,4265,44,-4,102,pushback
Hand,-3202,5472,3103,23,-26,111,pushback
Hand,256,1389,958,20,-12,115,pushback
Hand,360,2895,458,9,-19,111,pushback
Hand,1053,-10,456,7,-9,97,pushback
Hand,1302,-23,1188,4,-20,94,pushback
Hand,754,-1377,1634,12,-20,90,pushback
Hand,460,-663,104,16,-28,101,pushback
Hand,1289,-15,-618,8,-28,97,pushback
Hand,5,-237,-708,4,-23,92,pushback
Hand,-388,-1196,-198,9,-21,98,pushback
Hand,-2366,-1961,-1187,15,-16,104,pushback
Hand,-1101,-2056,-2127,22,-21,108,pushback
Hand,-2527,-905,-3648,19,-10,103,pushback
Hand,-2955,-3226,-4099,25,-20,113,pushback
Hand,998,-7660,-2227,29,-14,95,pushback
Hand,-5211,-16001,-5547,53,3,86,pushback
Hand,-881,-17095,-9487,73,-38,124,pushback
Hand,-1016,-19754,-12999,74,3,70,pushback
Hand,-9634,-25014,-21964,111,-11,66,pushback
Hand,-15654,-25014,-25014,116,-3,24,pushback
Hand,-23173,-22479,-25014,125,-14,17,pushback
Hand,-14679,-12411,-25014,84,37,-7,pushback
Hand,-15065,-11156,-20534,77,38,12,pushback
Hand,-10627,-8927,-15983,44,69,-27,pushback
Hand,-10234,-8490,-12563,59,58,26,pushback
Hand,-6421,-12103,-12908,41,83,0,pushback
Hand,-4080,-9285,-9470,34,71,5,pushback
Hand,-73,-9909,-12063,24,78,5,pushback
Hand,2335,-10051,-10895,1,65,-8,pushback
Hand,7138,-9496,-4461,-9,78,-40,pushback
Hand,3618,-7907,-4768,-2,85,-57,pushback
Hand,1485,-2927,1320,18,101,-32,pushback
Hand,-989,-874,-865,9,99,-21,pushback
Hand,882,-1391,-3237,-10,93,-20,pushback
Hand,1417,-463,1428,-6,102,-22,pushback
Hand,-177,-144,1386,6,115,-25,pushback
Hand,191,-418,-889,1,107,-26,pushback
Hand,150,-624,417,0,100,-15,pushback
Hand,117,-815,708,4,105,-22,pushback
Hand,-79,163,695,5,95,-14,pushback
Hand,-77,474,-688,2,94,-15,pushback
Hand,154,687,-60,2,96,-18,pushback
Hand,-263,2563,1437,6,104,-22,pushback
Hand,-105,5995,3036,5,95,-23,pushback
Hand,2382,9905,7706,3,76,-37,pushback
Hand,5840,12360,8289,7,62,-22,pushback
Hand,20640,20627,16723,41,62,-27,pushback
Hand,11520,18468,17223,32,32,-55,pushback
Hand,20444,25013,21079,86,69,-55,pushback
Hand,17889,25013,19280,95,14,3,pushback
Hand,19979,25013,19961,90,11,-22,pushback
Hand,12253,24705,13731,89,25,13,pushback
Hand,8527,22600,15151,82,-1,29,pushback
Hand,2261,23595,9905,95,0,89,pushback
Hand,-1689,20946,8397,67,1,90,pushback
Hand,-4625,10416,5715,57,-9,104,pushback
Hand,-1933,11010,3040,67,-9,122,pushback
Hand,-1347,7673,1769,46,3,98,pushback
Hand,481,5998,4005,34,-3,103,pushback
Hand,989,1537,6155,21,8,94,pushback
Hand,-627,1288,6488,36,-4,118,pushback
Hand,-802,4621,4508,33,-8,103,pushback
Hand,1054,908,2424,22,-22,101,pushback
Hand,1494,-18,1710,24,-22,102,pushback
Hand,1141,-731,482,22,-24,96,pushback
Hand,672,747,-318,12,-26,93,pushback
Hand,22,43,-211,9,-28,95,pushback
Hand,-163,62,-307,12,-20,90,pushback
Hand,-602,419,-1118,14,-22,98,pushback
Hand,-368,-583,-1460,20,-16,102,pushback
Hand,-2922,-2931,-3388,36,3,112,pushback
Hand,-6437,-5664,-6634,50,-6,132,pushback
Hand,-8138,-13125,-10292,52,-5,120,pushback
Hand,-3085,-19209,-14102,67,-15,115,pushback
Hand,-4602,-22445,-17549,72,-11,83,pushback
Hand,-5849,-25014,-25014,104,-25,71,pushback
Hand,-2885,-23344,-25014,107,-3,43,pushback
Hand,-12614,-22025,-25014,115,13,17,pushback
Hand,-7724,-6787,-22237,62,25,-4,pushback
Hand,-13516,-13082,-17044,77,39,5,pushback
Hand,-10447,-9248,-16992,30,69,-32,pushback
Hand,-9397,-10598,-14728,48,62,25,pushback
Hand,-7605,-12930,-14166,25,72,0,pushback
Hand,-4941,-14043,-9593,29,84,5,pushback
