Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,25013,2623,-2602,-10,13,-37,scarecrow
Hand,25013,3433,-1773,-6,-8,-64,scarecrow
Hand,25013,-4463,518,-30,-29,-120,scarecrow
Hand,25013,592,-1544,-13,-50,-90,scarecrow
Hand,25013,-2040,3262,-36,-76,-98,scarecrow
Hand,25013,-3431,721,-11,-117,-54,scarecrow
Hand,25013,-5443,344,-23,-131,-104,scarecrow
Hand,25013,-4089,-1274,-10,-147,-56,scarecrow
Hand,18472,161,-2149,-23,-131,-78,scarecrow
Hand,14918,2536,-2005,3,-127,-30,scarecrow
Hand,9034,2227,-1668,-26,-115,-48,scarecrow
Hand,6199,844,-881,-14,-115,-26,scarecrow
Hand,891,2466,-734,-17,-125,-37,scarecrow
Hand,-2856,3569,-832,-19,-119,-38,scarecrow
Hand,-7169,3156,-643,-13,-121,-32,scarecrow
Hand,-8415,2568,386,-29,-122,-37,scarecrow
Hand,-14679,6631,-234,-7,-123,-51,scarecrow
Hand,-20467,9140,-1912,2,-149,-66,scarecrow
Hand,-25014,11469,-4748,-6,-158,-65,scarecrow
Hand,-25014,6027,-4655,-15,-146,-76,scarecrow
Hand,-25014,6814,-6508,1,-124,-67,scarecrow
Hand,-25014,-390,-4514,-4,-89,-88,scarecrow
Hand,-25014,-602,-4165,8,-61,-86,scarecrow
Hand,-25014,288,-5056,22,-40,-73,scarecrow
Hand,-25014,4397,-6015,7,-16,-57,scarecrow
Hand,-25014,-1193,-3055,5,27,-39,scarecrow
Hand,-25014,3814,-3599,1,34,0,scarecrow
Hand,-16507,-935,-955,-1,68,1,scarecrow
Hand,-12133,1726,834,13,65,30,scarecrow
Hand,-8811,456,427,-1,94,19,scarecrow
Hand,-2275,4,1799,15,87,54,scarecrow
Hand,1819,513,1036,13,93,44,scarecrow
Hand,7174,179,508,21,94,36,scarecrow
Hand,9299,1656,-101,26,81,32,scarecrow
Hand,14396,794,410,18,85,-8,scarecrow
Hand,15165,2345,-666,12,75,-18,scarecrow
Hand,17063,2182,-157,21,72,-24,scarecrow
Hand,18085,-1498,-698,7,67,-70,scarecrow
Hand,18734,3500,-386,18,46,-51,scarecrow
Hand,19699,-3526,-292,6,40,-81,scarecrow
Hand,22291,1266,489,3,7,-62,scarecrow
Hand,23303,-2372,1098,5,-8,-71,scarecrow
Hand,25013,-2534,1343,-7,-30,-94,scarecrow
Hand,25013,-2822,2104,-1,-57,-99,scarecrow
Hand,24489,-3661,2708,-14,-83,-89,scarecrow
Hand,25013,-2375,2467,-2,-116,-91,scarecrow
Hand,21253,-7358,1519,-10,-107,-96,scarecrow
Hand,21025,-2157,2609,-15,-137,-81,scarecrow
Hand,16806,-1857,1437,-3,-114,-64,scarecrow
Hand,13324,-2058,1017,3,-121,-55,scarecrow
Hand,9875,-1659,-1477,14,-115,-53,scarecrow
Hand,4166,-634,-846,-12,-110,-63,scarecrow
Hand,-74,645,-1000,-14,-103,-50,scarecrow
Hand,-3830,1238,337,-28,-114,-48,scarecrow
Hand,-6676,2444,1171,-21,-118,-39,scarecrow
Hand,-9582,3844,2305,-24,-124,-69,scarecrow
Hand,-13681,5153,540,-13,-131,-45,scarecrow
Hand,-17776,6718,699,12,-118,-73,scarecrow
Hand,-23160,12085,-2288,-5,-125,-86,scarecrow
Hand,-25014,8060,-3245,-6,-126,-85,scarecrow
Hand,-25014,9941,-4747,5,-109,-73,scarecrow
Hand,-25014,4709,-5690,10,-79,-76,scarecrow
Hand,-25014,2602,-6261,8,-40,-89,scarecrow
Hand,-25014,-272,-5405,18,-16,-89,scarecrow
Hand,-25014,4528,-4639,17,13,-81,scarecrow
Hand,-25014,1892,-5598,12,23,-64,scarecrow
Hand,-25014,512,-4713,19,52,-39,scarecrow
Hand,-19880,1654,-2481,9,68,-26,scarecrow
Hand,-17426,-1119,-4670,5,71,-3,scarecrow
