Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,10154,229,10522,-4,-81,-84,snake
Hand,73,-953,7305,-12,-15,-91,snake
Hand,-8721,-34,10585,-24,-78,-60,snake
Hand,-23466,-1151,6508,-22,-64,-67,snake
Hand,-25014,-584,3966,-34,-32,-65,snake
Hand,-25014,654,1445,-29,-35,-54,snake
Hand,-25014,7185,3337,-32,12,-42,snake
Hand,-25014,9688,2379,-31,27,-36,snake
Hand,-24444,13986,2966,-22,69,-49,snake
Hand,-22326,17393,2959,3,76,-14,snake
Hand,-22315,12552,94,4,65,-36,snake
Hand,-17528,16689,3809,15,90,16,snake
Hand,-15710,9715,5015,22,88,29,snake
Hand,-6102,7023,5734,23,106,-7,snake
Hand,1521,5677,5306,37,98,9,snake
Hand,8094,3654,4112,44,90,6,snake
Hand,13313,1497,3487,26,84,-32,snake
Hand,17081,-4244,-1384,28,108,-55,snake
Hand,21066,-4823,-1390,45,82,-41,snake
Hand,21860,-3410,669,15,78,-70,snake
Hand,23589,-2106,2440,23,78,-121,snake
Hand,18927,-5296,418,42,51,-120,snake
Hand,21144,-6187,4360,1,40,-163,snake
Hand,20637,-2016,4279,39,16,-134,snake
Hand,22314,-3594,5195,38,-17,-121,snake
Hand,25013,-8318,7817,-5,-12,-149,snake
Hand,23030,-3202,7840,16,-53,-99,snake
Hand,17430,2180,7274,5,-66,-100,snake
Hand,10066,657,8941,4,-53,-113,snake
Hand,1828,-2085,9744,-3,-69,-93,snake
Hand,-6378,-7885,9038,-5,-66,-88,snake
Hand,-12570,-6059,9382,-26,-71,-70,snake
Hand,-22761,-11972,8290,-25,-64,-76,snake
Hand,-25014,-5543,8111,-40,-60,-52,snake
Hand,-25014,-1429,-435,-52,-9,-35,snake
Hand,-25014,4930,4443,-74,-5,-27,snake
Hand,-22570,8036,5239,-52,40,-14,snake
Hand,-18376,11679,4710,-35,49,-32,snake
Hand,-25014,7749,3141,-31,52,-22,snake
Hand,-18938,10708,4136,0,63,13,snake
Hand,-1924,2508,3175,16,129,-65,snake
Hand,1273,11708,5294,20,83,-13,snake
Hand,3316,12885,5479,43,98,-21,snake
Hand,8227,6366,-568,8,123,-84,snake
Hand,6695,9096,-476,22,99,-92,snake
Hand,6832,4134,-299,-14,72,-88,snake
Hand,9981,208,537,-1,59,-85,snake
Hand,11729,1802,2606,29,65,-93,snake
Hand,12327,1057,2456,2,57,-107,snake
Hand,10257,434,-748,17,61,-123,snake
Hand,12963,3645,3227,41,37,-129,snake
Hand,15998,-7563,-1527,35,39,-123,snake
Hand,14769,473,1912,13,12,-136,snake
Hand,18136,-10896,-902,15,18,-144,snake
Hand,13040,-2553,3694,5,-22,-122,snake
Hand,9915,-6095,3240,2,-24,-114,snake
Hand,9539,-4472,5451,2,-41,-102,snake
Hand,8769,-1873,7412,-13,-7,-131,snake
Hand,4848,-3296,10035,29,-33,-109,snake
Hand,-1251,-711,8985,-7,-30,-89,snake
Hand,-1966,-3256,6051,-27,-37,-61,snake
Hand,-14909,-1595,6014,-24,-31,-92,snake
Hand,-24102,-907,-705,-33,-31,-67,snake
Hand,-25014,3642,2876,-37,0,-63,snake
Hand,-25014,5818,2431,-34,18,-59,snake
Hand,-25014,9700,2433,-23,38,-48,snake
Hand,-18213,10485,1921,2,81,-27,snake
Hand,-25014,8481,-2068,8,64,-18,snake
Hand,-12624,8438,-3590,7,68,16,snake
Hand,-14531,5815,1479,6,75,6,snake
Hand,-3320,4605,1649,2,99,-51,snake
Hand,6688,5282,3066,13,89,-11,snake
Hand,8945,5311,3416,26,77,1,snake
Hand,14462,2529,2551,7,85,-55,snake
Hand,19873,13082,9581,30,55,-44,snake
Hand,18712,5492,9128,34,82,-88,snake
Hand,15164,-1443,2979,39,79,-99,snake
Hand,8570,-6588,-1528,31,59,-93,snake
Hand,8332,-4822,1408,30,42,-93,snake
Hand,10097,-2102,4858,30,37,-105,snake
Hand,9908,-1470,4388,29,36,-125,snake
Hand,8932,-3392,4253,37,25,-113,snake
Hand,10593,-4079,4046,33,16,-134,snake
Hand,14831,-2966,2929,43,6,-138,snake
Hand,12937,-4349,3029,28,-19,-134,snake
Hand,14781,-3362,4507,18,-26,-145,snake
Hand,13017,-3347,3843,33,-47,-100,snake
Hand,11701,-4302,5016,15,-38,-103,snake
Hand,9295,-1480,8572,8,-34,-121,snake
Hand,6207,-3469,9265,12,-40,-110,snake
Hand,3144,-2449,8380,-6,-21,-76,snake
Hand,-7772,826,6742,-30,-46,-46,snake
Hand,-17337,-4191,3221,-5,-27,-77,snake
Hand,-25014,993,24,-11,-40,-78,snake
Hand,-25014,6760,996,-32,-14,-82,snake
Hand,-25014,12540,1378,-9,31,-52,snake
Hand,-25014,8202,-1556,1,34,-48,snake
Hand,-25014,6963,-1287,11,53,-15,snake
Hand,-18465,4414,-1279,14,90,-44,snake
Hand,-21953,12327,947,16,91,5,snake
Hand,-5276,6111,668,30,110,-14,snake
Hand,-255,7561,1056,36,96,-17,snake
Hand,5047,6338,-453,17,124,-49,snake
Hand,5624,3082,-3012,4,101,-39,snake
Hand,9687,5457,-398,19,77,-25,snake
Hand,14411,3096,112,7,70,-55,snake
Hand,14740,811,-136,12,83,-82,snake
Hand,13149,709,566,18,82,-94,snake
Hand,13124,685,2096,6,61,-86,snake
Hand,11587,-2653,2118,26,67,-100,snake
Hand,11396,520,3420,22,38,-91,snake
Hand,9563,-1399,2762,24,28,-89,snake
Hand,12568,-1247,4221,21,41,-131,snake
Hand,15269,-2250,2810,29,11,-115,snake
Hand,13540,1447,3715,24,19,-152,snake
Hand,17291,-4244,3530,23,-15,-125,snake
Hand,14716,666,3652,27,-27,-125,snake
Hand,13839,1942,6218,19,-42,-114,snake
Hand,10046,-2856,6304,23,-44,-94,snake
Hand,9048,-1569,7605,12,-53,-92,snake
Hand,7121,-3338,7390,16,-42,-98,snake
Hand,3592,-3975,7579,4,-45,-91,snake
Hand,-1070,-593,6931,-9,-39,-75,snake
Hand,-6600,-3504,5741,-12,-64,-72,snake
Hand,-15320,-5571,3178,-13,-32,-99,snake
Hand,-25014,-3485,895,-18,-46,-83,snake
Hand,-25014,3265,1104,-23,-39,-80,snake
Hand,-25014,6018,-367,-22,-5,-64,snake
Hand,-25014,8805,640,-16,20,-73,snake
Hand,-25014,12924,-670,-10,41,-39,snake
Hand,-25014,11217,-1221,2,72,-36,snake
Hand,-15439,-70,-3711,-2,63,-11,snake
Hand,-17524,10092,-1086,-2,62,-6,snake
Hand,-10592,10493,3879,14,98,2,snake
Hand,-4546,8475,2830,27,122,-8,snake
Hand,-819,6634,4215,32,100,15,snake
Hand,4058,5550,3950,11,107,-2,snake
Hand,7944,4588,2933,39,98,-9,snake
Hand,10149,2511,1085,17,98,-38,snake
Hand,9196,3290,1892,19,82,-45,snake
Hand,11983,669,2283,14,86,-59,snake
Hand,12166,-2802,-353,35,75,-52,snake
Hand,13180,-1089,714,29,80,-74,snake
Hand,13886,-8131,578,15,79,-95,snake
Hand,7185,-142,1602,44,74,-82,snake
Hand,6434,1776,3962,14,54,-98,snake
Hand,10895,2095,5589,21,52,-104,snake
Hand,15037,-5615,3006,27,48,-114,snake
Hand,18405,-3610,3537,36,21,-124,snake
Hand,18060,-8073,2147,22,22,-157,snake
Hand,17408,-5778,3905,32,-14,-136,snake
Hand,19270,-12521,2392,19,-11,-140,snake
Hand,21860,-11109,3323,10,-42,-89,snake
Hand,21428,-1678,6016,-15,-44,-93,snake
Hand,12678,-1311,6452,-5,-53,-90,snake
Hand,4457,4273,7373,-12,-53,-93,snake
Hand,-1931,1576,8445,-25,-48,-82,snake
Hand,-13785,685,7803,-25,-53,-70,snake
Hand,-21932,-2789,4047,-30,-68,-73,snake
Hand,-25014,2361,2256,-30,-28,-57,snake
Hand,-25014,7121,4760,-30,-43,-46,snake
Hand,-25014,11710,8624,-26,32,-53,snake
Hand,-25014,14747,1507,-10,48,-59,snake
Hand,-23002,11038,-1652,13,60,-48,snake
Hand,-25014,8487,-2605,12,77,29,snake
Hand,-20053,10679,-1530,14,103,-48,snake
Hand,-13059,12111,-981,32,90,4,snake
Hand,-11554,5069,1296,28,109,-5,snake
Hand,-1519,6676,3073,18,107,-2,snake
Hand,4746,3592,1766,31,89,7,snake
Hand,8963,4120,719,23,96,-25,snake
Hand,13182,4302,1679,21,81,-28,snake
Hand,13623,727,710,5,86,-58,snake
Hand,15035,-787,1208,22,80,-56,snake
Hand,12774,-4520,-391,26,97,-81,snake
Hand,14726,-1791,2555,18,65,-69,snake
Hand,13114,-2324,2082,24,72,-88,snake
Hand,12852,-4474,3056,19,43,-96,snake
Hand,15298,-3656,978,15,43,-114,snake
Hand,16323,-3521,1193,19,32,-127,snake
Hand,17683,-3151,1856,4,14,-151,snake
Hand,16785,-1721,1118,22,3,-140,snake
Hand,17646,-2819,2982,23,-17,-134,snake
Hand,16871,-2275,4111,7,-32,-116,snake
Hand,15948,-1807,5773,15,-45,-108,snake
Hand,9087,-5692,5131,15,-45,-102,snake
Hand,7153,2727,8097,-2,-60,-90,snake
Hand,1919,-2522,7562,8,-50,-85,snake
Hand,-4423,-869,7181,-7,-41,-76,snake
Hand,-13300,-3766,7299,-8,-61,-64,snake
Hand,-25014,-2747,3609,-18,-19,-81,snake
Hand,-25014,3631,5096,-32,-39,-49,snake
Hand,-25014,8192,4336,-22,13,-40,snake
Hand,-25014,9040,4118,-16,51,-48,snake
Hand,-25014,10083,3012,-5,61,-21,snake
Hand,-25014,18498,3466,1,91,-48,snake
Hand,-21350,10050,3733,52,81,72,snake
Hand,-7847,8001,5733,26,120,-63,snake
Hand,-923,8973,2446,50,118,-13,snake
Hand,4870,6148,2221,38,92,-2,snake
Hand,7516,5234,-911,30,100,-22,snake
Hand,12553,2718,-1761,27,82,-22,snake
Hand,15345,1133,-3198,25,98,-56,snake
Hand,13160,193,-3572,19,90,-62,snake
Hand,12173,-646,-1837,11,79,-71,snake
Hand,11000,-2249,-835,6,66,-71,snake
Hand,13370,-3620,1892,6,70,-83,snake
Hand,13271,-2898,810,33,63,-77,snake
Hand,14734,-4644,-715,12,55,-74,snake
Hand,7449,-1455,950,6,30,-100,snake
Hand,11922,1836,2903,27,32,-123,snake
Hand,12066,1793,2676,16,22,-141,snake
Hand,11549,685,2676,19,23,-152,snake
Hand,12587,834,3818,9,18,-151,snake
Hand,15040,581,5686,28,-24,-126,snake
Hand,13652,738,5625,28,-16,-127,snake
Hand,13183,-2031,5400,23,-37,-105,snake
Hand,12938,679,6966,31,-61,-81,snake
Hand,10093,-1942,7225,18,-45,-90,snake
Hand,6276,-1602,7648,22,-46,-92,snake
Hand,2285,-3962,5687,10,-32,-76,snake
Hand,-11891,-2071,5289,-13,-49,-69,snake
Hand,-22582,-5805,765,-3,-57,-64,snake
Hand,-25014,1328,1356,-16,-37,-65,snake
Hand,-25014,4440,489,-20,-18,-68,snake
Hand,-25014,5537,1281,-24,17,-68,snake
Hand,-21107,8465,-10,5,68,-50,snake
Hand,-25014,6795,321,0,77,-29,snake
Hand,-25014,8307,-1607,-4,69,18,snake
Hand,-24545,7026,-601,18,102,-6,snake
Hand,-9611,5281,313,23,95,-37,snake
Hand,-11198,9439,3042,37,102,23,snake
Hand,-5579,5146,503,26,120,12,snake
Hand,2732,4529,1593,27,99,15,snake
Hand,9198,2244,266,19,84,-2,snake
Hand,15304,4244,1238,4,83,-26,snake
Hand,18497,595,450,6,83,-42,snake
Hand,21750,-3471,-3137,22,91,-66,snake
Hand,18532,-1237,-709,14,75,-71,snake
Hand,19955,685,2068,4,71,-106,snake
Hand,18472,-3982,2116,20,46,-92,snake
Hand,15540,-1512,3047,9,50,-122,snake
Hand,16192,-3908,2438,15,44,-141,snake
Hand,14928,3673,3641,8,7,-128,snake
Hand,14052,-4602,767,12,14,-163,snake
Hand,14140,6820,3831,14,-30,-133,snake
Hand,13235,-6042,1522,18,-19,-141,snake
Hand,9905,-3850,3310,16,-39,-104,snake
Hand,8473,-1728,4580,2,-34,-109,snake
Hand,6989,-1889,5072,6,-40,-101,snake
Hand,5372,-2582,5640,21,-29,-80,snake
Hand,-716,-3521,6929,-1,-45,-101,snake
Hand,-10781,-2430,5852,-5,-52,-85,snake
Hand,-17397,-2539,4599,-13,-50,-66,snake
Hand,-25014,532,2103,-6,-6,-77,snake
Hand,-25014,1666,1652,-24,-30,-63,snake
Hand,-25014,6541,4847,-15,40,-37,snake
Hand,-25014,10628,261,-15,63,-43,snake
Hand,-23044,4700,889,-7,71,-27,snake
Hand,-25014,12092,2247,3,92,-3,snake
Hand,-18232,10230,4148,35,81,23,snake
Hand,-14192,4312,1326,23,115,-34,snake
Hand,-7254,10058,5341,35,109,-5,snake
Hand,-1723,1453,789,19,109,-3,snake
Hand,3957,3954,1911,29,102,12,snake
Hand,11753,3545,1447,18,87,-11,snake
Hand,17748,2176,1185,17,81,-36,snake
