Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-6960,-16377,-2901,16,84,-21,window360
Hand,-7795,-16101,-3822,22,63,1,window360
Hand,-6206,-15657,-2524,11,71,-10,window360
Hand,-4902,-15416,-3249,15,78,-5,window360
Hand,-1336,-16957,-3534,13,76,2,window360
Hand,-1980,-15199,-276,24,70,9,window360
Hand,2378,-17480,-1295,33,76,-5,window360
Hand,1726,-18073,-1448,29,63,-10,window360
Hand,7218,-16211,-428,26,58,-1,window360
Hand,10563,-14511,4966,35,61,-6,window360
Hand,13390,-14989,5866,28,74,-21,window360
Hand,15011,-10473,12277,55,72,-32,window360
Hand,11927,-7953,11170,63,92,-44,window360
Hand,14185,-6516,5759,73,112,-34,window360
Hand,14483,460,2916,70,124,-83,window360
Hand,5451,2163,-2654,57,136,-68,window360
Hand,7421,-1606,-3826,48,130,-106,window360
Hand,-2433,4617,-5471,27,132,-113,window360
Hand,-5550,56,-5323,16,112,-103,window360
Hand,-13184,-1771,-3537,-2,117,-109,window360
Hand,-12520,-2918,1895,19,95,-81,window360
Hand,-13553,-7180,-1535,11,97,-90,window360
Hand,-12956,-9926,-811,29,86,-58,window360
Hand,-12179,-12192,-3209,18,83,-62,window360
Hand,-6431,-17720,-2129,32,71,-42,window360
Hand,-6295,-16450,-4824,21,90,-56,window360
Hand,-10178,-19670,-4052,23,79,-30,window360
Hand,-8438,-17343,-4357,9,92,-40,window360
Hand,-2992,-20317,-5660,8,68,-9,window360
Hand,-5697,-17497,-4430,7,75,-10,window360
Hand,-2579,-20737,-5039,14,90,-16,window360
Hand,-1542,-20655,-5176,4,93,-16,window360
Hand,1637,-20540,-4503,3,83,-8,window360
Hand,1390,-18356,-868,22,84,3,window360
Hand,-479,-20592,-2499,13,82,-1,window360
Hand,1705,-18563,1527,19,78,5,window360
Hand,1676,-18237,897,26,84,-5,window360
Hand,2785,-15676,3306,39,67,13,window360
Hand,8553,-18155,660,44,65,0,window360
Hand,9183,-13730,3437,57,66,-4,window360
Hand,15954,-14230,5597,63,86,-26,window360
Hand,10965,-7563,6384,61,90,-29,window360
Hand,12153,-8631,7169,92,114,-50,window360
Hand,8718,-6263,1661,51,111,-58,window360
Hand,3856,-1404,7574,74,104,-39,window360
Hand,4541,-5082,2094,57,122,-73,window360
Hand,-3361,-637,3069,62,123,-77,window360
Hand,-4134,-4731,-753,31,145,-104,window360
Hand,-6005,30,1251,13,109,-75,window360
Hand,-10605,-10321,-3188,-23,111,-105,window360
Hand,-9553,-9863,2682,8,82,-67,window360
Hand,-11991,-13463,-1356,0,88,-101,window360
Hand,-10290,-15153,-1244,30,80,-56,window360
Hand,-11559,-15575,-4698,5,74,-61,window360
Hand,-12350,-15654,-2982,12,66,-30,window360
Hand,-8300,-17182,-3913,8,77,-39,window360
Hand,-6116,-17273,-3615,18,84,-26,window360
Hand,-5140,-17537,-3936,23,84,-21,window360
Hand,-4564,-17912,-4198,11,82,-11,window360
Hand,-3285,-17196,-1785,15,83,-2,window360
Hand,-658,-17728,-861,18,80,1,window360
Hand,-529,-16821,340,25,83,-2,window360
Hand,118,-18239,-1430,23,81,-5,window360
Hand,2455,-16499,1783,37,70,1,window360
Hand,3072,-16708,-47,38,81,-20,window360
Hand,6535,-15469,2082,53,77,-9,window360
Hand,7605,-13351,409,47,84,-3,window360
Hand,15831,-14578,5175,46,63,4,window360
Hand,12824,-9882,9076,41,88,-35,window360
Hand,10605,-7221,8964,58,94,-16,window360
Hand,12702,-2499,7204,74,118,-48,window360
Hand,7511,55,2973,59,132,-57,window360
Hand,2579,1007,1766,38,139,-88,window360
Hand,-171,3002,755,37,144,-90,window360
Hand,-2787,-1447,-2113,3,147,-108,window360
Hand,-10029,1317,1813,11,103,-67,window360
Hand,-12624,-5944,-796,19,114,-90,window360
Hand,-13154,-2411,-603,31,104,-80,window360
Hand,-14929,-9736,-7769,31,95,-65,window360
Hand,-9637,-12726,-3141,19,74,-56,window360
Hand,-13734,-13676,-5224,23,76,-45,window360
Hand,-12265,-14607,-4299,22,80,-35,window360
Hand,-6203,-15537,-4772,31,75,-20,window360
Hand,-7328,-17695,-5667,28,75,-22,window360
Hand,-4558,-19200,-6069,36,74,-6,window360
Hand,-4268,-18688,-6915,23,79,-10,window360
Hand,-1702,-20396,-5126,11,80,-11,window360
Hand,1127,-20021,-2654,6,80,-21,window360
Hand,2247,-17760,-2234,9,91,-13,window360
Hand,1827,-17399,-511,18,83,0,window360
Hand,5227,-18529,206,16,84,-6,window360
Hand,3380,-14518,3342,20,78,-12,window360
Hand,5916,-17245,2849,21,68,-3,window360
Hand,10014,-12747,5227,34,75,-10,window360
Hand,6749,-14932,6017,38,69,-10,window360
Hand,15995,-8956,9254,62,89,-20,window360
Hand,10956,-8130,6424,65,102,-45,window360
Hand,11272,-5798,7022,63,114,-64,window360
Hand,4733,-320,5039,63,111,-44,window360
Hand,4379,-5643,1983,52,122,-64,window360
Hand,-397,1320,5630,55,124,-69,window360
Hand,-4191,-2298,-224,39,130,-90,window360
Hand,-7297,-2034,2812,32,121,-84,window360
Hand,-9937,-7772,303,11,101,-90,window360
Hand,-10812,-9092,1563,23,92,-85,window360
Hand,-14537,-11698,-23,22,94,-94,window360
Hand,-14643,-13367,-1958,31,77,-73,window360
Hand,-9249,-18345,-2453,34,66,-67,window360
Hand,-13995,-17634,-2969,19,82,-73,window360
Hand,-9486,-17521,-3752,21,69,-37,window360
Hand,-7473,-18550,-4212,27,78,-27,window360
Hand,-5883,-18973,-5575,22,80,-18,window360
Hand,-5718,-17126,-4654,15,81,-15,window360
Hand,-4473,-18389,-4354,17,73,-5,window360
Hand,-2739,-17650,-4572,4,88,-5,window360
Hand,-799,-18562,-2608,6,79,0,window360
Hand,459,-17047,191,7,83,-3,window360
Hand,904,-18563,1550,18,62,3,window360
Hand,2061,-15101,1120,31,73,-2,window360
Hand,4790,-15290,2105,36,60,10,window360
Hand,9187,-12634,3221,47,64,2,window360
Hand,11473,-14239,4330,41,63,-14,window360
Hand,14831,-8811,9635,63,84,-28,window360
Hand,12063,-10796,7453,65,94,-37,window360
Hand,9677,-3408,7285,85,111,-46,window360
Hand,9055,-2745,3029,87,124,-56,window360
Hand,5837,-675,2376,66,110,-61,window360
Hand,772,2950,761,64,135,-88,window360
Hand,-1241,687,-4002,27,168,-118,window360
Hand,-11182,3681,2269,20,129,-80,window360
Hand,-5635,-5209,-2661,1,98,-86,window360
Hand,-9634,-6553,-3678,0,109,-90,window360
Hand,-15588,-6705,-4192,1,95,-92,window360
Hand,-6867,-12749,-4680,6,76,-55,window360
Hand,-10274,-13599,-6063,9,75,-59,window360
Hand,-6445,-17805,-4991,9,62,-42,window360
Hand,-8206,-14027,-3802,18,69,-38,window360
Hand,-8443,-16391,-3835,12,71,-28,window360
Hand,-5165,-17113,-3314,26,62,-8,window360
Hand,-8067,-17322,-5073,19,84,-25,window360
Hand,-3436,-18648,-4702,20,70,0,window360
Hand,647,-18167,-1509,14,81,-12,window360
Hand,544,-18381,-1301,26,71,-1,window360
Hand,3917,-18515,877,38,82,-4,window360
Hand,4708,-18453,124,37,93,-23,window360
Hand,4374,-16493,-340,48,88,-5,window360
Hand,3654,-17468,3532,41,71,-2,window360
Hand,12743,-19057,4227,62,80,-30,window360
Hand,6801,-11369,6660,69,70,-10,window360
Hand,12095,-11428,5968,74,105,-31,window360
Hand,12901,-6876,8424,69,120,-25,window360
Hand,3821,-5555,8294,53,134,-35,window360
Hand,6107,-2463,4423,34,149,-31,window360
Hand,1317,-3423,4234,41,136,-71,window360
Hand,-3189,855,-4448,8,167,-110,window360
Hand,-11740,-2279,-3786,-7,118,-63,window360
Hand,230,-3103,1923,3,96,-45,window360
Hand,-11431,-8070,-5910,8,106,-92,window360
Hand,-8331,-9708,-3024,22,89,-70,window360
Hand,-6981,-12479,-6293,16,63,-42,window360
Hand,-9345,-18415,-4137,5,67,-39,window360
Hand,-8740,-14485,-595,18,65,-28,window360
Hand,-4849,-20476,-2692,18,71,-24,window360
Hand,-6989,-15781,-2169,24,83,-19,window360
Hand,-4340,-19904,-3987,15,85,-23,window360
Hand,-2556,-17945,-2758,23,80,-3,window360
Hand,-99,-20621,-3521,17,91,-13,window360
Hand,983,-20443,-2627,10,92,-14,window360
Hand,878,-20598,-1592,2,94,-25,window360
Hand,366,-21046,-275,11,79,-4,window360
Hand,1307,-20669,808,3,88,-24,window360
Hand,2960,-19359,1736,24,81,-3,window360
Hand,3538,-18686,2260,35,80,-10,window360
Hand,3349,-18073,1214,45,63,2,window360
Hand,9973,-15095,2931,39,73,-16,window360
Hand,8960,-10157,7776,52,63,-7,window360
Hand,16123,-11473,7926,69,83,-28,window360
Hand,12323,-3373,5727,73,108,-42,window360
Hand,12013,-4451,2801,80,110,-25,window360
Hand,8709,6802,4698,86,142,-60,window360
Hand,-566,1092,-3753,58,131,-48,window360
Hand,4113,3044,-5299,29,159,-99,window360
Hand,-8555,4451,96,39,132,-81,window360
Hand,-12326,-269,-4859,13,126,-98,window360
Hand,-11088,-1888,-5000,5,90,-75,window360
Hand,-11486,-9536,-4712,3,86,-71,window360
Hand,-8434,-10059,-2795,15,87,-61,window360
Hand,-10277,-13937,-5359,17,91,-64,window360
Hand,-9476,-17454,-3308,5,75,-63,window360
