Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Chest,-1489,-2334,-160,7,92,26,mermaid
Chest,-1456,-2290,-151,6,91,25,mermaid
Chest,-1389,-2346,-76,6,92,27,mermaid
Chest,-1285,-2498,-98,7,93,28,mermaid
Chest,-1140,-2385,-159,5,93,26,mermaid
Chest,-1489,-2443,-144,7,95,25,mermaid
Chest,-1730,-2337,56,8,93,24,mermaid
Chest,-1518,-2381,173,3,93,24,mermaid
Chest,-1825,-2543,299,4,94,25,mermaid
Chest,-2267,-2545,248,7,93,25,mermaid
Chest,-2552,-2696,289,8,93,29,mermaid
Chest,-2242,-2487,352,8,91,28,mermaid
Chest,-2308,-2441,374,7,92,32,mermaid
Chest,-2148,-2653,79,7,89,32,mermaid
Chest,-2115,-2684,72,11,90,33,mermaid
Chest,-2109,-2525,40,11,93,35,mermaid
Chest,-1940,-2393,-73,11,93,31,mermaid
Chest,-2187,-2174,-158,12,89,31,mermaid
Chest,-1485,-1930,-400,8,90,37,mermaid
Chest,-1833,-2278,95,5,91,32,mermaid
Chest,-3052,-2757,424,8,90,34,mermaid
Chest,-2749,-2849,75,13,81,29,mermaid
Chest,-1856,-2518,38,16,91,37,mermaid
Chest,-1889,-2463,311,14,84,34,mermaid
Chest,-2305,-2114,2,12,85,26,mermaid
Chest,-1671,-2581,382,10,89,31,mermaid
Chest,-2125,-2549,77,15,88,36,mermaid
Chest,-1744,-2344,-955,16,85,33,mermaid
Chest,-1402,-1605,-938,16,91,39,mermaid
Chest,-1632,-1600,44,11,90,43,mermaid
Chest,-1608,-2178,-407,15,89,35,mermaid
Chest,-1094,-1545,-670,3,85,34,mermaid
Chest,-352,-2196,-582,6,91,39,mermaid
Chest,-1196,-2091,-253,9,86,37,mermaid
Chest,-917,-1694,-303,5,92,34,mermaid
Chest,-555,-2231,-402,1,88,33,mermaid
Chest,-1534,-2715,-251,7,92,34,mermaid
Chest,-947,-2324,497,9,86,34,mermaid
Chest,-537,-2386,40,-1,92,31,mermaid
Chest,-2544,-3067,-387,8,92,36,mermaid
Chest,-1844,-2615,20,12,90,32,mermaid
Chest,-1661,-2508,90,8,90,29,mermaid
Chest,-1665,-2108,-303,11,91,31,mermaid
Chest,-1329,-1960,-8,8,88,35,mermaid
Chest,-1916,-2204,-112,6,90,33,mermaid
Chest,-2013,-2230,38,7,89,34,mermaid
Chest,-1501,-2238,7,8,89,36,mermaid
Chest,-1460,-2296,17,6,90,41,mermaid
Chest,-1982,-2395,15,7,88,32,mermaid
Chest,-1733,-2478,-31,9,92,38,mermaid
Chest,-960,-2411,-80,9,90,37,mermaid
Chest,-1931,-2392,-66,7,90,42,mermaid
Chest,-1844,-2519,165,6,81,34,mermaid
Chest,-2225,-2527,423,8,88,34,mermaid
Chest,-1332,-2508,201,10,90,36,mermaid
Chest,-2044,-2279,92,9,91,38,mermaid
Chest,-1791,-2444,221,9,82,37,mermaid
Chest,-1469,-2532,211,15,89,34,mermaid
Chest,-869,-2267,-491,13,89,36,mermaid
Chest,-1148,-2079,-560,10,89,39,mermaid
Chest,-2400,-2487,-559,8,90,35,mermaid
Chest,-1677,-2527,-631,8,87,38,mermaid
Chest,-1168,-2450,-580,8,88,35,mermaid
Chest,-954,-2425,-378,12,86,41,mermaid
Chest,-640,-2079,-691,13,89,45,mermaid
Chest,-1506,-1919,-49,3,84,33,mermaid
Chest,-1244,-2387,-335,5,90,38,mermaid
Chest,-405,-2321,-345,14,88,38,mermaid
Chest,-543,-1522,-50,12,90,32,mermaid
Chest,-785,-1688,618,-4,88,29,mermaid
Chest,198,-2916,31,-4,92,37,mermaid
Chest,-2323,-2673,-586,11,96,39,mermaid
Chest,-1453,-2577,73,9,91,30,mermaid
Chest,-1474,-2552,412,9,91,32,mermaid
Chest,-1882,-2415,199,12,91,34,mermaid
Chest,-1782,-2189,382,7,92,32,mermaid
Chest,-1350,-2399,185,8,86,32,mermaid
Chest,-1227,-2221,42,8,90,33,mermaid
Chest,-1474,-2495,53,7,93,35,mermaid
Chest,-1576,-2605,-57,11,90,36,mermaid
Chest,-1277,-2396,43,11,89,33,mermaid
Chest,-823,-2340,111,10,90,33,mermaid
Chest,-401,-2244,441,10,93,35,mermaid
Chest,-1781,-2178,-389,9,96,36,mermaid
Chest,-2609,-1972,-947,5,86,31,mermaid
Chest,-2354,-2810,-344,9,81,27,mermaid
Chest,-2171,-2421,111,13,89,35,mermaid
Chest,-2883,-2333,140,10,90,36,mermaid
Chest,-2657,-2721,221,9,86,31,mermaid
Chest,-1798,-2327,-169,13,88,36,mermaid
Chest,-1534,-2152,-355,9,89,37,mermaid
Chest,-2038,-2457,-447,10,86,37,mermaid
Chest,-2241,-2185,-687,11,91,38,mermaid
Chest,-1596,-2231,-406,12,88,42,mermaid
Chest,-744,-1969,-153,6,84,34,mermaid
Chest,-1658,-2251,-293,6,91,38,mermaid
Chest,-397,-2280,152,8,87,42,mermaid
Chest,-1012,-2027,-27,6,87,33,mermaid
Chest,-802,-2417,-340,6,87,40,mermaid
Chest,-447,-2521,-140,13,90,40,mermaid
Chest,-285,-2198,-247,5,89,34,mermaid
Chest,-1234,-2476,-150,3,89,31,mermaid
Chest,-189,-2560,-473,9,91,32,mermaid
Chest,-1657,-2709,-373,7,92,34,mermaid
Chest,-983,-2511,106,9,93,29,mermaid
Chest,-1436,-2344,88,8,89,31,mermaid
Chest,-1323,-2619,-426,8,92,29,mermaid
Chest,-824,-2211,-143,8,92,33,mermaid
Chest,-1676,-2405,56,9,90,30,mermaid
Chest,-1824,-2252,114,7,94,33,mermaid
Chest,-1895,-2621,-110,6,93,32,mermaid
Chest,-1708,-2560,-166,7,91,35,mermaid
Chest,-2048,-2541,-403,9,90,37,mermaid
Chest,-1872,-2583,-279,9,87,38,mermaid
Chest,-2017,-2481,-41,8,89,37,mermaid
Chest,-2082,-2351,105,9,86,37,mermaid
Chest,-2001,-2305,62,10,85,35,mermaid
Chest,-2228,-2463,416,12,86,37,mermaid
Chest,-1958,-2171,217,11,88,37,mermaid
Chest,-2432,-2221,98,13,85,35,mermaid
Chest,-1880,-2391,75,10,86,36,mermaid
Chest,-1682,-2127,-239,14,87,37,mermaid
Chest,-1524,-2048,-804,7,92,41,mermaid
Chest,-1482,-2353,-372,8,86,36,mermaid
Chest,-1112,-2169,-183,10,87,37,mermaid
Chest,-546,-2227,-360,11,90,44,mermaid
Chest,-550,-1939,22,9,86,35,mermaid
Chest,-553,-1968,-200,3,88,37,mermaid
Chest,-460,-2377,-334,5,92,38,mermaid
Chest,-1059,-2367,-271,9,86,35,mermaid
Chest,-502,-2196,-334,5,90,34,mermaid
Chest,-1022,-2519,-90,7,90,35,mermaid
Chest,-965,-2366,-247,6,90,32,mermaid
Chest,-1031,-2270,-136,7,92,34,mermaid
Chest,-1523,-2277,-154,7,92,27,mermaid
Chest,-1780,-2485,-6,5,92,28,mermaid
Chest,-1408,-2449,-93,8,92,31,mermaid
