Beetle,Gyro-X,Gyro-Y,Gyro-Z,Acc-X,Acc-Y,Acc-Z,Dance Move
Hand,-17647,5919,-5646,-3,-36,-47,mermaid
Hand,-24636,16245,-2889,11,4,-24,mermaid
Hand,-22564,8415,-5765,13,13,-51,mermaid
Hand,-17295,-2651,-5573,8,-25,0,mermaid
Hand,-24636,-3141,-4556,15,30,-96,mermaid
Hand,13891,-1354,-3131,31,40,-62,mermaid
Hand,-10067,-7700,-2379,82,7,16,mermaid
Hand,7938,-5070,-1644,11,84,-118,mermaid
Hand,16302,-1741,3643,37,57,-63,mermaid
Hand,11389,-5647,2850,21,57,-141,mermaid
Hand,18489,-5172,-1271,34,55,-91,mermaid
Hand,16494,-5192,-1727,23,13,-84,mermaid
Hand,10489,-2034,950,-11,23,-169,mermaid
Hand,12843,992,5656,32,-15,-74,mermaid
Hand,6654,-1773,-1405,7,11,-159,mermaid
Hand,16181,-2963,-4415,27,-43,-71,mermaid
Hand,22841,7588,-1369,-5,-26,-166,mermaid
Hand,21991,-603,539,32,-65,-107,mermaid
Hand,22693,659,-799,23,-74,-102,mermaid
Hand,-5731,-13874,-305,-3,-83,-144,mermaid
Hand,-10737,1021,2144,23,-79,-81,mermaid
Hand,-14611,2460,997,-2,-73,-97,mermaid
Hand,-22211,-9620,953,12,-96,-77,mermaid
Hand,-10160,2479,-360,15,-83,-55,mermaid
Hand,692,9338,-1556,9,-58,-60,mermaid
Hand,5708,3759,-1523,1,-39,-68,mermaid
Hand,-4425,-2931,-834,8,-32,-63,mermaid
Hand,-13194,4025,-1194,20,-14,-34,mermaid
Hand,-12080,3485,-1727,5,-12,-34,mermaid
Hand,-24636,2603,-4585,-2,-3,-81,mermaid
Hand,-24636,12312,969,6,22,-56,mermaid
Hand,-16666,-1092,170,19,-2,24,mermaid
Hand,-17578,8166,-1181,12,12,-14,mermaid
Hand,-5154,3146,1940,28,45,-47,mermaid
Hand,-323,-5308,-622,19,68,-73,mermaid
Hand,5818,-3596,-409,31,87,-33,mermaid
